Date,ELUX-B.ST
2018-02-22,178.2376708984375
2018-02-23,181.00205993652344
2018-02-26,179.1591033935547
2018-02-27,179.5540313720703
2018-02-28,180.01475524902344
2018-03-01,175.14418029785156
2018-03-02,168.43064880371094
2018-03-05,171.65574645996094
2018-03-06,172.8404998779297
2018-03-07,172.8404998779297
2018-03-08,175.9340057373047
2018-03-09,178.0402069091797
2018-03-12,178.4351043701172
2018-03-13,178.83004760742188
2018-03-14,177.0529327392578
2018-03-15,179.4882354736328
2018-03-16,179.0933074951172
2018-03-19,177.51365661621094
2018-03-20,179.02749633789062
2018-03-21,177.5794677734375
2018-03-22,174.48599243164062
2018-03-23,175.60491943359375
2018-03-26,171.4583282470703
2018-03-27,172.57723999023438
2018-03-28,169.61538696289062
2018-03-29,172.7747039794922
2018-04-03,172.7088623046875
2018-04-04,168.43064880371094
2018-04-05,171.19505310058594
2018-04-06,171.2158203125
2018-04-09,171.886962890625
2018-04-10,173.76625061035156
2018-04-11,171.35003662109375
2018-04-12,170.00770568847656
2018-04-13,171.0144500732422
2018-04-16,169.20228576660156
2018-04-17,172.49102783203125
2018-04-18,173.49778747558594
2018-04-19,171.8198699951172
2018-04-20,172.28970336914062
2018-04-23,174.16897583007812
2018-04-24,172.759521484375
2018-04-25,174.84014892578125
2018-04-26,176.71942138671875
2018-04-27,156.91986083984375
2018-04-30,155.24192810058594
2018-05-02,155.10769653320312
2018-05-03,155.91311645507812
2018-05-04,156.71853637695312
2018-05-07,156.24867248535156
2018-05-08,154.7050018310547
2018-05-09,155.57752990722656
2018-05-11,152.62437438964844
2018-05-14,152.22164916992188
2018-05-15,152.6914825439453
2018-05-16,153.0941925048828
2018-05-17,154.36940002441406
2018-05-18,153.3626708984375
2018-05-21,152.9599609375
2018-05-22,152.08741760253906
2018-05-23,151.14779663085938
2018-05-24,150.81222534179688
2018-05-25,150.8793182373047
2018-05-28,150.34239196777344
2018-05-29,148.53021240234375
2018-05-30,148.5973358154297
2018-05-31,146.04690551757812
2018-06-01,148.79869079589844
2018-06-04,149.87257385253906
2018-06-05,149.46986389160156
2018-06-06,149.46986389160156
2018-06-07,144.97300720214844
2018-06-08,144.8387908935547
2018-06-11,144.1676025390625
2018-06-12,143.96624755859375
2018-06-13,145.0401153564453
2018-06-14,146.65093994140625
2018-06-15,143.96624755859375
2018-06-18,142.42254638671875
2018-06-19,141.48291015625
2018-06-20,141.61715698242188
2018-06-21,139.60362243652344
2018-06-22,139.60362243652344
2018-06-25,134.16717529296875
2018-06-26,132.89193725585938
2018-06-27,132.72413635253906
2018-06-28,133.63021850585938
2018-06-29,136.91896057128906
2018-07-02,133.8651123046875
2018-07-03,131.41534423828125
2018-07-04,129.23403930664062
2018-07-05,128.66354370117188
2018-07-06,130.30789184570312
2018-07-09,130.30789184570312
2018-07-10,130.3414764404297
2018-07-11,128.62997436523438
2018-07-12,131.2811279296875
2018-07-13,133.05972290039062
2018-07-16,133.69735717773438
2018-07-17,136.0464324951172
2018-07-18,138.99957275390625
2018-07-19,140.8788604736328
2018-07-20,139.33517456054688
2018-07-23,139.87208557128906
2018-07-24,137.18743896484375
2018-07-25,135.3081512451172
2018-07-26,137.38876342773438
2018-07-27,137.724365234375
2018-07-30,139.20094299316406
2018-07-31,138.52976989746094
2018-08-01,138.6639862060547
2018-08-02,137.5230255126953
2018-08-03,138.93247985839844
2018-08-06,139.4694061279297
2018-08-07,140.4761505126953
2018-08-08,140.74462890625
2018-08-09,139.53651428222656
2018-08-10,136.98609924316406
2018-08-13,136.31491088867188
2018-08-14,138.12705993652344
2018-08-15,137.05319213867188
2018-08-16,136.85183715820312
2018-08-17,137.18743896484375
2018-08-20,137.79148864746094
2018-08-21,137.45590209960938
2018-08-22,137.25454711914062
2018-08-23,133.89866638183594
2018-08-24,134.03292846679688
2018-08-27,136.7176055908203
2018-08-28,138.6639862060547
2018-08-29,137.32167053222656
2018-08-30,138.93247985839844
2018-08-31,136.91896057128906
2018-09-03,136.51625061035156
2018-09-04,133.69735717773438
2018-09-05,133.2610626220703
2018-09-06,130.54281616210938
2018-09-07,127.89169311523438
2018-09-10,128.19374084472656
2018-09-11,128.02593994140625
2018-09-12,128.3950653076172
2018-09-13,129.30117797851562
2018-09-14,130.17369079589844
2018-09-17,129.9052276611328
2018-09-18,127.3547592163086
2018-09-19,128.93202209472656
2018-09-20,129.26760864257812
2018-09-21,130.24081420898438
2018-09-24,130.54281616210938
2018-09-25,129.8380889892578
2018-09-26,130.5763702392578
2018-09-27,130.91195678710938
2018-09-28,131.54959106445312
2018-10-01,130.71060180664062
2018-10-02,132.01939392089844
2018-10-03,133.59664916992188
2018-10-04,132.89193725585938
2018-10-05,130.81129455566406
2018-10-08,131.55599975585938
2018-10-09,133.4161834716797
2018-10-10,130.9704132080078
2018-10-11,128.8002166748047
2018-10-12,125.38985443115234
2018-10-15,123.49525451660156
2018-10-16,126.2510757446289
2018-10-17,127.62895965576172
2018-10-18,126.11326599121094
2018-10-19,123.21966552734375
2018-10-22,123.35745239257812
2018-10-23,121.53170776367188
2018-10-24,119.4303970336914
2018-10-25,124.0808334350586
2018-10-26,118.63809967041016
2018-10-29,124.66646575927734
2018-10-30,127.52561950683594
2018-10-31,131.03929138183594
2018-11-01,132.27940368652344
2018-11-02,138.20443725585938
2018-11-05,135.48304748535156
2018-11-06,134.44964599609375
2018-11-07,133.69178771972656
2018-11-08,133.553955078125
2018-11-09,133.2783966064453
2018-11-12,130.21253967285156
2018-11-13,131.28042602539062
2018-11-14,130.10922241210938
2018-11-15,128.4557342529297
2018-11-16,129.9025115966797
2018-11-19,130.4536895751953
2018-11-20,129.62693786621094
2018-11-21,134.2773895263672
2018-11-22,135.96531677246094
2018-11-23,136.0686798095703
2018-11-26,138.27334594726562
2018-11-27,140.20240783691406
2018-11-28,141.78700256347656
2018-11-29,141.9936981201172
2018-11-30,142.47596740722656
2018-12-03,144.3361358642578
2018-12-04,143.6471710205078
2018-12-05,138.27334594726562
2018-12-06,132.796142578125
2018-12-07,135.03524780273438
2018-12-10,131.65936279296875
2018-12-11,135.5175018310547
2018-12-12,139.16896057128906
2018-12-13,136.5509490966797
2018-12-14,135.3797149658203
2018-12-17,130.90151977539062
2018-12-18,131.728271484375
2018-12-19,132.3483123779297
2018-12-20,131.03929138183594
2018-12-21,128.86912536621094
2018-12-27,126.49219512939453
2018-12-28,128.90353393554688
2019-01-02,128.73129272460938
2019-01-03,125.87212371826172
2019-01-04,129.14468383789062
2019-01-07,130.55703735351562
2019-01-08,134.72520446777344
2019-01-09,138.3422393798828
2019-01-10,138.89340209960938
2019-01-11,140.27130126953125
2019-01-14,139.72012329101562
2019-01-15,137.79107666015625
2019-01-16,139.9268341064453
2019-01-17,139.99574279785156
2019-01-18,143.6471710205078
2019-01-21,142.68263244628906
2019-01-22,143.3026885986328
2019-01-23,143.44049072265625
2019-01-24,142.95822143554688
2019-01-25,144.61170959472656
2019-01-28,144.19833374023438
2019-01-29,146.26519775390625
2019-01-30,147.29864501953125
2019-01-31,147.229736328125
2019-02-01,162.5245819091797
2019-02-04,164.72923278808594
2019-02-05,162.18008422851562
2019-02-06,160.93995666503906
2019-02-07,160.38877868652344
2019-02-08,160.93995666503906
2019-02-11,161.3533477783203
2019-02-12,161.83560180664062
2019-02-13,163.9024658203125
2019-02-14,161.69781494140625
2019-02-15,163.69578552246094
2019-02-18,164.8669891357422
2019-02-19,165.00479125976562
2019-02-20,167.27835083007812
2019-02-21,167.0027618408203
2019-02-22,167.20945739746094
2019-02-25,166.45156860351562
2019-02-26,166.79608154296875
2019-02-27,167.0027618408203
2019-02-28,166.52049255371094
2019-03-01,167.89840698242188
2019-03-04,168.79403686523438
2019-03-05,171.61875915527344
2019-03-06,168.311767578125
2019-03-07,165.28038024902344
2019-03-08,163.48910522460938
2019-03-11,166.03822326660156
2019-03-12,167.1405487060547
2019-03-13,167.4161376953125
2019-03-14,167.5539093017578
2019-03-15,166.3137969970703
2019-03-18,165.34927368164062
2019-03-19,167.48501586914062
2019-03-20,166.03822326660156
2019-03-21,167.48501586914062
2019-03-22,165.142578125
2019-03-25,167.1405487060547
2019-03-26,165.00479125976562
2019-03-27,158.7353057861328
2019-03-28,162.59344482421875
2019-03-29,164.59141540527344
2019-04-01,166.8305206298828
2019-04-02,166.86497497558594
2019-04-03,167.62281799316406
2019-04-04,165.5559539794922
2019-04-05,165.34927368164062
2019-04-08,165.34927368164062
2019-04-09,164.3158416748047
2019-04-10,165.62486267089844
2019-04-11,165.80238342285156
2019-04-12,166.22482299804688
2019-04-15,167.5625
2019-04-16,167.49209594726562
2019-04-17,170.37867736816406
2019-04-18,168.82977294921875
2019-04-23,172.4907989501953
2019-04-24,173.89889526367188
2019-04-25,175.16616821289062
2019-04-26,172.70201110839844
2019-04-29,166.29522705078125
2019-04-30,164.2534942626953
2019-05-02,165.80238342285156
2019-05-03,166.99928283691406
2019-05-06,164.746337890625
2019-05-07,160.7332763671875
2019-05-08,161.50772094726562
2019-05-09,158.05792236328125
2019-05-10,159.46600341796875
2019-05-13,155.24172973632812
2019-05-14,156.08657836914062
2019-05-15,155.80496215820312
2019-05-16,156.86105346679688
2019-05-17,156.93142700195312
2019-05-20,156.57940673828125
2019-05-21,157.07223510742188
2019-05-22,156.57940673828125
2019-05-23,152.6367645263672
2019-05-24,152.21432495117188
2019-05-27,152.0031280517578
2019-05-28,153.12960815429688
2019-05-29,150.9470672607422
2019-05-31,145.2443084716797
2019-06-03,151.01744079589844
2019-06-04,154.60809326171875
2019-06-05,154.04486083984375
2019-06-07,156.22738647460938
2019-06-11,159.1139678955078
2019-06-12,159.32518005371094
2019-06-13,161.014892578125
2019-06-14,161.3668975830078
2019-06-18,164.3943328857422
2019-06-19,165.52078247070312
2019-06-20,168.9001922607422
2019-06-24,167.42169189453125
2019-06-25,167.1400604248047
2019-06-26,165.45037841796875
2019-06-27,167.91452026367188
2019-06-28,167.06968688964844
