Date,SHREECEM.NS
2018-08-13,16755.66796875
2018-08-14,16831.458984375
2018-08-16,16586.146484375
2018-08-17,17310.912109375
2018-08-20,17272.947265625
2018-08-21,17355.1171875
2018-08-23,17479.943359375
2018-08-24,17910.21484375
2018-08-27,18091.04296875
2018-08-28,18306.9140625
2018-08-29,18323.193359375
2018-08-30,18393.673828125
2018-08-31,18448.896484375
2018-09-03,18566.6484375
2018-09-04,17909.734375
2018-09-05,17768.919921875
2018-09-06,17737.2421875
2018-09-07,17502.021484375
2018-09-10,16829.505859375
2018-09-11,16606.8125
2018-09-12,16453.671875
2018-09-14,17234.390625
2018-09-17,17092.599609375
2018-09-18,16485.548828125
2018-09-19,16681.724609375
2018-09-21,16433.58984375
2018-09-24,16791.974609375
2018-09-25,16697.375
2018-09-26,17002.732421875
2018-09-27,16988.73828125
2018-09-28,16466.587890625
2018-10-01,16378.1728515625
2018-10-03,16213.23828125
2018-10-04,15971.2919921875
2018-10-05,15321.5859375
2018-10-08,15592.7275390625
2018-10-09,15347.8564453125
2018-10-10,15149.970703125
2018-10-11,14450.2109375
2018-10-12,14961.2998046875
2018-10-15,14833.892578125
2018-10-16,15140.1279296875
2018-10-17,14744.8427734375
2018-10-19,14169.662109375
2018-10-22,14064.921875
2018-10-23,13460.9345703125
2018-10-24,13344.2021484375
2018-10-25,13189.2080078125
2018-10-26,13226.931640625
2018-10-29,13170.58984375
2018-10-30,13173.658203125
2018-10-31,13566.650390625
2018-11-01,13631.7197265625
2018-11-02,14392.2587890625
2018-11-05,14620.3154296875
2018-11-06,14975.8720703125
2018-11-07,14984.0625
2018-11-09,15001.55859375
2018-11-12,15008.380859375
2018-11-13,14798.9453125
2018-11-14,14908.1240234375
2018-11-15,15458.7900390625
2018-11-16,15534.3349609375
2018-11-19,15491.34765625
2018-11-20,15504.3125
2018-11-21,15562.5068359375
2018-11-22,15341.47265625
2018-11-26,15592.7744140625
2018-11-27,15618.5107421875
2018-11-28,15595.7978515625
2018-11-29,15991.322265625
2018-11-30,16071.8896484375
2018-12-03,16370.1298828125
2018-12-04,16259.6376953125
2018-12-05,16002.7294921875
2018-12-06,15666.03125
2018-12-07,15926.205078125
2018-12-10,15617.974609375
2018-12-11,15590.8740234375
2018-12-12,16200.2236328125
2018-12-13,16273.037109375
2018-12-14,16462.150390625
2018-12-17,16502.1171875
2018-12-18,16600.916015625
2018-12-19,17054.9765625
2018-12-20,17056.876953125
2018-12-21,16713.84375
2018-12-24,16332.404296875
2018-12-26,16644.1953125
2018-12-27,16520.3515625
2018-12-28,16792.953125
2018-12-31,16801.767578125
2019-01-01,16545.544921875
2019-01-02,16513.0859375
2019-01-03,16521.32421875
2019-01-04,16315.34765625
2019-01-07,16495.294921875
2019-01-08,16331.6767578125
2019-01-09,15933.51953125
2019-01-10,16080.470703125
2019-01-11,15512.208984375
2019-01-14,15106.0595703125
2019-01-15,15225.1298828125
2019-01-16,15424.2314453125
2019-01-17,15513.669921875
2019-01-18,15197.3955078125
2019-01-21,15283.6181640625
2019-01-22,15516.4482421875
2019-01-23,15697.56640625
2019-01-24,15763.0732421875
2019-01-25,15326.9951171875
2019-01-28,14673.099609375
2019-01-29,15091.935546875
2019-01-30,15086.078125
2019-01-31,15344.1943359375
2019-02-01,15409.9091796875
2019-02-04,15531.8623046875
2019-02-05,15306.064453125
2019-02-06,15653.18359375
2019-02-07,15862.673828125
2019-02-08,15811.021484375
2019-02-11,15586.9833984375
2019-02-12,15448.330078125
2019-02-14,15239.671875
2019-02-15,15246.50390625
2019-02-18,14912.0302734375
2019-02-19,14957.873046875
2019-02-20,15335.89453125
2019-02-21,15724.951171875
2019-02-22,15765.32421875
2019-02-25,16126.4560546875
2019-02-26,16202.9111328125
2019-02-27,16325.4521484375
2019-02-28,16201.5927734375
2019-03-01,16293.912109375
2019-03-05,16839.681640625
2019-03-06,17062.2109375
2019-03-07,17056.646484375
2019-03-08,17213.75390625
