Date,MTO.L
2018-07-12,86.0865478515625
2018-07-13,84.80010223388672
2018-07-16,84.54949951171875
2018-07-17,85.36614990234375
2018-07-18,82.8447494506836
2018-07-19,82.33020782470703
2018-07-20,82.8447494506836
2018-07-23,81.66132354736328
2018-07-24,82.53605651855469
2018-07-25,80.4778060913086
2018-07-26,80.37487030029297
2018-07-27,79.34579467773438
2018-07-30,77.23600006103516
2018-07-31,79.13992309570312
2018-08-01,79.03700256347656
2018-08-02,75.177734375
2018-08-03,75.177734375
2018-08-06,80.73506927490234
2018-08-07,78.36811065673828
2018-08-08,79.39720916748047
2018-08-09,78.05933380126953
2018-08-10,76.92732238769531
2018-08-13,76.46417999267578
2018-08-14,74.61177825927734
2018-08-15,74.61177825927734
2018-08-16,74.30299377441406
2018-08-17,74.61177825927734
2018-08-20,75.79520416259766
2018-08-21,76.72146606445312
2018-08-22,76.87580108642578
2018-08-23,78.11074829101562
2018-08-24,77.39035034179688
2018-08-28,78.11074829101562
2018-08-29,78.21367645263672
2018-08-30,75.79520416259766
2018-08-31,76.36128234863281
2018-09-03,76.82440185546875
2018-09-04,75.12632751464844
2018-09-05,75.43500518798828
2018-09-06,76.97872924804688
2018-09-07,77.39035034179688
2018-09-10,79.9117431640625
2018-09-11,78.77973937988281
2018-09-12,80.06608581542969
2018-09-13,83.66808319091797
2018-09-14,81.3525390625
2018-09-17,80.63213348388672
2018-09-18,80.88941192626953
2018-09-19,80.01468658447266
2018-09-20,80.4778060913086
2018-09-21,79.29427337646484
2018-09-24,79.19135284423828
2018-09-25,79.24286651611328
2018-09-26,71.93604278564453
2018-09-27,75.12632751464844
2018-09-28,75.48651885986328
2018-10-01,74.61177825927734
2018-10-02,73.94280242919922
2018-10-03,74.09715270996094
2018-10-04,74.09715270996094
2018-10-05,74.25157928466797
2018-10-08,74.61177825927734
2018-10-09,76.10399627685547
2018-10-10,75.64085388183594
2018-10-11,75.64085388183594
2018-10-12,75.5379409790039
2018-10-15,76.61854553222656
2018-10-16,80.4778060913086
2018-10-17,78.98558807373047
2018-10-18,77.23600006103516
2018-10-19,75.84672546386719
2018-10-22,74.97198486328125
2018-10-23,74.61177825927734
2018-10-24,74.56026458740234
2018-10-25,74.92046356201172
2018-10-26,75.02339172363281
2018-10-29,75.64085388183594
2018-10-30,75.6923828125
2018-10-31,74.76612854003906
2018-11-01,74.61177825927734
2018-11-02,74.61177825927734
2018-11-05,73.94280242919922
2018-11-06,74.86904907226562
2018-11-07,74.61177825927734
2018-11-08,74.3545150756836
2018-11-09,74.61177825927734
2018-11-12,73.94280242919922
2018-11-13,74.45733642578125
2018-11-14,76.6700439453125
2018-11-15,77.85346984863281
2018-11-16,75.64085388183594
2018-11-19,76.15540313720703
2018-11-20,79.39720916748047
2018-11-21,80.73506927490234
2018-11-22,78.88265228271484
2018-11-23,78.21367645263672
2018-11-26,78.21367645263672
2018-11-27,78.98558807373047
2018-11-28,78.83113861083984
2018-11-29,78.67679595947266
2018-11-30,74.50887298583984
2018-12-03,69.67192840576172
2018-12-04,72.03897857666016
