Date,AVON.L
2020-06-16,3056.571533203125
2020-06-17,3016.616455078125
2020-06-18,3051.577392578125
2020-06-19,3296.302978515625
2020-06-22,3316.28076171875
2020-06-23,3216.392822265625
2020-06-24,3006.627197265625
2020-06-25,3096.52734375
2020-06-26,3081.5439453125
2020-06-29,3151.46533203125
2020-06-30,3196.415283203125
2020-07-01,3286.31396484375
2020-07-02,3376.213623046875
2020-07-03,3326.26953125
2020-07-06,3486.09033203125
2020-07-07,3436.146240234375
2020-07-08,3471.10693359375
2020-07-09,3556.01171875
2020-07-10,3680.871826171875
2020-07-13,3760.78173828125
2020-07-14,3551.01708984375
2020-07-15,3501.0732421875
2020-07-16,3491.084228515625
2020-07-17,3456.123779296875
2020-07-20,3481.095703125
2020-07-21,3436.146240234375
2020-07-22,3416.168212890625
2020-07-23,3416.168212890625
2020-07-24,3396.190673828125
2020-07-27,3316.28076171875
2020-07-28,3386.201904296875
2020-07-29,3341.252685546875
2020-07-30,3346.2470703125
2020-07-31,3316.28076171875
2020-08-03,3301.29736328125
2020-08-04,3341.252685546875
2020-08-05,3471.10693359375
2020-08-06,3461.207763671875
2020-08-07,3456.21337890625
2020-08-10,3381.29541015625
2020-08-11,3521.14208984375
2020-08-12,3586.07080078125
2020-08-13,3566.0927734375
2020-08-14,3526.136474609375
2020-08-17,3501.1640625
2020-08-18,3426.24609375
2020-08-19,3670.978271484375
2020-08-20,3606.048828125
2020-08-21,3586.07080078125
2020-08-24,3755.885009765625
2020-08-25,3810.82470703125
2020-08-26,3915.710205078125
2020-08-27,3880.748046875
2020-08-28,3815.819091796875
2020-09-01,3840.7919921875
2020-09-02,3840.7919921875
2020-09-03,3705.939697265625
2020-09-04,3660.989013671875
2020-09-07,3745.896240234375
2020-09-08,3710.93408203125
2020-09-09,3945.677001953125
2020-09-10,3970.6494140625
2020-09-11,4020.5947265625
2020-09-14,3965.655029296875
2020-09-15,4215.380859375
2020-09-16,4155.447265625
2020-09-17,4175.42578125
2020-09-18,4165.4365234375
2020-09-21,4210.38671875
2020-09-22,4220.37646484375
2020-09-23,4215.380859375
2020-09-24,4135.46923828125
2020-09-25,4210.38671875
2020-09-28,4265.32666015625
2020-09-29,4240.353515625
2020-09-30,4245.3486328125
2020-10-01,4385.19580078125
2020-10-02,4370.2109375
2020-10-05,4410.16796875
2020-10-06,4355.2275390625
2020-10-07,4260.33203125
2020-10-08,4260.33203125
2020-10-09,4270.32177734375
2020-10-12,4345.2392578125
2020-10-13,4180.419921875
2020-10-14,4160.44140625
2020-10-15,4150.453125
2020-10-16,4145.45849609375
2020-10-19,4080.529052734375
2020-10-20,4085.523681640625
2020-10-21,3970.6494140625
2020-10-22,3995.622314453125
2020-10-23,4070.5400390625
2020-10-26,4065.54541015625
2020-10-27,3975.64404296875
2020-10-28,3930.693603515625
2020-10-29,3880.748046875
2020-10-30,3920.70458984375
2020-11-02,3965.655029296875
2020-11-03,4050.5625
2020-11-04,4120.4853515625
2020-11-05,4235.35986328125
2020-11-06,4280.310546875
2020-11-09,4135.46923828125
2020-11-10,3995.622314453125
2020-11-11,3985.63330078125
2020-11-12,4015.600341796875
2020-11-13,3995.622314453125
2020-11-16,4115.49072265625
2020-11-17,4285.30517578125
2020-11-18,4325.26123046875
2020-11-19,4340.2451171875
2020-11-20,4330.25537109375
2020-11-23,4270.32177734375
2020-11-24,4195.40380859375
2020-11-25,4225.37109375
2020-11-26,4255.337890625
2020-11-27,4485.08642578125
2020-11-30,4440.134765625
2020-12-01,4619.9384765625
2020-12-02,4215.380859375
2020-12-03,4215.380859375
2020-12-04,4100.5078125
2020-12-07,3955.666015625
2020-12-08,3775.863037109375
2020-12-09,3795.84130859375
2020-12-10,3745.896240234375
2020-12-11,3760.87939453125
2020-12-14,3735.906982421875
2020-12-15,3700.945068359375
2020-12-16,3735.906982421875
2020-12-17,3291.39404296875
2020-12-18,3056.65087890625
2020-12-21,3016.69482421875
2020-12-22,3141.55810546875
2020-12-23,3151.546875
2020-12-24,3171.525146484375
2020-12-29,3256.432373046875
2020-12-30,3166.530517578125
2020-12-31,3161.5361328125
2021-01-04,3161.5361328125
2021-01-05,3281.405029296875
2021-01-06,3286.399169921875
2021-01-07,3346.333984375
2021-01-08,3506.158447265625
2021-01-11,3511.15283203125
2021-01-12,3516.1474609375
2021-01-13,3516.1474609375
2021-01-14,3546.114990234375
2021-01-15,3551.109130859375
2021-01-18,3461.207763671875
2021-01-19,3416.2568359375
2021-01-20,3231.45947265625
2021-01-21,3346.333984375
2021-01-22,3246.443115234375
2021-01-25,3231.45947265625
2021-01-26,3126.57470703125
2021-01-27,3106.59619140625
2021-01-28,3096.607666015625
2021-01-29,3096.607666015625
2021-02-01,3096.607666015625
2021-02-02,3121.580322265625
2021-02-03,3116.585693359375
2021-02-04,3136.563720703125
2021-02-05,3146.552734375
2021-02-08,3166.530517578125
2021-02-09,3241.44873046875
2021-02-10,3181.5146484375
2021-02-11,3176.700439453125
2021-02-12,3116.762451171875
2021-02-15,3131.746337890625
2021-02-16,3076.8037109375
2021-02-17,3006.8759765625
2021-02-18,3031.849853515625
2021-02-19,3021.860595703125
2021-02-22,2996.886962890625
2021-02-23,2867.021728515625
2021-02-24,2822.068115234375
2021-02-25,2807.083740234375
2021-02-26,2802.088623046875
2021-03-01,2877.010986328125
2021-03-02,2887.0009765625
2021-03-03,3031.849853515625
2021-03-04,2901.98486328125
2021-03-05,2817.073486328125
2021-03-08,2777.11474609375
2021-03-09,2837.052734375
2021-03-10,2896.990234375
2021-03-11,2946.9384765625
2021-03-12,2926.958984375
2021-03-15,2996.886962890625
2021-03-16,3131.746337890625
2021-03-17,3151.7255859375
2021-03-18,3251.622314453125
2021-03-19,3306.565185546875
2021-03-22,3216.658447265625
2021-03-23,3071.80908203125
2021-03-24,3131.746337890625
2021-03-25,3061.819091796875
2021-03-26,3121.75732421875
2021-03-29,3096.782958984375
2021-03-30,3071.80908203125
2021-03-31,3156.720703125
2021-04-01,3312.55859375
2021-04-06,3370.498779296875
2021-04-07,3352.516845703125
2021-04-08,3428.4384765625
2021-04-09,3468.39697265625
2021-04-12,3496.36767578125
2021-04-13,3460.405029296875
2021-04-14,3500.36376953125
2021-04-15,3528.33447265625
