Date,WTB.L
2023-06-26,3322.89501953125
2023-06-27,3346.87939453125
2023-06-28,3386.854736328125
2023-06-29,3356.87353515625
2023-06-30,3383.856201171875
2023-07-03,3398.846923828125
2023-07-04,3389.8525390625
2023-07-05,3368.86572265625
2023-07-06,3296.91162109375
2023-07-07,3306.905029296875
2023-07-10,3321.895751953125
2023-07-11,3328.891357421875
2023-07-12,3380.858154296875
2023-07-13,3359.871337890625
2023-07-14,3341.883056640625
2023-07-17,3335.886962890625
2023-07-18,3349.8779296875
2023-07-19,3398.846923828125
2023-07-20,3415.836181640625
2023-07-21,3419.83349609375
2023-07-24,3392.850830078125
2023-07-25,3361.8701171875
2023-07-26,3390.851806640625
2023-07-27,3468.802490234375
2023-07-28,3483.793212890625
2023-07-31,3496.784912109375
2023-08-01,3478.796142578125
2023-08-02,3419.83349609375
2023-08-03,3406.841796875
2023-08-04,3445.817138671875
2023-08-07,3477.796875
2023-08-08,3468.802490234375
2023-08-09,3502.781005859375
2023-08-10,3524.76708984375
2023-08-11,3496.784912109375
2023-08-14,3519.770263671875
2023-08-15,3495.785400390625
2023-08-16,3486.791015625
2023-08-17,3426.8291015625
2023-08-18,3385.85498046875
2023-08-21,3394.849609375
2023-08-22,3409.83984375
2023-08-23,3429.8271484375
2023-08-24,3372.86328125
2023-08-25,3355.874267578125
2023-08-29,3427.828369140625
2023-08-30,3444.81787109375
2023-08-31,3437.822509765625
2023-09-01,3466.803955078125
2023-09-04,3482.7939453125
2023-09-05,3562.742919921875
2023-09-06,3551.749755859375
2023-09-07,3554.748046875
2023-09-08,3597.720947265625
2023-09-11,3580.731689453125
2023-09-12,3578.73291015625
2023-09-13,3638.69482421875
2023-09-14,3636.696044921875
2023-09-15,3675.671630859375
2023-09-18,3625.703125
2023-09-19,3602.717529296875
2023-09-20,3629.700439453125
2023-09-21,3584.72900390625
2023-09-22,3592.723876953125
2023-09-25,3573.736083984375
2023-09-26,3508.777099609375
2023-09-27,3493.78662109375
2023-09-28,3481.794189453125
2023-09-29,3461.806884765625
2023-10-02,3463.8056640625
2023-10-03,3412.837890625
2023-10-04,3283.919921875
2023-10-05,3314.89990234375
2023-10-06,3329.890380859375
2023-10-09,3232.9521484375
2023-10-10,3329.890380859375
2023-10-11,3346.87939453125
2023-10-12,3319.89697265625
2023-10-13,3256.936767578125
2023-10-16,3291.91455078125
2023-10-17,3320.896240234375
2023-10-18,3363.868896484375
2023-10-19,3338.884765625
2023-10-20,3243.94482421875
2023-10-23,3289.916015625
2023-10-24,3293.9130859375
2023-10-25,3293.9130859375
2023-10-26,3258.935546875
2023-10-27,3285.91845703125
2023-10-30,3302.90771484375
2023-10-31,3325.892822265625
2023-11-01,3367.86669921875
2023-11-02,3310.23828125
2023-11-03,3249.2705078125
2023-11-06,3292.247802734375
2023-11-07,3291.24853515625
2023-11-08,3294.24658203125
2023-11-09,3290.2490234375
2023-11-10,3262.263671875
2023-11-13,3278.25537109375
2023-11-14,3321.232421875
2023-11-15,3387.197509765625
2023-11-16,3282.253173828125
2023-11-17,3340.22216796875
2023-11-20,3340.22216796875
2023-11-21,3338.223388671875
2023-11-22,3342.221435546875
2023-11-23,3202.295654296875
2023-11-24,3214.289306640625
2023-11-27,3203.295166015625
2023-11-28,3175.31005859375
2023-11-29,3108.345703125
2023-11-30,3089.355712890625
2023-12-01,3180.307373046875
2023-12-04,3178.30859375
2023-12-05,3238.276611328125
2023-12-06,3279.254638671875
2023-12-07,3289.24951171875
2023-12-08,3341.2216796875
2023-12-11,3352.2158203125
2023-12-12,3367.2080078125
2023-12-13,3354.21484375
2023-12-14,3492.141357421875
2023-12-15,3479.148193359375
2023-12-18,3533.119384765625
2023-12-19,3599.08447265625
2023-12-20,3636.064697265625
2023-12-21,3631.067626953125
2023-12-22,3632.067138671875
2023-12-27,3625.07080078125
2023-12-28,3618.074462890625
2023-12-29,3654.05517578125
2024-01-02,3613.0771484375
2024-01-03,3571.099365234375
2024-01-04,3579.09521484375
2024-01-05,3557.10693359375
2024-01-08,3587.091064453125
2024-01-09,3546.112548828125
2024-01-10,3548.111572265625
2024-01-11,3630.06787109375
2024-01-12,3659.052490234375
2024-01-15,3671.046142578125
2024-01-16,3674.04443359375
2024-01-17,3604.081787109375
2024-01-18,3633.06640625
2024-01-19,3546.112548828125
2024-01-22,3554.1083984375
2024-01-23,3534.119384765625
2024-01-24,3607.080078125
2024-01-25,3599.08447265625
2024-01-26,3644.060546875
2024-01-29,3618.074462890625
2024-01-30,3636.064697265625
2024-01-31,3594.087158203125
2024-02-01,3539.1162109375
2024-02-02,3513.130126953125
2024-02-05,3518.12744140625
2024-02-06,3541.115234375
2024-02-07,3537.117431640625
2024-02-08,3465.15576171875
2024-02-09,3480.147705078125
2024-02-12,3505.134521484375
2024-02-13,3444.1669921875
2024-02-14,3443.167236328125
2024-02-15,3481.14697265625
2024-02-16,3480.147705078125
2024-02-19,3512.130859375
2024-02-20,3548.111572265625
2024-02-21,3573.098388671875
2024-02-22,3540.11572265625
2024-02-23,3507.13330078125
2024-02-26,3490.142578125
2024-02-27,3462.1572265625
2024-02-28,3459.158935546875
2024-02-29,3301.242919921875
2024-03-01,3236.27734375
2024-03-04,3150.323486328125
2024-03-05,3170.3125
2024-03-06,3202.295654296875
2024-03-07,3222.284912109375
2024-03-08,3224.283935546875
2024-03-11,3272.258544921875
2024-03-12,3300.243408203125
2024-03-13,3294.24658203125
2024-03-14,3214.289306640625
2024-03-15,3210.29150390625
2024-03-18,3215.288818359375
2024-03-19,3193.300537109375
2024-03-20,3191.301513671875
2024-03-21,3266.261474609375
2024-03-22,3290.2490234375
2024-03-25,3280.254150390625
2024-03-26,3284.252197265625
2024-03-27,3281.25341796875
2024-03-28,3312.2373046875
2024-04-02,3300.243408203125
2024-04-03,3275.2568359375
2024-04-04,3225.283447265625
2024-04-05,3196.298828125
2024-04-08,3249.2705078125
2024-04-09,3212.290283203125
2024-04-10,3249.2705078125
2024-04-11,3188.30322265625
2024-04-12,3173.31103515625
2024-04-15,3174.310546875
2024-04-16,3096.35205078125
2024-04-17,3075.36328125
2024-04-18,3083.35888671875
2024-04-19,3057.37255859375
2024-04-22,3100.349853515625
2024-04-23,3126.336181640625
2024-04-24,3110.3447265625
2024-04-25,3026.38916015625
2024-04-26,3041.38134765625
2024-04-29,3045.379150390625
2024-04-30,3165.3154296875
