Date,CWK.L
2016-06-15,2089.037841796875
2016-06-16,2069.07568359375
2016-06-17,2101.015380859375
2016-06-20,2135.9482421875
2016-06-21,2151.9189453125
2016-06-22,2151.9189453125
2016-06-23,2238.753662109375
2016-06-24,2080.05517578125
2016-06-27,1971.260986328125
2016-06-28,2024.1607666015625
2016-06-29,2088.039794921875
2016-06-30,2083.307373046875
2016-07-01,2196.10693359375
2016-07-04,2130.223876953125
2016-07-05,2146.19580078125
2016-07-06,2183.130126953125
2016-07-07,2221.06298828125
2016-07-08,2222.0615234375
2016-07-11,2297.926513671875
2016-07-12,2261.990478515625
2016-07-13,2248.014892578125
2016-07-14,2237.03515625
2016-07-15,2251.010009765625
2016-07-18,2280.95703125
2016-07-19,2272.97119140625
2016-07-20,2356.822021484375
2016-07-21,2336.857666015625
2016-07-22,2329.870361328125
2016-07-25,2357.8203125
2016-07-26,2345.842041015625
2016-07-27,2359.81689453125
2016-07-28,2400.744140625
2016-07-29,2336.857666015625
2016-08-01,2335.859130859375
2016-08-02,2341.8486328125
2016-08-03,2332.864501953125
2016-08-04,2358.819091796875
2016-08-05,2374.7900390625
2016-08-08,2331.8662109375
2016-08-09,2361.8134765625
2016-08-10,2328.8720703125
2016-08-11,2355.82421875
2016-08-12,2348.83642578125
2016-08-15,2341.8486328125
2016-08-16,2315.89453125
2016-08-17,2315.89453125
2016-08-18,2301.919677734375
2016-08-19,2321.88427734375
2016-08-22,2326.875244140625
2016-08-23,2306.910888671875
2016-08-24,2327.87353515625
2016-08-25,2350.833251953125
2016-08-26,2403.739501953125
2016-08-30,2424.702392578125
2016-08-31,2385.77099609375
2016-09-01,2370.7978515625
2016-09-02,2347.838134765625
2016-09-05,2282.953125
2016-09-06,2256.000732421875
2016-09-07,2291.937744140625
2016-09-08,2333.86328125
2016-09-09,2244.02197265625
2016-09-12,2262.98876953125
2016-09-13,2324.879150390625
2016-09-14,2268.97802734375
2016-09-15,2272.97119140625
2016-09-16,2281.95556640625
2016-09-19,2281.95556640625
2016-09-20,2289.941162109375
2016-09-21,2300.9208984375
2016-09-22,2297.926513671875
2016-09-23,2287.944091796875
2016-09-26,2311.90185546875
2016-09-27,2299.923828125
2016-09-28,2329.870361328125
2016-09-29,2335.859130859375
2016-09-30,2333.86328125
2016-10-03,2364.80810546875
2016-10-04,2417.71435546875
2016-10-05,2385.77099609375
2016-10-06,2388.765625
2016-10-07,2385.77099609375
2016-10-10,2369.799560546875
2016-10-11,2429.693115234375
2016-10-12,2396.75146484375
2016-10-13,2414.719970703125
2016-10-14,2404.7373046875
2016-10-17,2366.804443359375
2016-10-18,2364.80810546875
2016-10-19,2365.806884765625
2016-10-20,2369.799560546875
2016-10-21,2379.7822265625
2016-10-24,2326.875244140625
2016-10-25,2290.939453125
2016-10-26,2256.999267578125
2016-10-27,2234.0400390625
2016-10-28,2194.111083984375
2016-10-31,2114.252197265625
2016-11-01,2126.23095703125
2016-11-02,2199.10205078125
2016-11-03,2243.024169921875
2016-11-04,2198.10400390625
2016-11-07,2215.0732421875
2016-11-08,2184.128173828125
2016-11-09,2183.130126953125
2016-11-10,2146.19580078125
2016-11-11,2208.0859375
2016-11-14,2211.080322265625
2016-11-15,2222.0615234375
2016-11-16,2258.995849609375
2016-11-17,2295.930419921875
2016-11-18,2296.9287109375
2016-11-21,2236.03662109375
2016-11-22,2233.041748046875
2016-11-23,2244.02197265625
2016-11-24,2227.052734375
2016-11-25,2248.014892578125
2016-11-28,2280.95703125
2016-11-29,2322.882080078125
2016-11-30,2236.03662109375
2016-12-01,2228.050048828125
2016-12-02,2227.052734375
2016-12-05,2178.139404296875
2016-12-06,2186.125
2016-12-07,2166.159912109375
2016-12-08,2179.268798828125
2016-12-09,2207.221435546875
2016-12-12,2220.19873046875
2016-12-13,2242.160888671875
2016-12-14,2264.123291015625
2016-12-15,2276.102783203125
2016-12-16,2283.091064453125
2016-12-19,2306.0517578125
2016-12-20,2321.026123046875
2016-12-21,2291.07763671875
2016-12-22,2291.07763671875
2016-12-23,2286.086181640625
2016-12-28,2331.009033203125
2016-12-29,2345.98388671875
2016-12-30,2338.995849609375
2017-01-03,2331.009033203125
2017-01-04,2336.000244140625
2017-01-05,2336.000244140625
2017-01-06,2363.95263671875
2017-01-09,2350.97509765625
2017-01-10,2349.9765625
2017-01-11,2405.880615234375
2017-01-12,2413.86767578125
2017-01-13,2402.885498046875
2017-01-16,2384.916748046875
2017-01-17,2371.938720703125
2017-01-18,2361.955810546875
2017-01-19,2385.914794921875
2017-01-20,2407.877685546875
2017-01-23,2364.950927734375
2017-01-24,2356.964599609375
2017-01-25,2336.000244140625
