Date,MARICO.NS
2016-05-31,216.32009887695312
2016-06-01,218.3600311279297
2016-06-02,216.10305786132812
2016-06-03,220.4867706298828
2016-06-06,222.43991088867188
2016-06-07,222.0492706298828
2016-06-08,223.26455688476562
2016-06-09,217.44857788085938
2016-06-10,220.052734375
2016-06-13,219.40171813964844
2016-06-14,219.48849487304688
2016-06-15,218.7072296142578
2016-06-16,221.5718536376953
2016-06-17,222.2228546142578
2016-06-20,221.26800537109375
2016-06-21,222.39646911621094
2016-06-22,225.7384796142578
2016-06-23,225.82530212402344
2016-06-24,222.6569061279297
2016-06-27,222.83053588867188
2016-06-28,222.5701141357422
2016-06-29,225.0006866455078
2016-06-30,228.8201141357422
2016-07-01,232.8566131591797
2016-07-04,230.07879638671875
2016-07-05,235.9381103515625
