Date,AEE
2016-08-04,39.893516540527344
2016-08-05,39.24708557128906
2016-08-08,39.200927734375
2016-08-09,39.200927734375
2016-08-10,39.26247787475586
2016-08-11,39.26247787475586
2016-08-12,39.28556823730469
2016-08-15,38.793060302734375
2016-08-16,38.339019775390625
2016-08-17,39.02393341064453
2016-08-18,39.51642990112305
2016-08-19,38.91618728637695
2016-08-22,38.97774887084961
2016-08-23,38.80076217651367
2016-08-24,38.72380065917969
2016-08-25,38.816139221191406
2016-08-26,38.015804290771484
2016-08-29,38.30054473876953
2016-08-30,37.93885040283203
2016-08-31,38.031192779541016
2016-09-01,37.82341766357422
2016-09-02,38.21590042114258
2016-09-06,38.68549346923828
2016-09-07,38.8252067565918
2016-09-08,38.69325637817383
2016-09-09,37.303863525390625
2016-09-12,37.92481994628906
2016-09-13,37.33490753173828
2016-09-14,37.637630462646484
2016-09-15,37.76181411743164
2016-09-16,38.32844161987305
2016-09-19,38.840721130371094
2016-09-20,38.887298583984375
2016-09-21,39.694541931152344
2016-09-22,39.904117584228516
2016-09-23,40.129207611083984
2016-09-26,39.95844650268555
2016-09-27,39.24435043334961
2016-09-28,39.089111328125
2016-09-29,38.49921417236328
2016-09-30,38.17318344116211
2016-10-03,37.746299743652344
2016-10-04,36.77605056762695
2016-10-05,37.032196044921875
2016-10-06,36.93904495239258
2016-10-07,36.81486129760742
2016-10-10,37.02444076538086
2016-10-11,36.38795471191406
2016-10-12,36.93904495239258
2016-10-13,37.288330078125
2016-10-14,37.28057098388672
2016-10-17,37.397003173828125
2016-10-18,37.96363830566406
2016-10-19,37.80062484741211
2016-10-20,37.738525390625
2016-10-21,37.622108459472656
2016-10-24,37.76181411743164
2016-10-25,38.0567741394043
2016-10-26,38.111106872558594
2016-10-27,37.831687927246094
2016-10-28,37.93259048461914
2016-10-31,38.77088165283203
2016-11-01,38.165435791015625
2016-11-02,37.76181411743164
2016-11-03,38.087833404541016
2016-11-04,38.312923431396484
2016-11-07,39.43840026855469
2016-11-08,39.74887466430664
2016-11-09,38.072296142578125
2016-11-10,37.102054595947266
2016-11-11,37.078773498535156
2016-11-14,37.738525390625
2016-11-15,38.24306869506836
2016-11-16,37.622108459472656
2016-11-17,37.653141021728516
2016-11-18,37.6298713684082
2016-11-21,37.9093017578125
2016-11-22,38.367244720458984
2016-11-23,38.087833404541016
2016-11-25,38.80192565917969
2016-11-28,39.64797592163086
2016-11-29,39.531532287597656
2016-11-30,38.12662124633789
2016-12-01,37.96363830566406
2016-12-02,38.5457649230957
2016-12-05,38.498783111572266
2016-12-06,38.639747619628906
2016-12-07,39.06264114379883
2016-12-08,39.015655517578125
2016-12-09,39.72830581665039
2016-12-12,40.206016540527344
2016-12-13,40.66023254394531
2016-12-14,39.704803466796875
2016-12-15,40.01806640625
2016-12-16,40.409629821777344
2016-12-19,40.63673400878906
2016-12-20,40.87167739868164
2016-12-21,40.683719635009766
2016-12-22,41.043968200683594
2016-12-23,41.075286865234375
2016-12-27,41.16143035888672
2016-12-28,40.58191680908203
2016-12-29,41.16143035888672
2016-12-30,41.0831298828125
2017-01-03,41.02047348022461
2017-01-04,41.06746292114258
2017-01-05,41.27107238769531
2017-01-06,41.584327697753906
2017-01-09,40.71506881713867
2017-01-10,40.69939422607422
2017-01-11,40.87952423095703
2017-01-12,40.691558837890625
2017-01-13,40.69939422607422
2017-01-17,41.153602600097656
2017-01-18,41.00481414794922
2017-01-19,40.5740852355957
2017-01-20,40.76203536987305
2017-01-23,40.70721435546875
2017-01-24,40.769874572753906
2017-01-25,40.64457321166992
2017-01-26,40.785526275634766
2017-01-27,40.58191680908203
2017-01-30,40.48011016845703
2017-01-31,41.23191452026367
2017-02-01,40.527099609375
2017-02-02,41.184932708740234
2017-02-03,41.26324462890625
2017-02-06,41.23191452026367
2017-02-07,41.255409240722656
2017-02-08,41.59999465942383
2017-02-09,41.427703857421875
2017-02-10,41.45119857788086
2017-02-13,41.5451774597168
2017-02-14,41.23191452026367
2017-02-15,41.14577865600586
2017-02-16,41.45902633666992
2017-02-17,41.7957649230957
2017-02-21,42.2029914855957
2017-02-22,42.26565170288086
2017-02-23,42.343963623046875
2017-02-24,42.743370056152344
2017-02-27,42.516258239746094
2017-02-28,42.82950210571289
2017-03-01,42.88431930541992
2017-03-02,43.166259765625
2017-03-03,42.98613357543945
2017-03-06,42.98613357543945
2017-03-07,42.931312561035156
2017-03-08,42.383121490478516
2017-03-09,42.383121490478516
2017-03-10,42.548919677734375
2017-03-13,42.78579330444336
2017-03-14,42.65156936645508
2017-03-15,43.259525299072266
2017-03-16,42.9121208190918
2017-03-17,43.46480941772461
2017-03-20,43.180564880371094
2017-03-21,43.81221389770508
2017-03-22,44.246456146240234
2017-03-23,44.254356384277344
2017-03-24,44.36490249633789
2017-03-27,44.254356384277344
2017-03-28,43.67008972167969
2017-03-29,43.5279655456543
2017-03-30,43.180564880371094
2017-03-31,43.101627349853516
2017-04-03,43.08583068847656
2017-04-04,43.204254150390625
2017-04-05,43.46480941772461
2017-04-06,43.196353912353516
2017-04-07,43.04634475708008
2017-04-10,43.196353912353516
2017-04-11,43.259525299072266
2017-04-12,43.73324203491211
2017-04-13,43.41743850708008
2017-04-17,43.76484298706055
2017-04-18,43.69377136230469
2017-04-19,43.33848571777344
2017-04-20,43.06214141845703
2017-04-21,43.49639129638672
2017-04-24,43.76484298706055
2017-04-25,43.48849868774414
2017-04-26,43.55165100097656
2017-04-27,43.44900894165039
2017-04-28,43.180564880371094
2017-05-01,42.84895706176758
2017-05-02,42.833160400390625
2017-05-03,42.82527542114258
2017-05-04,43.27531814575195
2017-05-05,43.25163269042969
2017-05-08,43.133201599121094
2017-05-09,42.80158615112305
2017-05-10,42.99108123779297
2017-05-11,42.99108123779297
2017-05-12,43.37005615234375
2017-05-15,43.559547424316406
2017-05-16,43.156883239746094
2017-05-17,42.97529220581055
2017-05-18,43.66219711303711
2017-05-19,43.89906692504883
2017-05-22,44.54648971557617
2017-05-23,44.57807922363281
2017-05-24,44.325416564941406
2017-05-25,44.254356384277344
2017-05-26,44.333309173583984
2017-05-30,44.57807922363281
2017-05-31,44.80704879760742
2017-06-01,44.846534729003906
2017-06-02,45.1386604309082
2017-06-05,44.90969467163086
2017-06-06,44.86231231689453
2017-06-07,44.91758346557617
2017-06-08,44.49122619628906
2017-06-09,44.443870544433594
2017-06-12,44.66668701171875
2017-06-13,44.794010162353516
2017-06-14,44.88948059082031
2017-06-15,44.94518280029297
2017-06-16,45.42264175415039
2017-06-19,45.19187545776367
2017-06-20,45.430606842041016
2017-06-21,44.937225341796875
2017-06-22,44.7780647277832
2017-06-23,44.515472412109375
2017-06-26,44.9053955078125
2017-06-27,44.475685119628906
2017-06-28,44.03005599975586
2017-06-29,43.52871322631836
2017-06-30,43.504844665527344
2017-07-03,43.07512664794922
2017-07-05,42.86027145385742
2017-07-06,42.77273941040039
2017-07-07,43.08308410644531
2017-07-10,42.931880950927734
2017-07-11,42.820472717285156
2017-07-12,43.28998565673828
2017-07-13,43.04329299926758
2017-07-14,43.313865661621094
2017-07-17,43.67991256713867
2017-07-18,44.053924560546875
2017-07-19,44.29265213012695
2017-07-20,44.674625396728516
2017-07-21,44.9849739074707
2017-07-24,44.49956512451172
2017-07-25,44.40407180786133
2017-07-26,44.83378601074219
2017-07-27,44.7780647277832
2017-07-28,44.69053268432617
2017-07-31,44.642791748046875
2017-08-01,44.9849739074707
2017-08-02,45.144142150878906
2017-08-03,45.3589973449707
2017-08-04,45.756866455078125
2017-08-07,46.107017517089844
2017-08-08,46.496952056884766
2017-08-09,46.21842575073242
2017-08-10,46.58448028564453
2017-08-11,46.1149787902832
2017-08-14,46.51286697387695
2017-08-15,46.81525802612305
2017-08-16,47.06193923950195
2017-08-17,46.878910064697266
2017-08-18,47.117645263671875
2017-08-21,47.157447814941406
2017-08-22,47.6746826171875
2017-08-23,47.945247650146484
2017-08-24,47.95321273803711
2017-08-25,48.040740966796875
2017-08-28,48.199893951416016
2017-08-29,48.080535888671875
2017-08-30,47.98503112792969
2017-08-31,47.73834228515625
2017-09-01,47.587154388427734
2017-09-05,47.6348991394043
2017-09-06,47.32455062866211
2017-09-07,47.650821685791016
2017-09-08,47.817928314208984
2017-09-11,48.47045135498047
2017-09-12,47.65286636352539
2017-09-13,47.20399475097656
2017-09-14,47.74104690551758
2017-09-15,47.941429138183594
2017-09-18,47.4925537109375
2017-09-19,47.4925537109375
2017-09-20,47.083763122558594
2017-09-21,47.13987731933594
2017-09-22,46.89939498901367
2017-09-25,47.59675979614258
2017-09-26,47.40437698364258
2017-09-27,46.42647171020508
2017-09-28,46.77916717529297
2017-09-29,46.36235427856445
2017-10-02,46.80320739746094
2017-10-03,46.43449783325195
2017-10-04,46.931461334228516
2017-10-05,47.16389846801758
2017-10-06,47.115821838378906
