Date,REL.L
2018-06-26,1575.51904296875
2018-06-27,1591.9931640625
2018-06-28,1605.97119140625
2018-06-29,1619.948974609375
2018-07-02,1608.4671630859375
2018-07-03,1626.9383544921875
2018-07-04,1614.9569091796875
2018-07-05,1632.4295654296875
2018-07-06,1652.8973388671875
2018-07-09,1652.39794921875
2018-07-10,1648.4041748046875
2018-07-11,1655.39306640625
2018-07-12,1684.846923828125
2018-07-13,1699.8236083984375
2018-07-16,1687.3427734375
2018-07-17,1707.810546875
2018-07-18,1711.8045654296875
2018-07-19,1712.3037109375
2018-07-20,1712.8028564453125
2018-07-23,1703.8170166015625
2018-07-24,1686.3447265625
2018-07-25,1675.362060546875
2018-07-26,1710.3067626953125
2018-07-27,1687.8421630859375
2018-07-30,1668.8719482421875
2018-07-31,1659.885986328125
2018-08-01,1654.39501953125
2018-08-02,1652.5216064453125
2018-08-03,1673.989501953125
2018-08-06,1681.9775390625
2018-08-07,1677.9833984375
2018-08-08,1694.9581298828125
2018-08-09,1700.948974609375
2018-08-10,1687.9686279296875
2018-08-13,1690.964111328125
2018-08-14,1688.4681396484375
2018-08-15,1682.4766845703125
2018-08-16,1701.94775390625
2018-08-17,1711.4332275390625
2018-08-20,1717.4244384765625
2018-08-21,1707.9384765625
2018-08-22,1723.4154052734375
2018-08-23,1727.40966796875
2018-08-24,1727.40966796875
2018-08-28,1738.89208984375
2018-08-29,1729.9056396484375
2018-08-30,1723.4154052734375
2018-08-31,1707.439453125
2018-09-03,1722.4169921875
2018-09-04,1721.41845703125
2018-09-05,1686.9700927734375
2018-09-06,1678.982177734375
2018-09-07,1649.02685546875
2018-09-10,1663.505126953125
2018-09-11,1651.02392578125
2018-09-12,1630.5546875
2018-09-13,1599.6011962890625
2018-09-14,1588.6177978515625
2018-09-17,1568.6473388671875
2018-09-18,1536.1961669921875
2018-09-19,1501.248779296875
2018-09-20,1537.69384765625
2018-09-21,1550.1751708984375
2018-09-24,1564.653564453125
2018-09-25,1566.151123046875
2018-09-26,1569.14697265625
2018-09-27,1591.11376953125
2018-09-28,1613.580078125
2018-10-01,1616.0765380859375
2018-10-02,1600.1004638671875
2018-10-03,1620.5697021484375
2018-10-04,1551.173828125
2018-10-05,1535.19775390625
2018-10-08,1522.71630859375
2018-10-09,1524.2139892578125
2018-10-10,1489.2664794921875
2018-10-11,1491.7630615234375
2018-10-12,1494.259033203125
2018-10-15,1497.7537841796875
2018-10-16,1522.71630859375
2018-10-17,1502.7464599609375
2018-10-18,1506.740478515625
2018-10-19,1513.7298583984375
2018-10-22,1509.73583984375
2018-10-23,1503.7447509765625
2018-10-24,1523.215576171875
2018-10-25,1549.6759033203125
2018-10-26,1529.206787109375
2018-10-29,1526.211181640625
2018-10-30,1515.7269287109375
2018-10-31,1547.6790771484375
2018-11-01,1527.7086181640625
2018-11-02,1527.7086181640625
2018-11-05,1524.2139892578125
2018-11-06,1518.2230224609375
2018-11-07,1535.697021484375
2018-11-08,1528.7073974609375
2018-11-09,1556.1661376953125
2018-11-12,1563.65478515625
2018-11-13,1568.1484375
2018-11-14,1584.6234130859375
2018-11-15,1625.5621337890625
2018-11-16,1617.5743408203125
2018-11-19,1616.0765380859375
2018-11-20,1596.60546875
2018-11-21,1622.5667724609375
2018-11-22,1617.5743408203125
2018-11-23,1647.5294189453125
2018-11-26,1640.0406494140625
2018-11-27,1639.541259765625
2018-11-28,1652.5216064453125
2018-11-29,1652.5216064453125
2018-11-30,1630.0552978515625
2018-12-03,1667.499267578125
2018-12-04,1643.0360107421875
2018-12-05,1607.589111328125
2018-12-06,1583.1258544921875
2018-12-07,1607.090087890625
2018-12-10,1592.611572265625
2018-12-11,1614.0794677734375
2018-12-12,1621.5682373046875
2018-12-13,1617.5743408203125
2018-12-14,1626.5606689453125
2018-12-17,1636.545654296875
2018-12-18,1605.5919189453125
2018-12-19,1615.5772705078125
2018-12-20,1609.5863037109375
2018-12-21,1585.123046875
2018-12-24,1592.611572265625
2018-12-27,1579.1317138671875
2018-12-28,1618.5726318359375
2018-12-31,1614.0794677734375
2019-01-02,1614.57861328125
2019-01-03,1600.5997314453125
2019-01-04,1628.557861328125
2019-01-07,1628.557861328125
2019-01-08,1645.5323486328125
2019-01-09,1631.053955078125
2019-01-10,1639.0418701171875
2019-01-11,1636.0465087890625
2019-01-14,1613.0809326171875
2019-01-15,1629.5562744140625
2019-01-16,1634.049560546875
2019-01-17,1644.0345458984375
2019-01-18,1664.50390625
2019-01-21,1669.9954833984375
2019-01-22,1673.989501953125
2019-01-23,1658.013427734375
2019-01-24,1638.5428466796875
2019-01-25,1617.5743408203125
2019-01-28,1612.082275390625
2019-01-29,1644.53369140625
2019-01-30,1670.49462890625
2019-01-31,1683.9744873046875
2019-02-01,1698.9521484375
2019-02-04,1710.4349365234375
2019-02-05,1736.3961181640625
2019-02-06,1712.93115234375
2019-02-07,1703.445556640625
2019-02-08,1718.4228515625
2019-02-11,1735.3974609375
2019-02-12,1724.413818359375
2019-02-13,1723.4154052734375
2019-02-14,1739.3916015625
2019-02-15,1717.4244384765625
2019-02-18,1689.965576171875
2019-02-19,1673.989501953125
2019-02-20,1682.4766845703125
2019-02-21,1762.8563232421875
2019-02-22,1766.85009765625
2019-02-25,1753.8695068359375
2019-02-26,1727.40966796875
2019-02-27,1709.9354248046875
2019-02-28,1726.410888671875
2019-03-01,1608.0885009765625
2019-03-04,1644.53369140625
2019-03-05,1655.5169677734375
2019-03-06,1676.485595703125
2019-03-07,1658.013427734375
2019-03-08,1639.541259765625
2019-03-11,1649.02685546875
2019-03-12,1654.5189208984375
2019-03-13,1645.5323486328125
2019-03-14,1667.9986572265625
2019-03-15,1666.001708984375
2019-03-18,1669.4964599609375
2019-03-19,1643.5352783203125
2019-03-20,1617.5743408203125
2019-03-21,1634.049560546875
2019-03-22,1612.581787109375
2019-03-25,1603.5950927734375
2019-03-26,1622.0675048828125
2019-03-27,1614.57861328125
2019-03-28,1624.064208984375
2019-03-29,1639.0418701171875
2019-04-01,1634.548828125
2019-04-02,1659.0120849609375
2019-04-03,1659.5113525390625
2019-04-04,1671.4932861328125
2019-04-05,1668.497802734375
2019-04-08,1667.9986572265625
2019-04-09,1648.0283203125
2019-04-10,1653.5203857421875
2019-04-11,1664.50390625
2019-04-12,1638.04345703125
2019-04-15,1646.0313720703125
2019-04-16,1666.001708984375
2019-04-17,1689.965576171875
2019-04-18,1698.452880859375
2019-04-23,1732.901123046875
2019-04-24,1727.9085693359375
2019-04-25,1736.89501953125
2019-04-26,1759.3612060546875
2019-04-29,1754.368896484375
2019-04-30,1756.3660888671875
2019-05-01,1756.3660888671875
2019-05-02,1703.2335205078125
2019-05-03,1723.7064208984375
2019-05-07,1713.7197265625
2019-05-08,1741.1832275390625
2019-05-09,1728.2005615234375
2019-05-10,1739.685302734375
2019-05-13,1737.687744140625
2019-05-14,1748.174072265625
2019-05-15,1770.6441650390625
2019-05-16,1794.6119384765625
2019-05-17,1804.598876953125
2019-05-20,1807.594970703125
2019-05-21,1799.6055908203125
2019-05-22,1841.05029296875
2019-05-23,1823.5738525390625
2019-05-24,1827.5684814453125
2019-05-28,1834.5592041015625
2019-05-29,1807.594970703125
2019-05-30,1848.0413818359375
2019-05-31,1840.0516357421875
2019-06-03,1850.53759765625
2019-06-04,1817.0821533203125
2019-06-05,1843.047607421875
2019-06-06,1858.52734375
2019-06-07,1869.5123291015625
2019-06-10,1875.50439453125
2019-06-11,1875.005126953125
2019-06-12,1890.4844970703125
2019-06-13,1878.001220703125
2019-06-14,1905.964111328125
