Date,FERG.L
2016-10-03,4655.19287109375
2016-10-04,4756.32421875
2016-10-05,4707.865234375
2016-10-06,4729.9873046875
2016-10-07,4791.08837890625
2016-10-10,4803.7294921875
2016-10-11,4795.30126953125
2016-10-12,4737.36328125
2016-10-13,4752.109375
2016-10-14,4806.88916015625
2016-10-17,4752.109375
2016-10-18,4763.6982421875
2016-10-19,4706.8115234375
2016-10-20,4696.2783203125
2016-10-21,4702.59814453125
2016-10-24,4700.49072265625
2016-10-25,4648.8720703125
2016-10-26,4585.66552734375
2016-10-27,4435.7021484375
2016-10-28,4459.93505859375
2016-10-31,4478.8994140625
2016-11-01,4530.52685546875
2016-11-02,4482.060546875
2016-11-03,4436.75634765625
2016-11-04,4364.05615234375
2016-11-07,4472.57861328125
2016-11-08,4523.15087890625
2016-11-09,4783.39306640625
2016-11-10,4833.966796875
2016-11-11,4739.142578125
2016-11-14,4846.609375
2016-11-15,4860.30712890625
2016-11-16,4740.1943359375
2016-11-17,4841.341796875
2016-11-18,4800.25146484375
2016-11-21,4819.216796875
2016-11-22,4868.7353515625
2016-11-23,4951.970703125
2016-11-24,4958.29296875
2016-11-25,4951.970703125
2016-11-28,4899.2900390625
2016-11-29,4867.681640625
2016-11-30,4894.0234375
2016-12-01,4915.09619140625
2016-12-02,4929.84619140625
2016-12-05,4937.22021484375
2016-12-06,4980.4189453125
2016-12-07,5144.783203125
2016-12-08,5173.22900390625
2016-12-09,5229.0712890625
2016-12-12,5219.58935546875
2016-12-13,5221.6953125
2016-12-14,5185.87353515625
2016-12-15,5203.78564453125
2016-12-16,5139.51318359375
2016-12-19,5183.76611328125
2016-12-20,5175.3369140625
2016-12-21,5203.78564453125
2016-12-22,5199.5693359375
2016-12-23,5203.78564453125
2016-12-28,5229.0712890625
2016-12-29,5221.6953125
2016-12-30,5228.017578125
2017-01-03,5223.802734375
2017-01-04,5248.0361328125
2017-01-05,5228.017578125
2017-01-06,5252.2509765625
2017-01-09,5263.83935546875
2017-01-10,5294.39501953125
2017-01-11,5260.6787109375
2017-01-12,5251.19677734375
2017-01-13,5263.83935546875
2017-01-16,5294.39501953125
2017-01-17,5126.87109375
2017-01-18,5233.28564453125
2017-01-19,5192.19482421875
2017-01-20,5201.67626953125
2017-01-23,5165.8544921875
2017-01-24,5210.10595703125
2017-01-25,5199.5693359375
2017-01-26,5205.8916015625
2017-01-27,5199.5693359375
2017-01-30,5173.22900390625
2017-01-31,5170.068359375
2017-02-01,5222.74853515625
2017-02-02,5218.53564453125
2017-02-03,5225.90966796875
2017-02-06,5225.90966796875
2017-02-07,5257.51904296875
2017-02-08,5221.6953125
2017-02-09,5231.177734375
2017-02-10,5278.5908203125
2017-02-13,5331.2724609375
2017-02-14,5294.39501953125
2017-02-15,5341.80712890625
2017-02-16,5294.39501953125
2017-02-17,5258.5732421875
2017-02-20,5283.859375
2017-02-21,5264.89306640625
2017-02-22,5258.5732421875
2017-02-23,5209.05224609375
2017-02-24,5134.24755859375
2017-02-27,5181.65869140625
2017-02-28,5178.49755859375
2017-03-01,5362.880859375
2017-03-02,5294.39501953125
2017-03-03,5260.6787109375
2017-03-06,5262.7861328125
2017-03-07,5273.32275390625
2017-03-08,5283.859375
2017-03-09,5229.0712890625
2017-03-10,5261.73291015625
2017-03-13,5283.859375
2017-03-14,5315.4677734375
2017-03-15,5420.8291015625
2017-03-16,5378.68359375
2017-03-17,5378.68359375
2017-03-20,5399.7548828125
2017-03-21,5357.61279296875
2017-03-22,5268.05517578125
2017-03-23,5299.66259765625
2017-03-24,5238.5546875
2017-03-27,5144.783203125
2017-03-28,5405.02587890625
2017-03-29,5362.880859375
2017-03-30,5352.34423828125
2017-03-31,5289.126953125
2017-04-03,5210.10595703125
2017-04-04,5257.51904296875
2017-04-05,5225.90966796875
2017-04-06,5221.0283203125
2017-04-07,5213.65234375
2017-04-10,5197.845703125
2017-04-11,5213.65234375
2017-04-12,5180.98681640625
2017-04-13,5190.47021484375
2017-04-18,5027.14990234375
2017-04-19,5041.900390625
2017-04-20,5060.86767578125
2017-04-21,5056.65283203125
2017-04-24,5191.52490234375
2017-04-25,5167.2900390625
2017-04-26,5217.86767578125
2017-04-27,5191.52490234375
2017-04-28,5167.2900390625
2017-05-02,5249.47802734375
2017-05-03,5289.517578125
2017-05-04,5300.0546875
2017-05-05,5336.9326171875
2017-05-08,5284.24951171875
2017-05-09,5321.13037109375
2017-05-10,5294.787109375
2017-05-11,5256.8544921875
2017-05-12,5242.1015625
2017-05-15,5208.3837890625
2017-05-16,5264.22900390625
2017-05-17,5184.1494140625
2017-05-18,5094.58544921875
2017-05-19,5153.59228515625
2017-05-22,5160.9677734375
2017-05-23,5156.7529296875
2017-05-24,5182.0419921875
2017-05-25,5175.71923828125
2017-05-26,5255.80078125
2017-05-30,5310.59033203125
2017-05-31,5384.34912109375
2017-06-01,5368.544921875
2017-06-02,5305.32373046875
2017-06-05,5310.59033203125
2017-06-06,5258.96142578125
2017-06-07,5179.93359375
2017-06-08,5153.59228515625
2017-06-09,5144.109375
2017-06-12,5175.71923828125
2017-06-13,5140.9462890625
2017-06-14,5089.31640625
2017-06-15,5014.50439453125
2017-06-16,5020.828125
2017-06-19,5146.21533203125
2017-06-20,5145.16259765625
2017-06-21,5179.93359375
2017-06-22,5147.2705078125
2017-06-23,5126.19580078125
2017-06-26,5068.24267578125
2017-06-27,5018.10498046875
2017-06-28,5007.13037109375
2017-06-29,4943.9091796875
2017-06-30,4966.0361328125
2017-07-03,4989.2158203125
2017-07-04,4970.25
2017-07-05,4979.732421875
2017-07-06,4927.04833984375
2017-07-07,4931.26416015625
2017-07-10,4952.33740234375
2017-07-11,4948.1220703125
2017-07-12,4988.1630859375
2017-07-13,4962.87451171875
2017-07-14,4918.619140625
2017-07-17,4915.4599609375
2017-07-18,4846.96728515625
2017-07-19,4798.4990234375
2017-07-20,4829.0556640625
2017-07-21,4741.599609375
2017-07-24,4728.9560546875
2017-07-25,4725.79345703125
2017-07-26,4741.599609375
2017-07-27,4763.7265625
2017-07-28,4741.599609375
2017-07-31,4770.05029296875
2017-08-01,4836.431640625
2017-08-02,4798.4990234375
2017-08-03,4878.5791015625
2017-08-04,4922.83447265625
2017-08-07,4920.72607421875
2017-08-08,4958.66015625
2017-08-09,4934.4248046875
2017-08-10,4887.00732421875
2017-08-11,4866.98876953125
2017-08-14,4877.52490234375
2017-08-15,4911.24365234375
2017-08-16,4957.60595703125
2017-08-17,4879.6328125
2017-08-18,4825.89501953125
2017-08-21,4824.84033203125
2017-08-22,4907.0283203125
2017-08-23,4828.0029296875
2017-08-24,4783.7470703125
2017-08-25,4783.7470703125
2017-08-29,4699.45166015625
2017-08-30,4795.33740234375
2017-08-31,4850.12890625
2017-09-01,4891.2236328125
2017-09-04,4910.189453125
2017-09-05,4850.12890625
2017-09-06,4773.2099609375
2017-09-07,4777.4248046875
2017-09-08,4789.015625
2017-09-11,4800.6064453125
2017-09-12,4899.65185546875
2017-09-13,4898.59912109375
2017-09-14,4887.00732421875
2017-09-15,4726.84765625
2017-09-18,4819.57373046875
2017-09-19,4928.10302734375
2017-09-20,4911.24365234375
2017-09-21,4944.962890625
2017-09-22,4996.5927734375
2017-09-25,4990.27099609375
2017-09-26,4988.1630859375
2017-09-27,5020.828125
2017-09-28,5160.9677734375
2017-09-29,5158.86083984375
2017-10-02,5125.14306640625
2017-10-03,5331.66552734375
2017-10-04,5426.49755859375
2017-10-05,5442.302734375
2017-10-06,5479.18115234375
2017-10-09,5468.64599609375
2017-10-10,5505.52294921875
2017-10-11,5463.3759765625
2017-10-12,5526.59765625
2017-10-13,5542.40380859375
2017-10-16,5526.59765625
2017-10-17,5484.4501953125
2017-10-18,5542.40380859375
2017-10-19,5552.93994140625
2017-10-20,5579.283203125
2017-10-23,5637.23583984375
2017-10-24,5589.8193359375
2017-10-25,5494.98779296875
2017-10-26,5522.10498046875
2017-10-27,5532.64404296875
2017-10-30,5548.4521484375
2017-10-31,5548.4521484375
2017-11-01,5558.98974609375
2017-11-02,5616.9521484375
2017-11-03,5648.56640625
2017-11-06,5674.91259765625
2017-11-07,5638.0283203125
2017-11-08,5632.7587890625
2017-11-09,5601.14404296875
2017-11-10,5580.0673828125
2017-11-13,5527.37451171875
2017-11-14,5522.10498046875
2017-11-15,5469.4140625
2017-11-16,5569.52783203125
2017-11-17,5548.4521484375
2017-11-20,5611.68310546875
2017-11-21,5585.33544921875
2017-11-22,5569.52783203125
2017-11-23,5638.0283203125
2017-11-24,5606.41357421875
2017-11-27,5585.33544921875
2017-11-28,5611.68310546875
2017-11-29,5643.29736328125
2017-11-30,5616.9521484375
2017-12-01,5643.29736328125
2017-12-04,5775.02734375
2017-12-05,5711.796875
2017-12-06,5695.9892578125
2017-12-07,5616.9521484375
2017-12-08,5632.7587890625
2017-12-11,5627.490234375
2017-12-12,5548.4521484375
2017-12-13,5548.4521484375
2017-12-14,5485.2216796875
2017-12-15,5553.7216796875
2017-12-18,5585.33544921875
2017-12-19,5711.796875
2017-12-20,5690.71923828125
2017-12-21,5674.91259765625
2017-12-22,5717.06591796875
2017-12-27,5611.68310546875
2017-12-28,5643.29736328125
2017-12-29,5616.9521484375
2018-01-02,5623.27294921875
2018-01-03,5650.6748046875
2018-01-04,5654.8896484375
2018-01-05,5722.33544921875
2018-01-08,5659.10546875
2018-01-09,5789.7802734375
2018-01-10,5789.7802734375
2018-01-11,5734.98046875
2018-01-12,5775.02734375
2018-01-15,5890.94921875
2018-01-16,6008.9765625
2018-01-17,5996.33203125
2018-01-18,5926.77880859375
2018-01-19,5926.77880859375
2018-01-22,5871.98095703125
2018-01-23,5882.51708984375
2018-01-24,5764.48876953125
2018-01-25,5791.88720703125
2018-01-26,5871.98095703125
2018-01-29,5857.2255859375
2018-01-30,5753.95068359375
2018-01-31,5728.65771484375
2018-02-01,5671.75
2018-02-02,5585.33544921875
2018-02-05,5492.60009765625
2018-02-06,5433.583984375
2018-02-07,5557.93603515625
2018-02-08,5446.22998046875
2018-02-09,5410.39892578125
2018-02-12,5460.982421875
2018-02-13,5420.9384765625
2018-02-14,5416.72119140625
2018-02-15,5479.9521484375
2018-02-16,5496.81298828125
2018-02-19,5448.33642578125
2018-02-20,5517.89013671875
2018-02-21,5557.93603515625
2018-02-22,5570.58251953125
