Date,CIEINDIA.NS
2016-05-30,185.76766967773438
2016-05-31,204.72743225097656
2016-06-01,196.73178100585938
2016-06-02,191.2257843017578
2016-06-03,188.54458618164062
2016-06-06,186.48583984375
2016-06-07,191.4172821044922
2016-06-08,192.94940185546875
2016-06-09,190.74697875976562
2016-06-10,185.671875
2016-06-13,189.02337646484375
2016-06-14,185.86341857910156
2016-06-15,186.8688507080078
2016-06-16,184.2355499267578
2016-06-17,183.469482421875
2016-06-20,185.14523315429688
2016-06-21,185.52825927734375
2016-06-22,181.31497192382812
2016-06-23,181.36285400390625
2016-06-24,175.138671875
2016-06-27,170.49447631835938
2016-06-28,168.57936096191406
2016-06-29,169.96780395507812
2016-06-30,170.35084533691406
2016-07-01,169.3454132080078
2016-07-04,175.80897521972656
2016-07-05,176.14413452148438
