Date,BKG.L
2020-03-05,4948.57421875
2020-03-06,4791.279296875
2020-03-09,4520.15283203125
2020-03-10,4383.55419921875
2020-03-11,4217.9814453125
2020-03-12,3767.828857421875
2020-03-13,3745.0625
2020-03-16,3584.6630859375
2020-03-17,3767.828857421875
2020-03-18,3554.653564453125
2020-03-19,3400.411376953125
2020-03-20,3514.27587890625
2020-03-23,3241.000732421875
2020-03-24,3543.259521484375
2020-03-25,3742.00537109375
2020-03-26,3824.81591796875
2020-03-27,3772.02392578125
2020-03-30,3726.477783203125
2020-03-31,3742.00537109375
2020-04-01,3590.875732421875
2020-04-02,3519.45166015625
2020-04-03,3504.959716796875
2020-04-06,3912.802001953125
2020-04-07,3970.769287109375
2020-04-08,4093.949951171875
2020-04-09,4114.65380859375
2020-04-14,3982.15576171875
2020-04-15,3809.288818359375
2020-04-16,3947.99658203125
2020-04-17,4168.47900390625
2020-04-20,4102.23095703125
2020-04-21,4067.037109375
2020-04-22,4223.34130859375
2020-04-23,4439.68408203125
2020-04-24,4484.19580078125
2020-04-27,4305.11767578125
2020-04-28,4451.0712890625
2020-04-29,4494.54736328125
2020-04-30,4329.9599609375
2020-05-01,4348.59326171875
2020-05-04,4315.46826171875
2020-05-05,4330.99560546875
2020-05-06,4345.48779296875
2020-05-07,4417.94775390625
2020-05-11,4317.5390625
2020-05-12,4248.185546875
2020-05-13,4295.80126953125
2020-05-14,4052.545166015625
2020-05-15,4149.84765625
2020-05-18,4216.09619140625
2020-05-19,4241.974609375
2020-05-20,4039.088623046875
2020-05-21,4123.96923828125
2020-05-22,4100.16064453125
2020-05-26,4266.81787109375
2020-05-27,4207.81591796875
2020-05-28,4326.85546875
2020-05-29,4238.86865234375
2020-06-01,4275.09814453125
2020-06-02,4325.8203125
2020-06-03,4444.86083984375
2020-06-04,4516.28466796875
2020-06-05,4533.88232421875
2020-06-08,4665.3427734375
2020-06-09,4432.43896484375
2020-06-10,4365.15478515625
2020-06-11,4205.744140625
2020-06-12,4327.89013671875
2020-06-15,4197.4638671875
2020-06-16,4370.3310546875
2020-06-17,4551.47900390625
2020-06-18,4535.9521484375
2020-06-19,4455.2119140625
2020-06-22,4586.673828125
2020-06-23,4699.5029296875
2020-06-24,4498.6875
2020-06-25,4415.876953125
2020-06-26,4249.22021484375
2020-06-29,4354.80322265625
2020-06-30,4311.328125
2020-07-01,4320.64501953125
2020-07-02,4337.20654296875
2020-07-03,4309.25732421875
2020-07-06,4475.91455078125
2020-07-07,4446.93115234375
2020-07-08,4387.927734375
2020-07-09,4554.58447265625
2020-07-10,4586.673828125
2020-07-13,4585.638671875
2020-07-14,4553.54931640625
2020-07-15,4618.76171875
2020-07-16,4622.90283203125
2020-07-17,4580.4638671875
2020-07-20,4645.67626953125
2020-07-21,4591.84912109375
2020-07-22,4624.9736328125
2020-07-23,4662.23876953125
2020-07-24,4608.412109375
2020-07-27,4628.0791015625
2020-07-28,4858.9140625
2020-07-29,4784.3837890625
2020-07-30,4726.4169921875
2020-07-31,4610.4814453125
2020-08-03,4720.205078125
2020-08-04,4568.04052734375
2020-08-05,4611.51708984375
2020-08-06,4542.1630859375
2020-08-07,4666.37890625
2020-08-10,4636.359375
2020-08-11,4669.484375
2020-08-12,4747.119140625
2020-08-13,4744.013671875
2020-08-14,4756.43505859375
2020-08-17,4815.4375
2020-08-18,4863.05419921875
2020-08-19,4805.08642578125
2020-08-20,4696.4453125
2020-08-21,4687.12646484375
2020-08-24,4721.29443359375
2020-08-25,4679.87890625
2020-08-26,4753.39111328125
2020-08-27,4703.69287109375
2020-08-28,4720.2578125
2020-09-01,4670.56005859375
2020-09-02,4890.05908203125
2020-09-03,4812.40625
2020-09-04,4633.287109375
2020-09-07,4707.83349609375
2020-09-08,4637.42822265625
2020-09-09,4603.26171875
2020-09-10,4648.818359375
2020-09-11,4581.5185546875
2020-09-14,4616.72119140625
2020-09-15,4696.4453125
2020-09-16,4657.10107421875
2020-09-17,4640.53515625
2020-09-18,4612.57958984375
2020-09-21,4306.1103515625
2020-09-22,4217.06787109375
2020-09-23,4245.0234375
2020-09-24,4260.552734375
2020-09-25,4283.3310546875
2020-09-28,4441.744140625
2020-09-29,4400.3291015625
2020-09-30,4377.55029296875
2020-10-01,4479.01708984375
2020-10-02,4510.07763671875
2020-10-05,4570.12939453125
2020-10-06,4610.5087890625
2020-10-07,4626.0400390625
2020-10-08,4682.9853515625
2020-10-09,4620.86328125
2020-10-12,4567.0234375
2020-10-13,4474.875
2020-10-14,4546.3154296875
2020-10-15,4498.689453125
2020-10-16,4479.01708984375
2020-10-19,4414.82421875
2020-10-20,4355.80712890625
2020-10-21,4338.2060546875
2020-10-22,4358.91357421875
2020-10-23,4418.9658203125
2020-10-26,4343.38330078125
2020-10-27,4228.45703125
2020-10-28,4142.521484375
2020-10-29,4166.33447265625
2020-10-30,4200.50244140625
2020-11-02,4231.5634765625
2020-11-03,4334.06494140625
2020-11-04,4421.0361328125
2020-11-05,4472.8046875
2020-11-06,4496.6181640625
2020-11-09,4788.5927734375
2020-11-10,4695.40966796875
2020-11-11,4804.12353515625
2020-11-12,4780.31005859375
2020-11-13,4840.36181640625
2020-11-16,4903.51953125
2020-11-17,4950.111328125
2020-11-18,5029.8349609375
2020-11-19,4937.6865234375
