Date,GE
2019-11-01,50.39126968383789
2019-11-04,53.06133270263672
2019-11-05,53.255516052246094
2019-11-06,53.49823760986328
2019-11-07,54.80900192260742
2019-11-08,55.925575256347656
2019-11-11,55.10029220581055
2019-11-12,55.44010925292969
2019-11-13,54.80900192260742
2019-11-14,54.80900192260742
2019-11-15,55.925575256347656
2019-11-18,55.53721237182617
2019-11-19,55.8284797668457
2019-11-20,55.29447555541992
2019-11-21,55.974117279052734
2019-11-22,56.07120895385742
2019-11-25,56.21685791015625
2019-11-26,55.10029220581055
2019-11-27,54.80900192260742
2019-11-29,54.71190643310547
2019-12-02,54.17789840698242
2019-12-03,53.35261917114258
2019-12-04,52.91569137573242
2019-12-05,52.38168716430664
2019-12-06,53.88663101196289
2019-12-09,53.35261917114258
2019-12-10,53.44969940185547
2019-12-11,53.255516052246094
2019-12-12,55.53721237182617
2019-12-13,55.05173110961914
2019-12-16,54.2264518737793
2019-12-17,53.88663101196289
2019-12-18,53.206974029541016
2019-12-19,53.59534454345703
2019-12-20,53.5953369140625
2019-12-23,54.22701644897461
2019-12-24,54.372798919677734
2019-12-26,54.567161560058594
2019-12-27,54.32421112060547
2019-12-30,53.838294982910156
2019-12-31,54.22701644897461
2020-01-02,57.968482971191406
2020-01-03,58.16285705566406
2020-01-06,58.988887786865234
2020-01-07,58.55157470703125
2020-01-08,58.01707458496094
2020-01-09,57.871315002441406
2020-01-10,56.70512771606445
2020-01-13,58.8917121887207
2020-01-14,58.45439910888672
2020-01-15,57.676944732666016
2020-01-16,57.53118133544922
2020-01-17,57.38539123535156
2020-01-21,56.65654373168945
2020-01-22,55.2474250793457
2020-01-23,57.191043853759766
2020-01-24,56.899497985839844
2020-01-27,55.58755874633789
2020-01-28,56.996681213378906
2020-01-29,62.876129150390625
2020-01-30,61.85573196411133
2020-01-31,60.49519729614258
2020-02-03,59.57197952270508
2020-02-04,61.12687301635742
2020-02-05,62.487403869628906
2020-02-06,62.924720764160156
2020-02-07,62.341644287109375
2020-02-10,62.73036193847656
2020-02-11,62.43882369995117
2020-02-12,63.94514083862305
2020-02-13,62.876129150390625
2020-02-14,62.341644287109375
2020-02-18,61.95291519165039
2020-02-19,61.272647857666016
2020-02-20,60.88392639160156
2020-02-21,59.52339172363281
2020-02-24,57.628353118896484
2020-02-25,55.00447463989258
2020-02-26,53.206626892089844
2020-02-27,50.48555374145508
2020-02-28,52.86648178100586
2020-03-02,54.4699592590332
2020-03-03,52.86648178100586
2020-03-04,53.206626892089844
2020-03-05,48.979248046875
2020-03-06,45.720455169677734
2020-03-09,39.932437896728516
2020-03-10,43.04530334472656
2020-03-11,39.932437896728516
2020-03-12,35.165836334228516
2020-03-13,38.18143844604492
2020-03-16,32.3934211730957
2020-03-17,34.436256408691406
2020-03-18,32.10158920288086
2020-03-19,31.517929077148438
2020-03-20,31.712474822998047
2020-03-23,29.718286514282227
2020-03-24,34.095787048339844
2020-03-25,36.77091598510742
2020-03-26,39.49467849731445
2020-03-27,37.062744140625
