Date,ITV.L
2017-02-28,201.69903564453125
2017-03-01,210.86265563964844
2017-03-02,203.49191284179688
2017-03-03,202.29664611816406
2017-03-06,205.3843994140625
2017-03-07,205.6831817626953
2017-03-08,205.1851806640625
2017-03-09,207.67527770996094
2017-03-10,206.87844848632812
2017-03-13,206.3804168701172
2017-03-14,206.3804168701172
2017-03-15,205.08555603027344
2017-03-16,205.1851806640625
2017-03-17,207.47608947753906
2017-03-20,208.27291870117188
2017-03-21,207.87451171875
2017-03-22,207.17727661132812
2017-03-23,207.67527770996094
2017-03-24,208.7709197998047
2017-03-27,208.67132568359375
2017-03-28,209.16937255859375
2017-03-29,209.4681854248047
2017-03-30,210.56381225585938
2017-03-31,218.03416442871094
2017-04-03,212.456298828125
2017-04-04,212.65550231933594
2017-04-05,216.3408660888672
2017-04-06,215.84283447265625
2017-04-07,214.8468017578125
2017-04-10,216.3408660888672
2017-04-11,216.83888244628906
2017-04-12,216.14166259765625
2017-04-13,216.5400848388672
2017-04-18,215.6436309814453
2017-04-19,215.6436309814453
2017-04-20,216.63967895507812
2017-04-21,215.6436309814453
2017-04-24,218.3329620361328
2017-04-25,218.7313995361328
2017-04-26,218.53216552734375
2017-04-27,209.7132568359375
2017-04-28,209.21511840820312
2017-05-02,210.70948791503906
2017-05-03,207.02333068847656
2017-05-04,206.42556762695312
2017-05-05,201.04576110839844
2017-05-08,200.0494842529297
2017-05-09,200.0494842529297
2017-05-10,195.4666748046875
2017-05-11,188.29360961914062
2017-05-12,191.48165893554688
2017-05-15,191.780517578125
2017-05-16,191.9797821044922
2017-05-17,190.58499145507812
2017-05-18,191.2823944091797
2017-05-19,195.26744079589844
2017-05-22,197.25994873046875
2017-05-23,197.45919799804688
2017-05-24,198.75436401367188
2017-05-25,198.2562255859375
2017-05-26,199.4517364501953
2017-05-30,198.15658569335938
2017-05-31,194.9685821533203
2017-06-01,190.88388061523438
2017-06-02,190.68463134765625
2017-06-05,187.5962371826172
2017-06-06,182.81414794921875
2017-06-07,183.21266174316406
2017-06-08,185.5040740966797
2017-06-09,183.31228637695312
2017-06-12,181.71824645996094
2017-06-13,184.607421875
2017-06-14,184.1092987060547
2017-06-15,178.4306182861328
