Date,M&M.NS
2019-08-09,518.229736328125
2019-08-13,486.7398681640625
2019-08-14,497.33148193359375
2019-08-16,501.41607666015625
2019-08-19,494.4817199707031
2019-08-20,501.3686828613281
2019-08-21,494.8141784667969
2019-08-22,486.1698913574219
2019-08-23,506.5456848144531
2019-08-26,517.0423583984375
2019-08-27,526.30419921875
2019-08-28,512.6727294921875
2019-08-29,501.55865478515625
2019-08-30,502.3185119628906
2019-09-03,489.63714599609375
2019-09-04,480.3753967285156
2019-09-05,491.1094970703125
2019-09-06,502.9834899902344
2019-09-09,505.8807678222656
2019-09-11,518.4197387695312
2019-09-12,516.3773803710938
2019-09-13,523.644287109375
2019-09-16,510.0604553222656
2019-09-17,495.81158447265625
2019-09-18,500.6086730957031
2019-09-19,493.2942810058594
2019-09-20,540.4104614257812
2019-09-23,536.7057495117188
2019-09-24,530.7687377929688
2019-09-25,507.92315673828125
2019-09-26,538.5581665039062
2019-09-27,527.3014526367188
2019-09-30,519.7495727539062
2019-10-01,528.8212890625
2019-10-03,534.5209350585938
2019-10-04,535.9932250976562
2019-10-07,525.2590942382812
2019-10-09,547.67724609375
2019-10-10,537.703125
2019-10-11,532.0510864257812
2019-10-14,540.1730346679688
2019-10-15,554.1843872070312
2019-10-16,554.99169921875
2019-10-17,563.5885009765625
2019-10-18,563.5885009765625
2019-10-22,565.9632568359375
2019-10-23,562.2111206054688
2019-10-24,551.9519653320312
2019-10-25,548.7697143554688
2019-10-27,561.878662109375
2019-10-29,581.162109375
2019-10-30,585.6741943359375
2019-10-31,576.0799560546875
2019-11-01,560.2163696289062
2019-11-04,557.0341186523438
2019-11-05,551.0971069335938
2019-11-06,550.7645874023438
2019-11-07,551.2870483398438
2019-11-08,550.95458984375
2019-11-11,546.2049560546875
2019-11-13,545.9199829101562
2019-11-14,549.4822387695312
2019-11-15,553.8517456054688
2019-11-18,544.9701538085938
2019-11-19,532.5736083984375
2019-11-20,532.3836669921875
2019-11-21,524.166748046875
2019-11-22,518.6571655273438
2019-11-25,520.3671264648438
2019-11-26,511.6278381347656
2019-11-27,512.9102172851562
2019-11-28,514.81005859375
2019-11-29,503.98095703125
2019-12-02,507.40069580078125
2019-12-03,496.7140197753906
2019-12-04,499.2312927246094
2019-12-05,498.4713439941406
2019-12-06,484.6500244140625
2019-12-09,487.9272766113281
2019-12-10,480.4228820800781
2019-12-11,482.32275390625
2019-12-12,486.264892578125
2019-12-13,490.34954833984375
2019-12-16,483.36761474609375
