Date,MGL.NS
2017-04-10,746.042724609375
2017-04-11,776.1616821289062
2017-04-12,786.5745849609375
2017-04-13,788.9393310546875
2017-04-17,812.4619140625
2017-04-18,809.5578002929688
2017-04-19,830.7987060546875
2017-04-20,846.2315063476562
2017-04-21,832.70703125
2017-04-24,835.7354736328125
2017-04-25,841.6265258789062
2017-04-26,834.9473266601562
2017-04-27,843.1614379882812
2017-04-28,855.6072998046875
2017-05-02,842.9955444335938
2017-05-03,832.001708984375
2017-05-04,830.0103759765625
2017-05-05,824.4097900390625
2017-05-08,824.8662109375
2017-05-09,822.9163818359375
2017-05-10,836.3163452148438
2017-05-11,830.1348876953125
2017-05-12,813.8723754882812
2017-05-15,825.4469604492188
2017-05-16,821.7546997070312
2017-05-17,836.565185546875
2017-05-18,811.5076293945312
