Date,CS.PA
2022-05-31,19.785152435302734
2022-06-01,19.7767333984375
2022-06-02,19.759902954101562
2022-06-03,19.780941009521484
2022-06-06,20.10915184020996
2022-06-07,19.932422637939453
2022-06-08,19.637874603271484
2022-06-09,19.70099449157715
2022-06-10,19.00249671936035
2022-06-13,18.611169815063477
2022-06-14,18.842599868774414
2022-06-15,19.402238845825195
2022-06-16,19.015119552612305
2022-06-17,18.926755905151367
2022-06-20,19.116107940673828
2022-06-21,19.048782348632812
2022-06-22,18.86784553527832
2022-06-23,18.480728149414062
2022-06-24,18.905715942382812
2022-06-27,18.54384422302246
2022-06-28,18.75844383239746
2022-06-29,18.514389038085938
2022-06-30,18.22825813293457
2022-07-01,18.282960891723633
2022-07-04,18.333452224731445
2022-07-05,17.15105628967285
2022-07-06,17.407733917236328
2022-07-07,17.862178802490234
2022-07-08,18.181970596313477
2022-07-11,18.043113708496094
2022-07-12,18.303998947143555
2022-07-13,17.954750061035156
2022-07-14,17.462434768676758
2022-07-15,17.63075065612793
2022-07-18,17.76960563659668
2022-07-19,18.009450912475586
2022-07-20,17.836931228637695
2022-07-21,17.88321876525879
2022-07-22,17.84955406188965
2022-07-25,18.030488967895508
2022-07-26,18.017866134643555
2022-07-27,18.341869354248047
2022-07-28,18.480728149414062
2022-07-29,18.893095016479492
2022-08-01,18.79631233215332
2022-08-02,18.661663055419922
2022-08-03,19.717824935913086
2022-08-04,19.473770141601562
2022-08-05,19.759902954101562
2022-08-08,20.07128143310547
2022-08-09,20.104944229125977
2022-08-10,20.327959060668945
2022-08-11,20.416322708129883
2022-08-12,20.54676628112793
2022-08-15,20.584632873535156
2022-08-16,20.689828872680664
2022-08-17,20.57621955871582
2022-08-18,20.513103485107422
2022-08-19,20.416322708129883
2022-08-22,20.012372970581055
2022-08-23,20.02920150756836
2022-08-24,19.91559410095215
2022-08-25,19.877721786499023
2022-08-26,19.717824935913086
2022-08-29,19.60421371459961
2022-08-30,19.814605712890625
2022-08-31,19.797773361206055
2022-09-01,19.684162139892578
2022-09-02,20.100736618041992
2022-09-05,19.835643768310547
2022-09-06,20.008163452148438
2022-09-07,19.961877822875977
2022-09-08,20.517309188842773
2022-09-09,20.942298889160156
2022-09-12,21.47669219970703
2022-09-13,21.39674186706543
2022-09-14,21.17793846130371
2022-09-15,21.354663848876953
2022-09-16,21.2073917388916
2022-09-19,21.08115577697754
2022-09-20,20.98858642578125
2022-09-21,20.975961685180664
2022-09-22,20.736116409301758
2022-09-23,20.222763061523438
2022-09-26,19.789356231689453
2022-09-27,19.608421325683594
2022-09-28,19.250757217407227
2022-09-29,18.80472755432129
2022-09-30,18.914133071899414
2022-10-03,18.707948684692383
2022-10-04,20.041826248168945
2022-10-05,19.743072509765625
2022-10-06,19.490604400634766
2022-10-07,19.456941604614258
2022-10-10,19.503225326538086
2022-10-11,19.36016082763672
2022-10-12,19.05719757080078
2022-10-13,19.5705509185791
2022-10-14,19.961877822875977
2022-10-17,20.130189895629883
2022-10-18,20.168062210083008
2022-10-19,20.614091873168945
2022-10-20,20.441570281982422
2022-10-21,20.391075134277344
2022-10-24,20.900218963623047
2022-10-25,21.013832092285156
2022-10-26,20.896015167236328
2022-10-27,21.026456832885742
2022-10-28,20.98858642578125
2022-10-31,21.039079666137695
2022-11-01,21.33362579345703
2022-11-02,21.110610961914062
2022-11-03,21.767032623291016
2022-11-04,21.809110641479492
2022-11-07,22.29300880432129
2022-11-08,22.360334396362305
2022-11-09,22.301424026489258
2022-11-10,22.40241241455078
2022-11-11,22.377164840698242
2022-11-14,22.469738006591797
2022-11-15,22.410825729370117
2022-11-16,22.465526580810547
2022-11-17,22.410825729370117
2022-11-18,22.78952980041504
2022-11-21,22.709583282470703
2022-11-22,22.861064910888672
2022-11-23,22.831607818603516
2022-11-24,22.95363426208496
2022-11-25,22.94942855834961
2022-11-28,22.806364059448242
2022-11-29,23.020959854125977
2022-11-30,22.739036560058594
2022-12-01,23.037792205810547
2022-12-02,23.0504150390625
2022-12-05,22.983089447021484
2022-12-06,23.109323501586914
2022-12-07,22.945219039916992
2022-12-08,22.739036560058594
2022-12-09,23.016754150390625
2022-12-12,22.743244171142578
2022-12-13,23.063037872314453
2022-12-14,22.78952980041504
2022-12-15,22.06157684326172
2022-12-16,21.90589141845703
2022-12-19,22.099451065063477
2022-12-20,22.208852767944336
2022-12-21,22.465526580810547
2022-12-22,22.36454200744629
2022-12-23,22.242515563964844
2022-12-27,22.305631637573242
2022-12-28,22.175189971923828
2022-12-29,22.217266082763672
2022-12-30,21.926929473876953
2023-01-02,22.288801193237305
2023-01-03,22.436073303222656
2023-01-04,22.760074615478516
2023-01-05,22.507606506347656
2023-01-06,23.012544631958008
2023-01-09,23.063037872314453
2023-01-10,23.100910186767578
2023-01-11,22.999921798706055
2023-01-12,23.403873443603516
2023-01-13,23.403873443603516
2023-01-16,23.605846405029297
2023-01-17,23.614261627197266
2023-01-18,23.782573699951172
2023-01-19,23.462779998779297
2023-01-20,23.77836799621582
2023-01-23,23.59743309020996
2023-01-24,23.790990829467773
2023-01-25,24.009798049926758
2023-01-26,24.106576919555664
2023-01-27,24.098161697387695
