Date,HTG.L
2022-08-10,220.31118774414062
2022-08-11,227.30519104003906
2022-08-12,226.3060302734375
2022-08-15,225.306884765625
2022-08-16,219.81161499023438
2022-08-17,216.31460571289062
2022-08-18,224.30775451660156
2022-08-19,224.30775451660156
2022-08-22,222.30946350097656
2022-08-23,234.2991943359375
2022-08-24,225.80648803710938
2022-08-25,271.7670593261719
2022-08-26,276.7628173828125
2022-08-30,276.7628173828125
2022-08-31,288.25299072265625
2022-09-01,278.2615051269531
2022-09-02,287.2537536621094
2022-09-05,284.75592041015625
2022-09-06,286.7542419433594
2022-09-07,281.75848388671875
2022-09-08,281.2589416503906
2022-09-09,291.7499694824219
2022-09-12,288.7525329589844
2022-09-13,281.2589416503906
2022-09-14,286.7542419433594
2022-09-15,278.7611083984375
2022-09-16,275.7636413574219
2022-09-20,267.7704772949219
2022-09-21,271.7670593261719
2022-09-22,273.2658386230469
2022-09-23,248.2871856689453
2022-09-26,242.6850128173828
2022-09-27,239.7944793701172
2022-09-28,243.29147338867188
2022-09-29,236.7970428466797
2022-09-30,233.30003356933594
2022-10-03,240.7936248779297
2022-10-04,249.28634643554688
2022-10-05,249.78591918945312
2022-10-06,263.81646728515625
2022-10-07,267.31402587890625
2022-10-10,255.32237243652344
2022-10-11,245.329345703125
2022-10-12,228.84080505371094
2022-10-13,241.83175659179688
2022-10-14,229.84007263183594
2022-10-17,236.83522033691406
2022-10-18,230.83941650390625
2022-10-19,231.8386993408203
2022-10-20,243.33070373535156
2022-10-21,236.33558654785156
2022-10-24,231.33905029296875
2022-10-25,235.83592224121094
2022-10-26,237.8345489501953
2022-10-27,250.3258514404297
2022-10-28,257.82061767578125
2022-10-31,267.31402587890625
2022-11-01,278.3063659667969
2022-11-02,273.3099060058594
2022-11-03,276.30780029296875
2022-11-04,294.2952575683594
2022-11-07,297.7928161621094
2022-11-08,292.79632568359375
2022-11-09,285.3015441894531
2022-11-10,279.80535888671875
2022-11-11,281.3042907714844
2022-11-14,303.7886657714844
2022-11-15,302.7893371582031
2022-11-16,304.7879638671875
2022-11-17,298.2925109863281
2022-11-18,281.8039245605469
2022-11-21,273.3099060058594
2022-11-22,280.80462646484375
2022-11-23,278.8060607910156
2022-11-24,270.31195068359375
2022-11-25,267.31402587890625
2022-11-28,267.31402587890625
2022-11-29,262.8171691894531
2022-11-30,272.310546875
2022-12-01,271.31121826171875
2022-12-02,277.80670166015625
2022-12-05,280.80462646484375
2022-12-06,258.8199462890625
2022-12-07,244.3300018310547
2022-12-08,248.3272247314453
2022-12-09,243.8303680419922
2022-12-12,243.33070373535156
2022-12-13,255.32237243652344
2022-12-14,263.81646728515625
2022-12-15,294.794921875
2022-12-16,299.79144287109375
2022-12-19,304.2882995605469
2022-12-20,314.781005859375
2022-12-21,322.77545166015625
2022-12-22,331.26953125
2022-12-23,331.7691650390625
2022-12-28,336.7657165527344
2022-12-29,330.7698974609375
2022-12-30,332.76849365234375
2023-01-03,332.76849365234375
2023-01-04,308.2855224609375
2023-01-05,321.2764892578125
2023-01-06,322.77545166015625
2023-01-09,330.7698974609375
2023-01-10,329.77056884765625
2023-01-11,326.7726135253906
2023-01-12,327.2723083496094
2023-01-13,329.77056884765625
2023-01-16,334.76708984375
2023-01-17,333.26812744140625
2023-01-18,342.2618713378906
2023-01-19,341.76220703125
2023-01-20,343.2611999511719
2023-01-23,344.7601623535156
2023-01-24,342.7615661621094
2023-01-25,337.7650451660156
2023-01-26,332.76849365234375
2023-01-27,328.2716369628906
2023-01-30,340.762939453125
2023-01-31,348.2577209472656
2023-02-01,351.255615234375
2023-02-02,338.7643127441406
2023-02-03,330.27020263671875
2023-02-06,327.77197265625
2023-02-07,325.2737121582031
2023-02-08,332.76849365234375
2023-02-09,329.77056884765625
2023-02-10,332.26885986328125
2023-02-13,327.77197265625
2023-02-14,328.2716369628906
2023-02-15,325.7733459472656
2023-02-16,331.7691650390625
2023-02-17,331.7691650390625
2023-02-20,327.77197265625
2023-02-21,327.77197265625
2023-02-22,309.78448486328125
2023-02-23,321.7761535644531
2023-02-24,333.7677917480469
2023-02-27,329.2709045410156
2023-02-28,330.27020263671875
2023-03-01,333.7677917480469
2023-03-02,305.2876281738281
2023-03-03,281.8039245605469
2023-03-06,276.80743408203125
2023-03-07,275.80810546875
2023-03-08,268.81298828125
2023-03-09,267.81365966796875
2023-03-10,266.3147277832031
2023-03-13,254.82272338867188
2023-03-14,249.82620239257812
2023-03-15,229.84007263183594
2023-03-16,230.83941650390625
2023-03-17,227.84149169921875
2023-03-20,225.8428955078125
2023-03-21,233.83731079101562
2023-03-22,233.83731079101562
2023-03-23,237.8345489501953
2023-03-24,231.33905029296875
2023-03-27,231.33905029296875
2023-03-28,231.33905029296875
2023-03-29,232.8380126953125
2023-03-30,236.33558654785156
2023-03-31,235.83592224121094
2023-04-03,250.82550048828125
2023-04-04,247.32794189453125
2023-04-05,236.83522033691406
2023-04-06,240.83245849609375
2023-04-11,239.83314514160156
2023-04-12,236.33558654785156
2023-04-13,247.82757568359375
2023-04-14,250.3258514404297
2023-04-17,251.82479858398438
2023-04-18,241.83175659179688
2023-04-19,242.83106994628906
2023-04-20,233.87203979492188
2023-04-21,232.8726043701172
2023-04-24,232.8726043701172
2023-04-25,230.3739471435547
2023-04-26,229.8742218017578
2023-04-27,228.3750457763672
2023-04-28,233.87203979492188
2023-05-02,218.8802490234375
2023-05-03,215.38217163085938
2023-05-04,215.38217163085938
2023-05-05,220.879150390625
2023-05-09,219.3799591064453
2023-05-10,219.3799591064453
2023-05-11,211.88406372070312
2023-05-12,212.38380432128906
2023-05-15,210.88462829589844
2023-05-16,206.88681030273438
2023-05-17,204.88790893554688
2023-05-18,201.88955688476562
2023-05-19,202.38926696777344
2023-05-22,206.3870849609375
2023-05-23,208.38600158691406
2023-05-24,209.88516235351562
2023-05-25,201.38980102539062
2023-05-26,201.38980102539062
2023-05-30,228.3750457763672
2023-05-31,218.8802490234375
2023-06-01,216.88134765625
2023-06-02,221.87860107421875
2023-06-05,224.37722778320312
2023-06-06,219.87969970703125
2023-06-07,220.3794403076172
2023-06-08,220.879150390625
2023-06-09,217.3810577392578
2023-06-12,212.38380432128906
2023-06-13,211.88406372070312
2023-06-14,210.88462829589844
2023-06-15,210.38490295410156
2023-06-16,202.38926696777344
2023-06-19,202.88897705078125
2023-06-20,198.29150390625
2023-06-21,201.88955688476562
2023-06-22,200.39036560058594
2023-06-23,197.8917236328125
2023-06-26,198.8911895751953
2023-06-27,198.8911895751953
2023-06-28,197.2920379638672
2023-06-29,197.8917236328125
2023-06-30,199.29095458984375
2023-07-03,202.38926696777344
2023-07-04,201.88955688476562
2023-07-05,199.091064453125
2023-07-06,244.36630249023438
2023-07-07,253.3613739013672
2023-07-10,249.3635711669922
2023-07-11,256.8594665527344
2023-07-12,260.3575439453125
2023-07-13,271.3515319824219
2023-07-14,262.856201171875
2023-07-17,258.358642578125
2023-07-18,264.8551025390625
2023-07-19,267.85345458984375
2023-07-20,262.856201171875
2023-07-21,265.8545227050781
2023-07-24,264.8551025390625
2023-07-25,260.8572692871094
2023-07-26,258.358642578125
2023-07-27,255.36029052734375
2023-07-28,254.86056518554688
2023-07-31,263.85565185546875
2023-08-01,257.85888671875
2023-08-02,252.8616485595703
2023-08-03,252.8616485595703
2023-08-04,258.8583984375
2023-08-07,253.86111450195312
2023-08-08,247.86439514160156
2023-08-09,258.358642578125
2023-08-10,257.85888671875
2023-08-11,252.8616485595703
2023-08-14,254.86056518554688
2023-08-15,253.3613739013672
2023-08-16,258.358642578125
2023-08-17,257.35919189453125
2023-08-18,253.3613739013672
2023-08-21,254.36082458496094
2023-08-22,254.36082458496094
2023-08-23,254.36082458496094
2023-08-24,240.3684844970703
2023-08-25,230.8737030029297
2023-08-29,238.3695831298828
2023-08-30,242.36740112304688
2023-08-31,245.36575317382812
2023-09-01,252.8616485595703
2023-09-04,255.36029052734375
2023-09-05,255.36029052734375
2023-09-06,258.358642578125
2023-09-07,256.3597412109375
2023-09-08,255.86001586914062
2023-09-11,254.86056518554688
2023-09-12,257.85888671875
2023-09-13,276.3487854003906
2023-09-14,292.8398132324219
2023-09-15,296.83758544921875
2023-09-18,300.3356628417969
2023-09-19,304.33349609375
2023-09-20,304.8332214355469
2023-09-21,307.8315734863281
2023-09-22,322.32366943359375
2023-09-25,321.82391357421875
2023-09-26,319.82501220703125
2023-09-27,328.3204040527344
2023-09-28,304.8332214355469
2023-09-29,305.33294677734375
2023-10-02,290.8408508300781
2023-10-03,280.8463439941406
2023-10-04,280.8463439941406
2023-10-05,278.887939453125
2023-10-06,283.38616943359375
2023-10-09,294.3817138671875
2023-10-10,299.8795166015625
2023-10-11,302.37847900390625
2023-10-12,311.3748779296875
2023-10-13,307.3764953613281
2023-10-16,300.8791198730469
2023-10-17,309.3757019042969
2023-10-18,314.3736877441406
2023-10-19,308.8758850097656
2023-10-20,309.3757019042969
2023-10-23,307.8763122558594
2023-10-24,310.8750915527344
2023-10-25,308.8758850097656
2023-10-26,283.8859558105469
2023-10-27,283.8859558105469
2023-10-30,293.8819274902344
2023-10-31,289.3837585449219
2023-11-01,290.3833312988281
2023-11-02,296.8807067871094
2023-11-03,296.8807067871094
2023-11-06,296.38092041015625
2023-11-07,290.3833312988281
2023-11-08,267.3925476074219
2023-11-09,275.8891296386719
2023-11-10,278.3881530761719
2023-11-13,279.3877258300781
2023-11-14,279.3877258300781
2023-11-15,284.8855285644531
2023-11-16,288.8839416503906
2023-11-17,288.8839416503906
