Date,JDW.L
2022-01-06,970.2755126953125
2022-01-07,960.7777099609375
2022-01-10,968.7758178710938
2022-01-11,958.2783203125
2022-01-12,917.2877807617188
2022-01-13,926.7855224609375
2022-01-14,925.2859497070312
2022-01-17,920.7869262695312
2022-01-18,903.291015625
2022-01-19,919.2872924804688
2022-01-20,931.2845458984375
2022-01-21,902.291259765625
2022-01-24,870.7985229492188
2022-01-25,887.294677734375
2022-01-26,912.2889404296875
2022-01-27,904.290771484375
2022-01-28,883.7955322265625
2022-01-31,891.793701171875
2022-02-01,899.7918701171875
2022-02-02,889.2942504882812
2022-02-03,879.2965698242188
2022-02-04,874.797607421875
2022-02-07,877.7969360351562
2022-02-08,885.295166015625
2022-02-09,911.2891845703125
2022-02-10,925.2859497070312
2022-02-11,909.2896118164062
2022-02-14,892.79345703125
2022-02-15,910.7892456054688
2022-02-16,908.2898559570312
2022-02-17,889.2942504882812
2022-02-18,875.79736328125
2022-02-21,869.7987670898438
2022-02-22,866.7994995117188
2022-02-23,844.8045654296875
2022-02-24,833.3071899414062
2022-02-25,867.7992553710938
2022-02-28,875.79736328125
2022-03-01,834.806884765625
2022-03-02,838.3060302734375
2022-03-03,815.811279296875
2022-03-04,775.8204956054688
2022-03-07,758.3245239257812
2022-03-08,732.8304443359375
2022-03-09,777.820068359375
2022-03-10,759.82421875
2022-03-11,769.3219604492188
2022-03-14,767.8223876953125
2022-03-15,771.8214111328125
2022-03-16,811.8121948242188
2022-03-17,826.3087768554688
2022-03-18,841.8052368164062
2022-03-21,818.3106689453125
2022-03-22,828.308349609375
2022-03-23,807.8131103515625
2022-03-24,790.8170166015625
2022-03-25,793.31640625
2022-03-28,798.815185546875
2022-03-29,819.3104248046875
2022-03-30,790.8170166015625
2022-03-31,781.3192138671875
2022-04-01,779.819580078125
2022-04-04,778.3198852539062
2022-04-05,777.3201293945312
2022-04-06,769.8218994140625
2022-04-07,779.819580078125
2022-04-08,775.3206176757812
2022-04-11,766.8225708007812
2022-04-12,748.8267211914062
2022-04-13,728.3314819335938
2022-04-14,736.8295288085938
2022-04-19,733.330322265625
2022-04-20,738.3291625976562
2022-04-21,746.8272094726562
2022-04-22,734.8299560546875
2022-04-25,718.3338012695312
2022-04-26,721.8330078125
2022-04-27,721.8330078125
2022-04-28,729.8311157226562
2022-04-29,735.329833984375
2022-05-03,740.82861328125
2022-05-04,729.8311157226562
2022-05-05,717.8339233398438
2022-05-06,718.3338012695312
2022-05-09,704.8369140625
2022-05-10,699.8380737304688
2022-05-11,720.8331909179688
2022-05-12,704.8369140625
2022-05-13,730.3309936523438
2022-05-16,729.8311157226562
2022-05-17,736.32958984375
2022-05-18,706.3366088867188
2022-05-19,693.8394775390625
2022-05-20,708.3361206054688
2022-05-23,713.3349609375
2022-05-24,707.3363647460938
2022-05-25,705.836669921875
2022-05-26,740.3286743164062
2022-05-27,746.3272705078125
2022-05-30,755.8251342773438
2022-05-31,746.3272705078125
2022-06-01,738.8290405273438
2022-06-06,742.828125
2022-06-07,749.8265380859375
2022-06-08,758.824462890625
2022-06-09,763.3233642578125
2022-06-10,740.82861328125
2022-06-13,729.8311157226562
2022-06-14,719.3336181640625
2022-06-15,722.832763671875
2022-06-16,690.34033203125
2022-06-17,700.3380126953125
2022-06-20,699.8380737304688
2022-06-21,687.8408203125
2022-06-22,681.3424072265625
2022-06-23,661.8468627929688
2022-06-24,681.8422241210938
2022-06-27,685.84130859375
2022-06-28,683.3419189453125
2022-06-29,636.8526611328125
2022-06-30,623.8556518554688
2022-07-01,634.8530883789062
2022-07-04,619.8565673828125
2022-07-05,605.3599243164062
2022-07-06,615.8574829101562
2022-07-07,611.3585815429688
2022-07-08,616.357421875
2022-07-11,623.3557739257812
2022-07-12,629.854248046875
2022-07-13,577.3663940429688
2022-07-14,539.8751220703125
2022-07-15,543.374267578125
2022-07-18,560.370361328125
2022-07-19,555.871337890625
2022-07-20,568.3685302734375
2022-07-21,564.8692626953125
2022-07-22,565.8690185546875
2022-07-25,559.8704223632812
2022-07-26,541.374755859375
2022-07-27,549.8727416992188
2022-07-28,551.3724365234375
2022-07-29,556.3712768554688
2022-08-01,559.8704223632812
2022-08-02,557.8709106445312
2022-08-03,569.8681030273438
2022-08-04,576.3666381835938
2022-08-05,572.867431640625
2022-08-08,580.8656005859375
2022-08-09,559.8704223632812
2022-08-10,583.3650512695312
2022-08-11,580.36572265625
2022-08-12,592.86279296875
2022-08-15,584.3648071289062
2022-08-16,580.8656005859375
2022-08-17,548.3731079101562
2022-08-18,550.8724975585938
2022-08-19,533.8765258789062
2022-08-22,522.379150390625
2022-08-23,511.8815612792969
2022-08-24,505.383056640625
2022-08-25,499.48443603515625
2022-08-26,491.88616943359375
2022-08-30,490.68646240234375
2022-08-31,481.88848876953125
2022-09-01,471.69085693359375
2022-09-02,483.8880310058594
2022-09-05,488.4869689941406
2022-09-06,510.8818054199219
2022-09-07,504.8831787109375
2022-09-08,513.3812255859375
2022-09-09,520.8795166015625
2022-09-12,538.3754272460938
2022-09-13,522.8790283203125
2022-09-14,509.38214111328125
2022-09-15,508.88226318359375
2022-09-16,514.8809204101562
2022-09-20,496.8850402832031
2022-09-21,497.4848937988281
2022-09-22,487.2872619628906
2022-09-23,466.6920166015625
2022-09-26,464.2925720214844
2022-09-27,448.4962158203125
2022-09-28,429.1007385253906
2022-09-29,405.5061950683594
2022-09-30,404.5064392089844
2022-10-03,389.7098083496094
2022-10-04,419.5029296875
2022-10-05,426.9012451171875
2022-10-06,437.498779296875
2022-10-07,504.8831787109375
2022-10-10,483.8880310058594
2022-10-11,471.09100341796875
2022-10-12,448.8961486816406
2022-10-13,461.89312744140625
2022-10-14,458.2939758300781
2022-10-17,464.6924743652344
2022-10-18,452.29534912109375
2022-10-19,431.7001037597656
2022-10-20,446.0968017578125
2022-10-21,424.30181884765625
2022-10-24,426.5013122558594
2022-10-25,436.89892578125
2022-10-26,453.4950866699219
2022-10-27,452.09539794921875
2022-10-28,444.8970642089844
2022-10-31,450.89569091796875
2022-11-01,461.69317626953125
2022-11-02,463.0928649902344
2022-11-03,456.29443359375
2022-11-04,471.69085693359375
2022-11-07,482.4883728027344
2022-11-08,488.08709716796875
2022-11-09,457.294189453125
2022-11-10,486.8873291015625
2022-11-11,503.8834228515625
2022-11-14,505.383056640625
2022-11-15,488.4869689941406
2022-11-16,468.2916564941406
2022-11-17,467.8917236328125
2022-11-18,461.89312744140625
2022-11-21,449.0960998535156
2022-11-22,446.4967041015625
2022-11-23,449.4960021972656
2022-11-24,462.0931091308594
2022-11-25,462.89288330078125
2022-11-28,457.09423828125
2022-11-29,456.494384765625
2022-11-30,443.29742431640625
2022-12-01,445.6968688964844
2022-12-02,447.4964599609375
2022-12-05,447.8963928222656
2022-12-06,436.4989929199219
2022-12-07,437.898681640625
2022-12-08,439.8982238769531
2022-12-09,433.49969482421875
2022-12-12,427.5010681152344
2022-12-13,436.89892578125
2022-12-14,425.3016052246094
2022-12-15,420.1028137207031
2022-12-16,414.70404052734375
2022-12-19,425.3016052246094
2022-12-20,424.30181884765625
2022-12-21,441.4978332519531
2022-12-22,429.5006103515625
2022-12-23,434.49945068359375
2022-12-28,436.2990417480469
2022-12-29,441.4978332519531
2022-12-30,444.0972595214844
2023-01-03,452.49530029296875
2023-01-04,466.4920654296875
2023-01-05,473.0905456542969
2023-01-06,476.8896484375
2023-01-09,481.88848876953125
2023-01-10,485.4876708984375
2023-01-11,483.0882568359375
2023-01-12,496.6850891113281
2023-01-13,490.0866394042969
2023-01-16,492.28607177734375
2023-01-17,471.49090576171875
2023-01-18,473.2904968261719
2023-01-19,460.8933410644531
2023-01-20,481.68853759765625
2023-01-23,476.0898742675781
2023-01-24,478.8891906738281
2023-01-25,449.2960510253906
2023-01-26,446.8966064453125
2023-01-27,467.8917236328125
2023-01-30,462.49298095703125
2023-01-31,454.0949401855469
2023-02-01,478.2893371582031
2023-02-02,500.88409423828125
2023-02-03,509.38214111328125
2023-02-06,501.3840026855469
2023-02-07,491.6862487792969
2023-02-08,501.3840026855469
2023-02-09,501.3840026855469
2023-02-10,496.28515625
2023-02-13,510.8818054199219
2023-02-14,512.88134765625
2023-02-15,502.8836364746094
2023-02-16,519.8797607421875
2023-02-17,519.3798217773438
2023-02-20,537.8756103515625
2023-02-21,539.8751220703125
2023-02-22,533.3765869140625
2023-02-23,527.8778686523438
2023-02-24,524.378662109375
2023-02-27,542.37451171875
2023-02-28,562.369873046875
2023-03-01,558.8706665039062
2023-03-02,560.8701782226562
2023-03-03,563.8695068359375
2023-03-06,590.3634033203125
2023-03-07,593.862548828125
2023-03-08,581.365478515625
2023-03-09,588.3638916015625
2023-03-10,579.365966796875
2023-03-13,569.8681030273438
2023-03-14,594.8623657226562
2023-03-15,576.8665161132812
2023-03-16,583.3650512695312
2023-03-17,588.8637084960938
2023-03-20,579.8657836914062
2023-03-21,599.8612060546875
2023-03-22,591.863037109375
2023-03-23,580.8656005859375
2023-03-24,659.8473510742188
2023-03-27,677.3433227539062
2023-03-28,678.8429565429688
2023-03-29,699.8380737304688
2023-03-30,721.8330078125
2023-03-31,714.8345947265625
2023-04-03,717.3340454101562
2023-04-04,695.8389892578125
2023-04-05,696.8387451171875
2023-04-06,710.335693359375
2023-04-11,695.3391723632812
2023-04-12,697.8385620117188
2023-04-13,696.8387451171875
2023-04-14,691.8399047851562
2023-04-17,691.8399047851562
2023-04-18,694.8392333984375
2023-04-19,697.8385620117188
2023-04-20,684.841552734375
2023-04-21,691.340087890625
2023-04-24,679.3428344726562
2023-04-25,680.3425903320312
2023-04-26,688.8406372070312
2023-04-27,709.3359375
2023-04-28,712.8350830078125
2023-05-02,724.3324584960938
2023-05-03,726.8318481445312
2023-05-04,728.3314819335938
2023-05-05,754.325439453125
2023-05-09,744.3277587890625
2023-05-10,783.3187255859375
2023-05-11,778.81982421875
2023-05-12,757.8246459960938
2023-05-15,768.3222045898438
2023-05-16,765.3228759765625
2023-05-17,755.8251342773438
2023-05-18,763.8233032226562
2023-05-19,736.32958984375
2023-05-22,740.82861328125
2023-05-23,719.8334350585938
2023-05-24,712.335205078125
2023-05-25,712.335205078125
2023-05-26,712.335205078125
2023-05-30,710.335693359375
2023-05-31,733.330322265625
2023-06-01,731.3307495117188
2023-06-02,727.8316040039062
2023-06-05,733.8302001953125
2023-06-06,745.8274536132812
2023-06-07,728.3314819335938
2023-06-08,738.3291625976562
2023-06-09,725.8320922851562
2023-06-12,726.3319091796875
2023-06-13,723.3327026367188
2023-06-14,717.8339233398438
2023-06-15,696.3389282226562
2023-06-16,682.3421630859375
2023-06-19,682.3421630859375
2023-06-20,680.8424682617188
2023-06-21,677.8431396484375
2023-06-22,672.344482421875
2023-06-23,658.8475341796875
2023-06-26,649.3497924804688
2023-06-27,653.8486938476562
2023-06-28,668.84521484375
2023-06-29,673.8440551757812
2023-06-30,672.344482421875
2023-07-03,683.3419189453125
2023-07-04,681.8422241210938
2023-07-05,667.845458984375
2023-07-06,650.8494262695312
2023-07-07,653.348876953125
2023-07-10,655.8482666015625
2023-07-11,662.3468017578125
2023-07-12,730.8309326171875
2023-07-13,707.8362426757812
2023-07-14,710.335693359375
2023-07-17,703.3372802734375
2023-07-18,717.3340454101562
2023-07-19,727.3316650390625
2023-07-20,706.8364868164062
2023-07-21,710.335693359375
2023-07-24,692.33984375
2023-07-25,686.841064453125
2023-07-26,692.33984375
2023-07-27,702.83740234375
2023-07-28,692.8397216796875
2023-07-31,675.8436279296875
2023-08-01,666.3458251953125
2023-08-02,649.849609375
2023-08-03,644.8507690429688
2023-08-04,646.850341796875
2023-08-07,644.3509521484375
2023-08-08,635.35302734375
2023-08-09,638.352294921875
2023-08-10,658.8475341796875
2023-08-11,659.3474731445312
2023-08-14,679.8427124023438
2023-08-15,684.3416748046875
2023-08-16,672.8442993164062
2023-08-17,644.3509521484375
2023-08-18,635.8528442382812
2023-08-21,642.3513793945312
2023-08-22,652.8489379882812
2023-08-23,685.84130859375
2023-08-24,675.34375
