Date,CRES.BA
2016-05-30,11.658900260925293
2016-05-31,11.692693710327148
2016-06-01,12.469953536987305
2016-06-02,12.638924598693848
2016-06-03,12.605130195617676
2016-06-06,12.503747940063477
2016-06-07,12.94306755065918
2016-06-08,12.94306755065918
2016-06-09,12.807892799377441
2016-06-10,13.010656356811523
2016-06-13,12.706510543823242
2016-06-14,12.706510543823242
2016-06-15,12.638924598693848
2016-06-16,12.77409839630127
2016-06-21,12.740303993225098
2016-06-22,12.706510543823242
2016-06-23,13.58515453338623
2016-06-24,13.17962646484375
2016-06-27,13.449976921081543
2016-06-28,13.754121780395508
2016-06-29,14.058266639709473
2016-06-30,14.396204948425293
2016-07-01,15.072087287902832
2016-07-04,15.883139610290527
2016-07-05,15.410025596618652
2016-07-06,14.936910629272461
