Date,BAER.SW
2020-11-27,41.69754409790039
2020-11-30,41.69754409790039
2020-12-01,42.126922607421875
2020-12-02,40.96601104736328
2020-12-03,40.80698013305664
2020-12-04,40.44121170043945
2020-12-07,40.37759780883789
2020-12-08,39.98002624511719
2020-12-09,40.457115173339844
2020-12-10,40.04364013671875
2020-12-11,39.168975830078125
2020-12-14,39.312103271484375
2020-12-15,39.614261627197266
2020-12-16,39.77328872680664
2020-12-17,40.42531204223633
2020-12-18,39.69377136230469
2020-12-21,39.041751861572266
2020-12-22,39.51884078979492
2020-12-23,40.71156692504883
2020-12-28,40.71156692504883
2020-12-29,40.88649368286133
2020-12-30,40.55253601074219
2021-01-04,40.90239715576172
2021-01-05,40.95010757446289
2021-01-06,43.12881088256836
2021-01-07,42.93798065185547
2021-01-08,43.240135192871094
2021-01-11,43.0651969909668
2021-01-12,43.33555221557617
2021-01-13,43.19242477416992
2021-01-14,43.81264114379883
2021-01-15,43.44687271118164
2021-01-18,43.66951370239258
2021-01-19,43.908058166503906
2021-01-20,43.764930725097656
2021-01-21,44.289730072021484
2021-01-22,44.40105056762695
2021-01-25,43.49458312988281
2021-01-26,43.574092864990234
2021-01-27,43.271942138671875
2021-01-28,43.939857482910156
2021-01-29,42.93798065185547
2021-02-01,42.04741287231445
2021-02-02,43.95576477050781
2021-02-03,43.097007751464844
2021-02-04,44.226112365722656
2021-02-05,44.11479568481445
2021-02-08,43.9716682434082
2021-02-09,43.65361022949219
2021-02-10,43.31964874267578
2021-02-11,43.733123779296875
2021-02-12,43.415069580078125
2021-02-15,44.01937484741211
2021-02-16,44.01937484741211
2021-02-17,43.17652130126953
2021-02-18,42.667625427246094
2021-02-19,43.08110427856445
2021-02-22,43.78083419799805
2021-02-23,43.876251220703125
2021-02-24,45.037166595458984
2021-02-25,44.95764923095703
2021-02-26,44.369239807128906
2021-03-01,45.084877014160156
2021-03-02,44.655494689941406
2021-03-03,45.65738296508789
2021-03-04,44.75091552734375
2021-03-05,44.575984954833984
2021-03-08,46.341209411621094
2021-03-09,46.91371154785156
2021-03-10,46.83420181274414
2021-03-11,46.59565734863281
2021-03-12,46.818302154541016
2021-03-15,46.11856460571289
2021-03-16,47.05684280395508
2021-03-17,46.722877502441406
2021-03-18,48.3449821472168
2021-03-19,47.94740676879883
2021-03-22,48.53581619262695
2021-03-23,48.48810958862305
2021-03-24,48.901588439941406
2021-03-25,48.6312370300293
2021-03-26,48.853878021240234
2021-03-29,48.40859603881836
2021-03-30,48.75845718383789
2021-03-31,48.0587272644043
2021-04-01,49.0924186706543
2021-04-06,49.0924186706543
2021-04-07,48.94929504394531
2021-04-08,48.7425537109375
2021-04-09,48.75845718383789
2021-04-12,48.66304016113281
2021-04-13,48.1064338684082
2021-04-14,48.55172348022461
2021-04-15,48.47220230102539
2021-04-16,49.2171745300293
2021-04-19,48.955204010009766
2021-04-20,47.530757904052734
2021-04-21,46.87583923339844
2021-04-22,46.18817138671875
2021-04-23,46.089935302734375
2021-04-26,47.0068244934082
2021-04-27,46.826717376708984
2021-04-28,47.121437072753906
2021-04-29,47.4161491394043
2021-04-30,47.08869171142578
2021-05-03,47.170555114746094
2021-05-04,46.089935302734375
2021-05-05,46.859466552734375
2021-05-06,47.48163986206055
2021-05-07,47.317909240722656
2021-05-10,47.285160064697266
2021-05-11,46.00807189941406
2021-05-12,46.892208099365234
2021-05-14,48.54587936401367
2021-05-17,48.51313400268555
2021-05-18,48.61137771606445
2021-05-19,47.95645523071289
2021-05-20,49.06981658935547
2021-05-21,48.955204010009766
2021-05-25,49.593753814697266
2021-05-26,48.496761322021484
2021-05-27,49.54463577270508
2021-05-28,50.18317794799805
2021-05-31,50.42877197265625
2021-06-01,51.29654312133789
2021-06-02,50.739864349365234
2021-06-03,50.65800094604492
2021-06-04,50.46152114868164
2021-06-07,50.101314544677734
2021-06-08,50.199554443359375
2021-06-09,49.56100845336914
2021-06-10,49.26629638671875
2021-06-11,49.85572052001953
2021-06-14,50.363285064697266
2021-06-15,50.379661560058594
2021-06-16,49.87208938598633
2021-06-17,49.9703369140625
2021-06-18,48.955204010009766
2021-06-21,49.56100845336914
2021-06-22,49.757484436035156
2021-06-23,49.528263092041016
2021-06-24,50.00307846069336
2021-06-25,50.44514846801758
2021-06-28,49.06981658935547
2021-06-29,50.00307846069336
2021-06-30,49.43002700805664
2021-07-01,49.39727783203125
2021-07-02,49.28266906738281
2021-07-05,50.396026611328125
2021-07-06,49.5773811340332
2021-07-07,48.824222564697266
2021-07-08,46.69573974609375
2021-07-09,47.154178619384766
2021-07-12,47.95645523071289
2021-07-13,48.12018585205078
2021-07-14,48.1856803894043
2021-07-15,47.792728424072266
2021-07-16,47.18692398071289
2021-07-19,45.79521942138672
2021-07-20,47.36703109741211
2021-07-21,48.41489791870117
2021-07-22,48.41489791870117
2021-07-23,48.955204010009766
2021-07-26,48.496761322021484
2021-07-27,47.48163986206055
2021-07-28,47.9073371887207
2021-07-29,49.11893844604492
2021-07-30,49.06981658935547
2021-08-02,49.4627685546875
2021-08-03,49.102569580078125
2021-08-04,49.7247428894043
2021-08-05,49.937583923339844
2021-08-06,50.559757232666016
2021-08-09,50.83810043334961
2021-08-10,51.06732177734375
2021-08-11,51.24742126464844
2021-08-12,51.11643981933594
2021-08-13,51.673118591308594
2021-08-16,51.28017044067383
2021-08-17,51.394779205322266
2021-08-18,52.13156509399414
2021-08-19,51.05094909667969
2021-08-20,51.1328125
2021-08-23,51.34566116333008
2021-08-24,51.01820373535156
2021-08-25,51.86959457397461
2021-08-26,51.82048034667969
2021-08-27,51.96783447265625
2021-08-30,51.70586395263672
