Date,NXT.L
2017-05-08,4303.69921875
2017-05-09,4320.66748046875
2017-05-10,4392.52880859375
2017-05-11,4293.7197265625
2017-05-12,4336.63671875
2017-05-15,4255.79345703125
2017-05-16,4313.68115234375
2017-05-17,4291.72314453125
2017-05-18,4345.6201171875
2017-05-19,4412.490234375
2017-05-22,4468.38232421875
2017-05-23,4457.40380859375
2017-05-24,4421.47265625
2017-05-25,4393.52734375
2017-05-26,4375.5625
2017-05-30,4371.56982421875
2017-05-31,4351.607421875
2017-06-01,4391.53076171875
2017-06-02,4352.6064453125
2017-06-05,4391.53076171875
2017-06-06,4279.74609375
2017-06-07,4277.75
2017-06-08,4343.623046875
2017-06-09,4267.7705078125
2017-06-12,4238.82568359375
2017-06-13,4264.775390625
2017-06-14,4292.7216796875
2017-06-15,4029.2294921875
2017-06-16,4085.12158203125
2017-06-19,4140.015625
2017-06-20,4016.254638671875
2017-06-21,3972.33984375
2017-06-22,3988.30859375
2017-06-23,4039.21044921875
2017-06-26,4031.635498046875
2017-06-27,3961.51611328125
2017-06-28,3944.392822265625
2017-06-29,3968.347412109375
2017-06-30,3848.57763671875
2017-07-03,3882.51220703125
2017-07-04,3873.52978515625
2017-07-05,3897.4833984375
2017-07-06,3778.730712890625
2017-07-07,3759.761962890625
2017-07-10,3686.883056640625
2017-07-11,3686.883056640625
2017-07-12,3612.007080078125
2017-07-13,3687.88134765625
2017-07-14,3648.94580078125
2017-07-17,3666.916015625
2017-07-18,3705.8515625
2017-07-19,3673.90478515625
2017-07-20,3776.734375
2017-07-21,3820.660888671875
2017-07-24,3703.85498046875
2017-07-25,3727.8154296875
2017-07-26,3773.739013671875
2017-07-27,3920.49560546875
2017-07-28,3858.598388671875
2017-07-31,3943.457275390625
2017-08-01,3966.419677734375
2017-08-02,4006.352783203125
2017-08-03,4393.71044921875
2017-08-04,4385.72314453125
2017-08-07,4323.82666015625
2017-08-08,4360.765625
2017-08-09,4401.69775390625
2017-08-10,4397.70361328125
2017-08-11,4392.7119140625
2017-08-14,4387.72021484375
2017-08-15,4263.92578125
2017-08-16,4256.93798828125
2017-08-17,4197.03662109375
2017-08-18,4143.12744140625
2017-08-21,4156.1044921875
2017-08-22,4168.08447265625
2017-08-23,4149.1162109375
2017-08-24,4097.20166015625
2017-08-25,4136.13818359375
2017-08-29,4053.275390625
2017-08-30,4039.29833984375
2017-08-31,4122.16064453125
2017-09-01,4127.15185546875
2017-09-04,4219.99853515625
2017-09-05,4259.931640625
2017-09-06,4366.75537109375
2017-09-07,4370.7490234375
2017-09-08,4346.78857421875
2017-09-11,4334.80810546875
2017-09-12,4392.7119140625
2017-09-13,4409.68408203125
2017-09-14,4985.7275390625
2017-09-15,5036.6435546875
2017-09-18,4964.76318359375
2017-09-19,4969.75439453125
2017-09-20,5061.60302734375
2017-09-21,5076.57666015625
2017-09-22,5131.48681640625
2017-09-25,5186.39501953125
2017-09-26,5126.49462890625
2017-09-27,5251.28662109375
2017-09-28,5246.29541015625
2017-09-29,5251.28662109375
2017-10-02,5281.2373046875
2017-10-03,5311.1884765625
2017-10-04,5236.31298828125
2017-10-05,5161.43603515625
2017-10-06,5156.4443359375
2017-10-09,5111.51953125
2017-10-10,5106.52783203125
2017-10-11,5041.63525390625
2017-10-12,4980.73681640625
2017-10-13,4902.86572265625
2017-10-16,4931.81787109375
2017-10-17,4910.8525390625
2017-10-18,4947.7919921875
2017-10-19,4889.88671875
2017-10-20,4856.94189453125
2017-10-23,4868.92236328125
2017-10-24,4883.89697265625
2017-10-25,4886.892578125
2017-10-26,4881.900390625
2017-10-27,4873.91455078125
2017-10-30,4940.80322265625
2017-10-31,4912.849609375
2017-11-01,4463.59326171875
2017-11-02,4492.54638671875
2017-11-03,4465.5908203125
2017-11-06,4408.68505859375
2017-11-07,4360.765625
2017-11-08,4396.7060546875
2017-11-09,4361.7626953125
2017-11-10,4371.7470703125
2017-11-13,4316.837890625
2017-11-14,4320.83056640625
2017-11-15,4269.9150390625
2017-11-16,4312.8447265625
2017-11-17,4296.87158203125
2017-11-20,4363.759765625
2017-11-21,4332.81103515625
2017-11-22,4332.81103515625
2017-11-23,4377.73681640625
2017-11-24,4298.8671875
2017-11-27,4267.91943359375
2017-11-28,4306.85498046875
2017-11-29,4495.54150390625
2017-11-30,4469.583984375
2017-12-01,4424.65771484375
2017-12-04,4396.7060546875
2017-12-05,4430.64892578125
2017-12-06,4414.6767578125
2017-12-07,4433.1767578125
2017-12-08,4476.11083984375
2017-12-11,4416.203125
2017-12-12,4386.24853515625
2017-12-13,4389.39306640625
2017-12-14,4338.32275390625
2017-12-15,4239.474609375
2017-12-18,4223.49951171875
2017-12-19,4231.48681640625
2017-12-20,4286.40234375
2017-12-21,4408.21533203125
2017-12-22,4571.96337890625
2017-12-27,4528.03125
2017-12-28,4536.01904296875
2017-12-29,4518.04736328125
2018-01-02,4493.0849609375
2018-01-03,4792.6240234375
2018-01-04,4740.703125
2018-01-05,4846.54150390625
2018-01-08,4924.421875
2018-01-09,5012.28564453125
2018-01-10,5032.25634765625
2018-01-11,4955.373046875
2018-01-12,4982.33203125
2018-01-15,4996.310546875
2018-01-16,5032.25634765625
2018-01-17,4994.3134765625
2018-01-18,4972.3466796875
2018-01-19,4890.47314453125
2018-01-22,4887.47802734375
2018-01-23,4892.4697265625
2018-01-24,4904.45166015625
2018-01-25,5056.21826171875
2018-01-26,5209.98046875
2018-01-29,5144.0830078125
2018-01-30,5118.12255859375
2018-01-31,5084.1748046875
2018-02-01,5046.23291015625
2018-02-02,5018.27685546875
2018-02-05,4913.43798828125
2018-02-06,4822.57763671875
2018-02-07,4908.4453125
2018-02-08,4834.55908203125
2018-02-09,4714.74365234375
2018-02-12,4760.67333984375
2018-02-13,4774.6513671875
2018-02-14,4803.607421875
2018-02-15,4818.58349609375
2018-02-16,4913.43798828125
2018-02-19,4912.43994140625
2018-02-20,4984.3291015625
2018-02-21,4975.34228515625
2018-02-22,4942.3935546875
2018-02-23,4921.42626953125
2018-02-26,4922.423828125
2018-02-27,4904.45166015625
2018-02-28,4848.53759765625
2018-03-01,4748.6923828125
2018-03-02,4672.80908203125
2018-03-05,4724.728515625
2018-03-06,4791.6259765625
2018-03-07,4832.5625
2018-03-08,4713.74609375
2018-03-09,4764.6669921875
2018-03-12,4812.59228515625
2018-03-13,4796.61767578125
2018-03-14,4832.5625
2018-03-15,4821.57958984375
2018-03-16,4751.6875
2018-03-19,4701.763671875
2018-03-20,4744.69775390625
2018-03-21,4621.88720703125
2018-03-22,4621.88720703125
2018-03-23,4976.34130859375
2018-03-26,4867.50927734375
2018-03-27,4789.62841796875
2018-03-28,4824.57470703125
2018-03-29,4751.6875
2018-04-03,4758.67626953125
2018-04-04,4764.6669921875
2018-04-05,4812.59228515625
2018-04-06,4763.66845703125
2018-04-09,4830.5654296875
2018-04-10,4853.52978515625
2018-04-11,4868.5068359375
2018-04-12,5020.2744140625
2018-04-13,5006.294921875
2018-04-16,5056.21826171875
2018-04-17,5164.05224609375
2018-04-18,5182.0244140625
2018-04-19,5217.96875
2018-04-20,5211.978515625
2018-04-23,5199.998046875
2018-04-24,5142.0859375
2018-04-25,5178.03076171875
2018-04-26,5255.9111328125
2018-04-27,5221.9638671875
2018-04-30,5247.92333984375
2018-05-01,5205.98828125
2018-05-02,5192.00927734375
2018-05-03,5172.03955078125
2018-05-04,5136.09521484375
2018-05-08,5170.04345703125
2018-05-09,5237.9384765625
2018-05-10,5559.443359375
2018-05-11,5533.48291015625
2018-05-14,5593.390625
2018-05-15,5619.3515625
2018-05-16,5621.34912109375
2018-05-17,5785.09619140625
2018-05-18,5759.13671875
2018-05-21,5864.9736328125
2018-05-22,5817.0478515625
2018-05-23,5819.0439453125
2018-05-24,5823.03759765625
2018-05-25,5852.9912109375
2018-05-29,5753.14501953125
2018-05-30,5819.0439453125
2018-05-31,5791.087890625
2018-06-01,5781.10205078125
2018-06-04,5827.03173828125
2018-06-05,5906.90869140625
2018-06-06,6022.73095703125
2018-06-07,6000.763671875
2018-06-08,6044.69677734375
2018-06-11,6110.59521484375
2018-06-12,6192.4697265625
2018-06-13,6182.48486328125
2018-06-14,6184.48095703125
2018-06-15,6116.5859375
2018-06-18,6074.650390625
2018-06-19,5982.7919921875
2018-06-20,5852.9912109375
2018-06-21,5926.8779296875
2018-06-22,6000.763671875
2018-06-25,5952.837890625
2018-06-26,6096.61669921875
2018-06-27,6058.67529296875
2018-06-28,6072.65478515625
2018-06-29,6040.703125
2018-07-02,5970.81103515625
2018-07-03,5982.7919921875
2018-07-04,5936.86328125
2018-07-05,5832.0556640625
2018-07-06,5792.1103515625
2018-07-09,5895.96875
2018-07-10,5971.865234375
2018-07-11,6041.77001953125
2018-07-12,6039.77294921875
2018-07-13,6097.693359375
2018-07-16,6029.78662109375
2018-07-17,6127.6533203125
2018-07-18,6119.66455078125
2018-07-19,6121.66064453125
2018-07-20,6041.77001953125
2018-07-23,5961.87841796875
2018-07-24,5917.9384765625
2018-07-25,5935.9140625
2018-07-26,5883.98486328125
2018-07-27,5860.017578125
2018-07-30,5852.029296875
2018-07-31,5927.9248046875
2018-08-01,5504.50146484375
2018-08-02,5526.47216796875
2018-08-03,5654.2978515625
2018-08-06,5688.251953125
2018-08-07,5614.35205078125
2018-08-08,5670.27685546875
2018-08-09,5736.18701171875
2018-08-10,5660.28955078125
2018-08-13,5560.4248046875
2018-08-14,5534.4609375
2018-08-15,5456.56689453125
2018-08-16,5516.48486328125
2018-08-17,5452.572265625
2018-08-20,5452.572265625
2018-08-21,5426.60791015625
2018-08-22,5446.580078125
2018-08-23,5424.61083984375
2018-08-24,5462.5595703125
2018-08-28,5534.4609375
2018-08-29,5524.47509765625
2018-08-30,5486.52587890625
2018-08-31,5492.51806640625
2018-09-03,5540.45361328125
2018-09-04,5446.580078125
2018-09-05,5472.54541015625
2018-09-06,5482.53125
2018-09-07,5440.5888671875
2018-09-10,5396.64892578125
2018-09-11,5416.6220703125
2018-09-12,5460.5615234375
2018-09-13,5386.66259765625
2018-09-14,5342.72265625
2018-09-17,5364.6923828125
2018-09-18,5332.73583984375
2018-09-19,5258.83642578125
2018-09-20,5314.76025390625
2018-09-21,5192.92626953125
2018-09-24,5117.029296875
2018-09-25,5510.4931640625
2018-09-26,5392.65380859375
2018-09-27,5324.74609375
2018-09-28,5486.52587890625
2018-10-01,5426.60791015625
2018-10-02,5346.71630859375
2018-10-03,5458.564453125
2018-10-04,5410.630859375
2018-10-05,5332.73583984375
2018-10-08,5416.6220703125
2018-10-09,5462.5595703125
2018-10-10,5494.51513671875
2018-10-11,5246.8525390625
2018-10-12,5386.66259765625
2018-10-15,5324.74609375
2018-10-16,5302.77734375
2018-10-17,5168.95849609375
2018-10-18,5133.00732421875
2018-10-19,5085.0732421875
2018-10-22,5047.125
2018-10-23,5087.06982421875
2018-10-24,5113.03466796875
2018-10-25,5127.0166015625
2018-10-26,5154.9775390625
2018-10-29,5234.869140625
2018-10-30,5298.78125
2018-10-31,5196.92138671875
2018-11-01,5348.71435546875
2018-11-02,5416.6220703125
2018-11-05,5248.8505859375
2018-11-06,5244.85498046875
2018-11-07,5326.74365234375
2018-11-08,5472.54541015625
2018-11-09,5416.6220703125
2018-11-12,5244.85498046875
2018-11-13,5272.8173828125
2018-11-14,5364.6923828125
2018-11-15,5144.99169921875
2018-11-16,5176.94873046875
2018-11-19,5154.9775390625
2018-11-20,5138.99951171875
2018-11-21,5192.92626953125
2018-11-22,5178.94482421875
2018-11-23,5184.9365234375
2018-11-26,5142.994140625
2018-11-27,5174.95166015625
2018-11-28,5174.95166015625
2018-11-29,5053.11572265625
2018-11-30,4894.33349609375
2018-12-03,4850.392578125
2018-12-04,4815.43994140625
2018-12-05,4867.3701171875
2018-12-06,4694.13671875
2018-12-07,4671.1650390625
2018-12-10,4611.23974609375
2018-12-11,4614.236328125
2018-12-12,4564.29833984375
2018-12-13,4418.47998046875
2018-12-14,4332.58837890625
2018-12-17,4131.8388671875
2018-12-18,4204.74755859375
2018-12-19,4236.70703125
2018-12-20,4108.8681640625
2018-12-21,4104.87255859375
2018-12-24,4008.992431640625
2018-12-27,4013.98583984375
2018-12-28,4042.949462890625
2018-12-31,3986.020751953125
2019-01-02,4171.7890625
2019-01-03,4344.57275390625
2019-01-04,4472.41357421875
2019-01-07,4569.2919921875
2019-01-08,4808.9931640625
2019-01-09,4846.9453125
2019-01-10,4781.0283203125
2019-01-11,4751.06494140625
2019-01-14,4643.19970703125
2019-01-15,4654.18603515625
2019-01-16,4668.1689453125
2019-01-17,4638.20654296875
2019-01-18,4740.07958984375
2019-01-21,4720.1044921875
2019-01-22,4743.07470703125
2019-01-23,4794.01123046875
2019-01-24,4811.98974609375
2019-01-25,4771.0400390625
2019-01-28,4775.03466796875
2019-01-29,4846.9453125
2019-01-30,4879.90380859375
2019-01-31,4840.95361328125
2019-02-01,4854.93505859375
2019-02-04,4823.97412109375
2019-02-05,4924.84814453125
2019-02-06,4889.89208984375
2019-02-07,4871.9140625
2019-02-08,4846.9453125
2019-02-11,4944.82275390625
2019-02-12,4952.81298828125
2019-02-13,4952.81298828125
2019-02-14,4819.97900390625
2019-02-15,4718.1064453125
2019-02-18,4851.939453125
2019-02-19,4854.93505859375
2019-02-20,4999.75390625
2019-02-21,4978.7802734375
2019-02-22,4986.77099609375
2019-02-25,5019.7294921875
2019-02-26,5193.51220703125
2019-02-27,5099.62939453125
2019-02-28,5081.65185546875
2019-03-01,5163.5498046875
2019-03-04,5175.53564453125
2019-03-05,5197.5078125
2019-03-06,5203.5
2019-03-07,5127.59521484375
2019-03-08,5079.654296875
2019-03-11,5125.59716796875
2019-03-12,5123.6005859375
2019-03-13,5099.62939453125
2019-03-14,5181.52734375
2019-03-15,5205.49755859375
2019-03-18,5279.4052734375
2019-03-19,5307.37060546875
2019-03-20,5175.53564453125
2019-03-21,5309.3681640625
2019-03-22,5373.28759765625
2019-03-25,5369.29296875
2019-03-26,5475.16064453125
2019-03-27,5407.24462890625
2019-03-28,5489.1435546875
2019-03-29,5573.03857421875
2019-04-01,5626.970703125
2019-04-02,5638.9560546875
2019-04-03,5676.90869140625
2019-04-04,5648.943359375
2019-04-05,5654.93603515625
2019-04-08,5638.9560546875
2019-04-09,5589.01806640625
2019-04-10,5610.9912109375
2019-04-11,5668.91796875
2019-04-12,5608.9931640625
2019-04-15,5680.90283203125
2019-04-16,5724.8486328125
2019-04-17,5750.81591796875
2019-04-18,5766.796875
2019-04-23,5836.70849609375
2019-04-24,5866.67138671875
2019-04-25,5842.701171875
2019-04-26,5858.68115234375
2019-04-29,5830.716796875
2019-04-30,5758.80615234375
2019-05-01,5814.73681640625
2019-05-02,5708.8681640625
2019-05-03,5692.888671875
2019-05-07,5702.87548828125
2019-05-08,5658.93115234375
2019-05-09,5666.92138671875
2019-05-10,5618.98095703125
2019-05-13,5597.0087890625
2019-05-14,5718.8564453125
2019-05-15,5762.80126953125
2019-05-16,5820.72900390625
2019-05-17,5772.78857421875
2019-05-20,5790.76611328125
2019-05-21,5902.62646484375
2019-05-22,5756.80810546875
2019-05-23,5692.888671875
2019-05-24,5774.78662109375
2019-05-28,5870.66650390625
2019-05-29,5744.82373046875
2019-05-30,5774.78662109375
2019-05-31,5754.81103515625
2019-06-03,5730.84130859375
2019-06-04,5720.8525390625
2019-06-05,5830.716796875
2019-06-06,5768.79296875
2019-06-07,5708.8681640625
2019-06-10,5571.041015625
2019-06-11,5618.98095703125
2019-06-12,5638.9560546875
2019-06-13,5519.1064453125
2019-06-14,5507.12060546875
2019-06-17,5535.08544921875
2019-06-18,5604.9990234375
2019-06-19,5523.1005859375
2019-06-20,5547.07080078125
2019-06-21,5626.970703125
2019-06-24,5539.08056640625
2019-06-25,5515.111328125
2019-06-26,5479.15625
2019-06-27,5575.0361328125
