Date,GOAU3.SA
2016-05-13,1.387854814529419
2016-05-16,1.2790032625198364
2016-05-17,1.2191356420516968
2016-05-18,1.2245780229568481
2016-05-19,1.1592671871185303
2016-05-20,1.1592671871185303
2016-05-23,1.1429394483566284
2016-05-24,1.1048414707183838
2016-05-25,1.132054090499878
2016-05-27,1.132054090499878
2016-05-30,1.088513970375061
2016-05-31,1.1102839708328247
2016-06-01,1.088513970375061
2016-06-02,1.1211692094802856
2016-06-03,1.1864800453186035
2016-06-06,1.2136929035186768
2016-06-07,1.197365403175354
2016-06-08,1.2735610008239746
2016-06-09,1.2300206422805786
2016-06-10,1.1429394483566284
2016-06-13,1.0939561128616333
2016-06-14,1.083070993423462
2016-06-15,1.1538243293762207
2016-06-16,1.1374971866607666
2016-06-17,1.1157264709472656
