Date,IFCI.NS
2016-06-06,23.899999618530273
2016-06-07,24.100000381469727
2016-06-08,24.450000762939453
2016-06-09,25.350000381469727
2016-06-10,25.100000381469727
2016-06-13,25.399999618530273
2016-06-14,26.0
2016-06-15,25.75
2016-06-16,25.850000381469727
2016-06-17,25.700000762939453
2016-06-20,25.899999618530273
2016-06-21,25.700000762939453
2016-06-22,25.399999618530273
2016-06-23,25.350000381469727
2016-06-24,24.700000762939453
2016-06-27,26.200000762939453
2016-06-28,25.850000381469727
2016-06-29,26.200000762939453
2016-06-30,26.75
2016-07-01,26.850000381469727
2016-07-04,28.0
2016-07-05,27.700000762939453
2016-07-07,27.549999237060547
2016-07-08,27.549999237060547
2016-07-11,27.950000762939453
2016-07-12,28.850000381469727
2016-07-13,28.350000381469727
