Date,PPH.L
2022-01-26,1399.0106201171875
2022-01-27,1468.961181640625
2022-01-28,1438.982421875
2022-01-31,1438.982421875
2022-02-01,1436.98388671875
2022-02-02,1448.9752197265625
2022-02-03,1379.02490234375
2022-02-04,1438.982421875
2022-02-07,1383.0220947265625
2022-02-08,1405.0064697265625
2022-02-09,1438.982421875
2022-02-10,1438.982421875
2022-02-11,1416.998046875
2022-02-14,1403.0079345703125
2022-02-15,1379.02490234375
2022-02-16,1369.0318603515625
2022-02-17,1369.0318603515625
2022-02-18,1369.0318603515625
2022-02-21,1399.0106201171875
2022-02-22,1379.02490234375
2022-02-23,1418.996337890625
2022-02-24,1399.0106201171875
2022-02-25,1389.0177001953125
2022-02-28,1375.0277099609375
2022-03-01,1369.0318603515625
2022-03-02,1365.0347900390625
2022-03-03,1369.0318603515625
2022-03-04,1349.0460205078125
2022-03-07,1319.0672607421875
2022-03-08,1335.0557861328125
2022-03-09,1319.0672607421875
2022-03-10,1337.054443359375
2022-03-11,1339.05322265625
2022-03-14,1359.0389404296875
2022-03-15,1349.0460205078125
2022-03-16,1389.0177001953125
2022-03-17,1389.0177001953125
2022-03-18,1399.0106201171875
2022-03-21,1418.996337890625
2022-03-22,1414.9993896484375
2022-03-23,1438.982421875
2022-03-24,1399.0106201171875
2022-03-25,1438.982421875
2022-03-28,1422.9937744140625
2022-03-29,1448.9752197265625
2022-03-30,1409.0035400390625
2022-03-31,1448.9752197265625
2022-04-01,1448.9752197265625
2022-04-04,1488.947265625
2022-04-05,1478.9542236328125
2022-04-06,1448.9752197265625
2022-04-07,1468.961181640625
2022-04-08,1478.9542236328125
2022-04-11,1478.9542236328125
2022-04-12,1448.9752197265625
2022-04-13,1498.9400634765625
2022-04-14,1513.9293212890625
2022-04-19,1503.9365234375
2022-04-20,1498.9400634765625
2022-04-21,1498.9400634765625
2022-04-22,1473.957763671875
2022-04-25,1473.957763671875
2022-04-26,1473.957763671875
2022-04-27,1523.92236328125
2022-04-28,1563.8941650390625
2022-04-29,1563.8941650390625
2022-05-03,1553.9010009765625
2022-05-04,1558.8974609375
2022-05-05,1503.9365234375
2022-05-06,1498.9400634765625
2022-05-09,1404.0072021484375
2022-05-10,1453.971923828125
2022-05-11,1473.957763671875
2022-05-12,1409.0035400390625
2022-05-13,1433.9859619140625
2022-05-16,1433.9859619140625
2022-05-17,1428.989501953125
2022-05-18,1428.989501953125
2022-05-19,1414.0001220703125
2022-05-20,1414.0001220703125
2022-05-23,1458.96826171875
2022-05-24,1404.0072021484375
2022-05-25,1458.96826171875
2022-05-26,1448.9752197265625
2022-05-27,1548.90478515625
2022-05-30,1563.8941650390625
2022-05-31,1598.869384765625
2022-06-01,1568.8905029296875
2022-06-06,1598.869384765625
2022-06-07,1558.8974609375
2022-06-08,1571.3887939453125
2022-06-09,1568.8905029296875
2022-06-10,1558.8974609375
2022-06-13,1533.915283203125
2022-06-14,1533.915283203125
2022-06-15,1543.9080810546875
2022-06-16,1498.9400634765625
2022-06-17,1538.911865234375
2022-06-20,1568.8905029296875
2022-06-21,1568.8905029296875
2022-06-22,1568.8905029296875
2022-06-23,1503.9365234375
2022-06-24,1543.9080810546875
2022-06-27,1548.90478515625
2022-06-28,1473.957763671875
2022-06-29,1453.971923828125
2022-06-30,1468.961181640625
2022-07-01,1478.9542236328125
2022-07-04,1453.971923828125
2022-07-05,1418.996337890625
2022-07-06,1493.943359375
2022-07-07,1493.943359375
2022-07-08,1458.96826171875
2022-07-11,1473.957763671875
2022-07-12,1448.9752197265625
2022-07-13,1463.964599609375
2022-07-14,1448.9752197265625
2022-07-15,1423.9931640625
2022-07-18,1488.947265625
2022-07-19,1488.947265625
2022-07-20,1468.961181640625
2022-07-21,1463.964599609375
2022-07-22,1448.9752197265625
2022-07-25,1448.9752197265625
2022-07-26,1448.9752197265625
2022-07-27,1428.989501953125
2022-07-28,1468.961181640625
2022-07-29,1433.9859619140625
2022-08-01,1456.4700927734375
2022-08-02,1433.9859619140625
2022-08-03,1448.9752197265625
2022-08-04,1428.989501953125
2022-08-05,1428.989501953125
2022-08-08,1418.996337890625
2022-08-09,1443.9788818359375
2022-08-10,1409.0035400390625
2022-08-11,1448.9752197265625
2022-08-12,1468.961181640625
2022-08-15,1418.996337890625
2022-08-16,1438.982421875
2022-08-17,1418.996337890625
2022-08-18,1441.480712890625
2022-08-19,1451.4736328125
