Date,RMV.L
2021-11-04,702.41552734375
2021-11-05,702.6154174804688
2021-11-08,703.6149291992188
2021-11-09,699.6170654296875
2021-11-10,696.818603515625
2021-11-11,708.8121337890625
2021-11-12,724.603515625
2021-11-15,734.7977905273438
2021-11-16,733.998291015625
2021-11-17,744.7923583984375
2021-11-18,741.5941162109375
2021-11-19,763.1823120117188
2021-11-22,758.9846801757812
2021-11-23,750.989013671875
2021-11-24,755.986328125
2021-11-25,739.795166015625
2021-11-26,730.7999877929688
2021-11-29,739.59521484375
2021-11-30,746.3914794921875
2021-12-01,761.9830932617188
2021-12-02,744.3926391601562
2021-12-03,737.5963134765625
2021-12-06,755.58642578125
2021-12-07,778.5738525390625
2021-12-08,770.7782592773438
2021-12-09,775.17578125
2021-12-10,770.9779663085938
2021-12-13,763.1823120117188
2021-12-14,745.3920288085938
2021-12-15,745.3920288085938
2021-12-16,761.1834716796875
2021-12-17,766.5804443359375
2021-12-20,768.7792358398438
2021-12-21,763.58203125
2021-12-22,783.5712280273438
2021-12-23,785.5701293945312
2021-12-24,789.367919921875
2021-12-29,798.5628662109375
2021-12-30,799.9622192382812
2021-12-31,794.5652465820312
2022-01-04,790.1675415039062
2022-01-05,781.9721069335938
2022-01-06,766.7804565429688
2022-01-07,764.381591796875
2022-01-10,731.9993896484375
2022-01-11,740.394775390625
2022-01-12,746.1915283203125
2022-01-13,725.2030639648438
2022-01-14,692.4210205078125
2022-01-17,689.822509765625
2022-01-18,658.23974609375
2022-01-19,665.435791015625
2022-01-20,674.4309692382812
2022-01-21,667.4346923828125
2022-01-24,651.4435424804688
2022-01-25,634.8525390625
2022-01-26,636.651611328125
2022-01-27,643.4478759765625
2022-01-28,631.6541748046875
2022-01-31,649.4445190429688
2022-02-01,660.4385375976562
2022-02-02,667.0349731445312
2022-02-03,637.251220703125
2022-02-04,635.652099609375
2022-02-07,641.448974609375
2022-02-08,639.8497924804688
2022-02-09,639.6499633789062
2022-02-10,634.4528198242188
2022-02-11,634.6526489257812
2022-02-14,622.4593505859375
2022-02-15,637.8509521484375
2022-02-16,628.0563354492188
2022-02-17,623.0589599609375
2022-02-18,613.8639526367188
2022-02-21,610.0660400390625
2022-02-22,620.46044921875
2022-02-23,616.4625854492188
2022-02-24,615.2633056640625
2022-02-25,643.0481567382812
2022-02-28,672.232177734375
2022-03-01,664.63623046875
2022-03-02,684.2254638671875
2022-03-03,676.4297485351562
2022-03-04,646.4461059570312
2022-03-07,651.643310546875
2022-03-08,612.46484375
2022-03-09,644.647216796875
2022-03-10,619.2610473632812
2022-03-11,623.458740234375
2022-03-14,630.05517578125
2022-03-15,633.453369140625
2022-03-16,654.6417236328125
2022-03-17,665.0360107421875
2022-03-18,679.0283813476562
2022-03-21,671.4326171875
2022-03-22,658.8394775390625
2022-03-23,652.44287109375
2022-03-24,652.2431030273438
2022-03-25,648.6449584960938
2022-03-28,642.4484252929688
2022-03-29,658.8394775390625
2022-03-30,642.4484252929688
2022-03-31,632.453857421875
2022-04-01,634.6526489257812
2022-04-04,656.640625
2022-04-05,653.842041015625
2022-04-06,644.647216796875
2022-04-07,635.2523193359375
2022-04-08,645.2468872070312
