Date,BAG.L
2021-03-22,482.0277404785156
2021-03-23,497.0130310058594
2021-03-24,501.5086669921875
2021-03-25,502.5076599121094
2021-03-26,503.5066833496094
2021-03-29,520.489990234375
2021-03-30,485.52435302734375
2021-03-31,490.5194091796875
2021-04-01,494.5155029296875
2021-04-06,501.5086669921875
2021-04-07,501.5086669921875
2021-04-08,506.50372314453125
2021-04-09,508.5018005371094
2021-04-12,504.5057067871094
2021-04-13,510.4998779296875
2021-04-14,506.50372314453125
2021-04-15,514.4959106445312
2021-04-16,522.4880981445312
2021-04-19,522.4880981445312
2021-04-20,518.4920043945312
2021-04-21,519.490966796875
2021-04-22,519.490966796875
2021-04-23,515.4949951171875
2021-04-26,514.4959106445312
2021-04-27,502.5076599121094
2021-04-28,511.4988708496094
2021-04-29,504.5057067871094
2021-04-30,507.5027770996094
2021-05-04,518.4920043945312
2021-05-05,510.4998779296875
2021-05-06,518.4920043945312
2021-05-07,528.4822387695312
2021-05-10,534.4763793945312
2021-05-11,519.490966796875
2021-05-12,514.4959106445312
2021-05-13,521.4890747070312
2021-05-14,524.4861450195312
2021-05-17,528.4822387695312
2021-05-18,522.4880981445312
2021-05-19,541.469482421875
2021-05-20,542.4685668945312
2021-05-21,540.4705200195312
2021-05-24,527.4832153320312
2021-05-25,519.490966796875
2021-05-26,528.4822387695312
2021-05-27,529.4811401367188
2021-05-28,521.4890747070312
2021-06-01,534.4763793945312
2021-06-02,548.4625854492188
2021-06-03,533.4773559570312
2021-06-04,531.4793701171875
2021-06-07,531.4793701171875
2021-06-08,539.471435546875
2021-06-09,528.4822387695312
2021-06-10,536.474365234375
2021-06-11,531.4793701171875
2021-06-14,523.4871215820312
2021-06-15,525.4852294921875
2021-06-16,525.4852294921875
2021-06-17,529.4811401367188
2021-06-18,503.5066833496094
2021-06-21,508.5018005371094
2021-06-22,513.4967651367188
2021-06-23,512.4979248046875
2021-06-24,504.5057067871094
2021-06-25,518.4920043945312
2021-06-28,529.4811401367188
2021-06-29,519.490966796875
2021-06-30,517.4930419921875
2021-07-01,515.4949951171875
2021-07-02,514.4959106445312
2021-07-05,517.4930419921875
2021-07-06,512.4979248046875
2021-07-07,524.4861450195312
2021-07-08,524.4861450195312
2021-07-09,529.4811401367188
2021-07-12,539.471435546875
2021-07-13,546.4646606445312
2021-07-14,527.4832153320312
2021-07-15,529.4811401367188
2021-07-16,529.4811401367188
2021-07-19,526.4841918945312
2021-07-20,543.467529296875
2021-07-21,553.4577026367188
2021-07-22,567.444091796875
2021-07-23,567.444091796875
2021-07-26,569.4420166015625
2021-07-27,581.4303588867188
2021-07-28,571.440185546875
2021-07-29,572.4391479492188
2021-07-30,574.4370727539062
2021-08-02,565.4459838867188
2021-08-03,564.4469604492188
2021-08-04,564.4469604492188
2021-08-05,562.4490356445312
2021-08-06,558.4528198242188
2021-08-09,553.4577026367188
2021-08-10,554.456787109375
2021-08-11,559.4519653320312
2021-08-12,574.4370727539062
2021-08-13,580.4313354492188
2021-08-16,575.436279296875
2021-08-17,574.4370727539062
2021-08-18,573.4381103515625
2021-08-19,566.4450073242188
2021-08-20,560.450927734375
2021-08-23,558.4528198242188
2021-08-24,563.4478759765625
2021-08-25,549.4617309570312
2021-08-26,549.4617309570312
2021-08-27,555.455810546875
2021-08-31,556.4547729492188
2021-09-01,557.4537963867188
2021-09-02,559.4519653320312
2021-09-03,564.4469604492188
2021-09-06,561.4498901367188
2021-09-07,557.4537963867188
2021-09-08,552.458740234375
2021-09-09,546.4646606445312
2021-09-10,542.4685668945312
2021-09-13,543.467529296875
2021-09-14,528.4822387695312
2021-09-15,532.4783325195312
2021-09-16,534.4763793945312
2021-09-17,539.471435546875
2021-09-20,519.490966796875
2021-09-21,524.4861450195312
2021-09-22,531.4793701171875
2021-09-23,534.4763793945312
2021-09-24,528.4822387695312
2021-09-27,538.472412109375
