Date,MSCI
2021-10-04,564.38232421875
2021-10-05,578.6240234375
2021-10-06,576.5291137695312
2021-10-07,584.7550048828125
2021-10-08,576.701904296875
2021-10-11,573.9056396484375
2021-10-12,572.0220947265625
2021-10-13,574.9530029296875
2021-10-14,588.7429809570312
2021-10-15,592.039306640625
2021-10-18,595.6332397460938
2021-10-19,606.338623046875
2021-10-20,599.0352172851562
2021-10-21,611.5950317382812
2021-10-22,623.76123046875
2021-10-25,626.586669921875
2021-10-26,618.024169921875
2021-10-27,612.1429443359375
2021-10-28,629.7576904296875
2021-10-29,638.9349365234375
2021-11-01,631.4682006835938
2021-11-02,628.7966918945312
2021-11-03,620.4649658203125
2021-11-04,635.8502807617188
2021-11-05,627.8452758789062
2021-11-08,628.2969970703125
2021-11-09,627.3455810546875
2021-11-10,617.9321899414062
2021-11-11,617.2489013671875
2021-11-12,628.1060180664062
2021-11-15,636.1718139648438
2021-11-16,649.839599609375
2021-11-17,641.436767578125
2021-11-18,640.4838256835938
2021-11-19,632.2544555664062
2021-11-22,613.0234375
2021-11-23,608.6344604492188
2021-11-24,618.54833984375
2021-11-26,597.758056640625
2021-11-29,621.2914428710938
2021-11-30,605.8528442382812
2021-12-01,593.2437744140625
2021-12-02,605.9779052734375
2021-12-03,580.8275756835938
2021-12-06,585.351318359375
2021-12-07,613.18701171875
2021-12-08,621.8690185546875
2021-12-09,596.6993408203125
2021-12-10,604.5919189453125
2021-12-13,598.450927734375
2021-12-14,568.9116821289062
2021-12-15,579.8360595703125
2021-12-16,572.8096923828125
2021-12-17,568.0933837890625
2021-12-20,557.5828857421875
2021-12-21,572.3670043945312
2021-12-22,581.5301513671875
2021-12-23,588.3543701171875
2021-12-27,595.5731811523438
2021-12-28,591.9252319335938
2021-12-29,591.742431640625
2021-12-30,589.57666015625
2021-12-31,589.72119140625
2022-01-03,573.252685546875
2022-01-04,568.9693603515625
2022-01-05,544.8967895507812
2022-01-06,541.8746948242188
2022-01-07,531.3062744140625
2022-01-10,521.54638671875
2022-01-11,532.5767822265625
2022-01-12,538.1209106445312
2022-01-13,513.4131469726562
2022-01-14,506.9931335449219
2022-01-18,497.32000732421875
2022-01-19,494.1532897949219
2022-01-20,496.51141357421875
2022-01-21,482.04498291015625
2022-01-24,488.0606384277344
2022-01-25,474.4411315917969
2022-01-26,473.6806640625
2022-01-27,473.35345458984375
2022-01-28,489.0809326171875
2022-01-31,516.0215454101562
2022-02-01,524.95361328125
2022-02-02,529.2176513671875
2022-02-03,520.054443359375
2022-02-04,533.9146728515625
2022-02-07,529.8143310546875
2022-02-08,525.6658935546875
2022-02-09,540.4212036132812
2022-02-10,524.674560546875
2022-02-11,514.231201171875
2022-02-14,512.9895629882812
2022-02-15,525.8969116210938
2022-02-16,523.2210693359375
2022-02-17,512.5360717773438
2022-02-18,508.2158203125
2022-02-22,502.72857666015625
2022-02-23,491.24310302734375
2022-02-24,490.3462829589844
2022-02-25,494.9173278808594
2022-02-28,483.8079528808594
2022-03-01,482.54461669921875
2022-03-02,492.872802734375
2022-03-03,489.0347595214844
2022-03-04,480.0373229980469
2022-03-07,450.7401123046875
2022-03-08,449.3900146484375
2022-03-09,470.7312927246094
2022-03-10,448.6764221191406
2022-03-11,440.3540344238281
2022-03-14,441.0290832519531
2022-03-15,454.154052734375
2022-03-16,475.38909912109375
2022-03-17,480.673828125
2022-03-18,501.7930908203125
2022-03-21,488.9286193847656
2022-03-22,491.5903015136719
2022-03-23,473.74005126953125
2022-03-24,478.0603332519531
2022-03-25,472.8335876464844
2022-03-28,489.7098083496094
2022-03-29,498.3504943847656
2022-03-30,492.0917053222656
2022-03-31,484.9554748535156
2022-04-01,497.6079406738281
2022-04-04,500.9927673339844
2022-04-05,494.9366149902344
2022-04-06,488.5910949707031
2022-04-07,491.8216857910156
2022-04-08,488.4368896484375
2022-04-11,468.7640075683594
2022-04-12,463.19000244140625
2022-04-13,475.68804931640625
2022-04-14,465.4947814941406
2022-04-18,460.9719543457031
2022-04-19,473.03607177734375
2022-04-20,475.9483947753906
2022-04-21,457.8570556640625
2022-04-22,439.7850646972656
2022-04-25,445.82196044921875
2022-04-26,414.489990234375
2022-04-27,402.8887634277344
2022-04-28,417.9327392578125
2022-04-29,406.235107421875
2022-05-02,408.64593505859375
2022-05-03,416.5151672363281
2022-05-04,417.3155517578125
2022-05-05,401.220458984375
2022-05-06,391.15252685546875
2022-05-09,365.5682067871094
2022-05-10,375.0285949707031
2022-05-11,373.5916442871094
2022-05-12,375.1580505371094
2022-05-13,394.6518859863281
2022-05-16,386.78082275390625
2022-05-17,394.2747497558594
2022-05-18,386.2974548339844
2022-05-19,396.4697570800781
2022-05-20,403.2577209472656
2022-05-23,403.8765869140625
2022-05-24,400.9079895019531
2022-05-25,403.0256652832031
2022-05-26,418.47760009765625
2022-05-27,433.3589782714844
2022-05-31,427.7313232421875
2022-06-01,417.1915283203125
2022-06-02,436.6949157714844
2022-06-03,423.9601745605469
2022-06-06,424.16326904296875
2022-06-07,431.54107666015625
2022-06-08,421.1366882324219
2022-06-09,412.96588134765625
2022-06-10,396.49871826171875
2022-06-13,380.0122375488281
2022-06-14,378.0782775878906
2022-06-15,384.25714111328125
2022-06-16,373.011474609375
2022-06-17,373.9300537109375
2022-06-21,387.0226135253906
2022-06-22,387.6221008300781
2022-06-23,402.9386291503906
2022-06-24,417.7813720703125
2022-06-27,415.5766906738281
2022-06-28,399.4672546386719
2022-06-29,401.5365905761719
2022-06-30,398.52935791015625
2022-07-01,403.9153137207031
2022-07-05,408.0635681152344
2022-07-06,412.1537170410156
2022-07-07,421.0980529785156
2022-07-08,419.6089172363281
2022-07-11,417.5782775878906
2022-07-12,406.42938232421875
2022-07-13,400.0474548339844
2022-07-14,396.5567626953125
2022-07-15,405.0272521972656
2022-07-18,398.39404296875
2022-07-19,412.018310546875
2022-07-20,419.9666442871094
2022-07-21,432.68212890625
2022-07-22,425.3623046875
2022-07-25,423.9795837402344
2022-07-26,428.25341796875
2022-07-27,438.00042724609375
2022-07-28,458.61578369140625
2022-07-29,465.4327697753906
2022-08-01,461.1007995605469
2022-08-02,461.90338134765625
2022-08-03,479.9273681640625
2022-08-04,480.3431701660156
2022-08-05,479.7823486328125
2022-08-08,484.2690124511719
2022-08-09,478.5736083984375
2022-08-10,495.1955261230469
2022-08-11,485.74468994140625
2022-08-12,491.1632080078125
2022-08-15,493.0242614746094
2022-08-16,488.1679382324219
2022-08-17,487.07269287109375
2022-08-18,484.63970947265625
2022-08-19,463.8090515136719
2022-08-22,458.37115478515625
2022-08-23,453.1562194824219
2022-08-24,453.5342712402344
2022-08-25,461.1821594238281
2022-08-26,442.4162292480469
2022-08-29,442.00909423828125
2022-08-30,439.1398620605469
2022-08-31,435.4564514160156
2022-09-01,442.89111328125
2022-09-02,438.0833435058594
2022-09-06,443.637451171875
2022-09-07,459.7475891113281
2022-09-08,468.08367919921875
2022-09-09,476.1872253417969
2022-09-12,481.33428955078125
2022-09-13,457.295166015625
2022-09-14,454.7168273925781
2022-09-15,442.1932373046875
