Date,PNCINFRA.NS
2016-05-30,111.95462036132812
2016-05-31,110.91952514648438
2016-06-01,110.14810943603516
2016-06-02,110.27505493164062
2016-06-03,108.23417663574219
2016-06-06,109.65986633300781
2016-06-07,110.3336410522461
2016-06-08,110.6070556640625
2016-06-09,109.87467956542969
2016-06-10,108.52713775634766
2016-06-13,107.73616790771484
2016-06-14,108.849365234375
2016-06-15,109.1618423461914
2016-06-16,108.38066101074219
2016-06-17,108.8982162475586
2016-06-20,107.96076965332031
2016-06-21,108.74195861816406
2016-06-22,107.62875366210938
2016-06-23,108.50761413574219
2016-06-24,107.16981506347656
2016-06-27,108.87866973876953
2016-06-28,106.77921295166016
2016-06-29,109.10325622558594
2016-06-30,112.5014419555664
2016-07-01,111.17340850830078
2016-07-04,112.55026245117188
