Date,SAB.MC
2016-05-03,1.072575330734253
2016-05-04,1.0530860424041748
2016-05-05,1.045021653175354
2016-05-06,1.0490535497665405
2016-05-09,1.0288927555084229
2016-05-10,1.0362849235534668
2016-05-11,1.0335971117019653
2016-05-12,1.0248603820800781
2016-05-13,1.0241880416870117
2016-05-16,1.0268765687942505
2016-05-17,1.0262041091918945
2016-05-18,1.043005347251892
2016-05-19,1.0483813285827637
2016-05-20,1.0611505508422852
2016-05-23,1.0571181774139404
2016-05-24,1.0940799713134766
2016-05-25,1.14179527759552
2016-05-26,1.084671974182129
2016-05-27,1.0779516696929932
2016-05-30,1.0712310075759888
2016-05-31,1.0322524309158325
2016-06-01,1.0349409580230713
2016-06-02,1.0356128215789795
2016-06-03,1.0107477903366089
2016-06-06,1.0141074657440186
