Date,RECSI.OL
2017-12-06,10.300000190734863
2017-12-07,10.329999923706055
2017-12-08,10.600000381469727
2017-12-11,10.819999694824219
2017-12-12,10.640000343322754
2017-12-13,10.729999542236328
2017-12-14,11.270000457763672
2017-12-15,11.300000190734863
2017-12-18,11.670000076293945
2017-12-19,12.34000015258789
2017-12-20,13.75
2017-12-21,13.239999771118164
2017-12-22,13.199999809265137
2017-12-27,13.800000190734863
2017-12-28,13.800000190734863
2017-12-29,13.800000190734863
2018-01-02,15.0
2018-01-03,14.869999885559082
2018-01-04,14.479999542236328
2018-01-05,15.050000190734863
2018-01-08,15.5
2018-01-09,15.25
2018-01-10,15.359999656677246
2018-01-11,14.9399995803833
2018-01-12,14.90999984741211
2018-01-15,14.680000305175781
2018-01-16,14.390000343322754
2018-01-17,13.0
2018-01-18,13.130000114440918
2018-01-19,13.289999961853027
2018-01-22,12.229999542236328
2018-01-23,12.649999618530273
2018-01-24,11.40999984741211
2018-01-25,11.75
2018-01-26,11.65999984741211
2018-01-29,11.920000076293945
2018-01-30,11.75
2018-01-31,11.5
2018-02-01,10.100000381469727
2018-02-02,9.850000381469727
2018-02-05,9.725000381469727
2018-02-06,9.444999694824219
2018-02-07,9.899999618530273
2018-02-08,9.774999618530273
2018-02-09,10.65999984741211
2018-02-12,11.550000190734863
2018-02-13,11.930000305175781
2018-02-14,12.100000381469727
2018-02-15,12.550000190734863
2018-02-16,12.989999771118164
2018-02-19,12.529999732971191
2018-02-20,12.890000343322754
2018-02-21,13.40999984741211
2018-02-22,14.229999542236328
2018-02-23,14.34000015258789
2018-02-26,13.930000305175781
2018-02-27,14.65999984741211
2018-02-28,14.479999542236328
2018-03-01,14.930000305175781
2018-03-02,12.539999961853027
2018-03-05,12.9399995803833
2018-03-06,13.15999984741211
2018-03-07,12.680000305175781
2018-03-08,12.9399995803833
2018-03-09,14.84000015258789
2018-03-12,14.039999961853027
2018-03-13,13.859999656677246
2018-03-14,13.609999656677246
2018-03-15,14.100000381469727
2018-03-16,14.899999618530273
2018-03-19,14.350000381469727
2018-03-20,14.010000228881836
2018-03-21,13.640000343322754
2018-03-22,13.9399995803833
2018-03-23,13.930000305175781
2018-03-26,14.020000457763672
2018-03-27,14.34000015258789
2018-03-28,14.960000038146973
2018-04-03,14.8100004196167
2018-04-04,14.199999809265137
2018-04-05,14.869999885559082
2018-04-06,14.520000457763672
2018-04-09,14.680000305175781
2018-04-10,15.3100004196167
2018-04-11,14.90999984741211
2018-04-12,14.520000457763672
2018-04-13,14.699999809265137
2018-04-16,14.25
2018-04-17,14.25
2018-04-18,13.75
2018-04-19,13.619999885559082
2018-04-20,13.5
2018-04-23,14.119999885559082
2018-04-24,13.600000381469727
2018-04-25,13.770000457763672
2018-04-26,14.460000038146973
2018-04-27,13.6899995803833
2018-04-30,13.6899995803833
2018-05-02,13.4399995803833
2018-05-03,13.5
2018-05-04,13.539999961853027
2018-05-07,13.460000038146973
2018-05-08,13.0
2018-05-09,13.180000305175781
2018-05-11,13.329999923706055
2018-05-14,13.609999656677246
2018-05-15,13.489999771118164
2018-05-16,13.5
2018-05-18,13.670000076293945
2018-05-22,13.670000076293945
2018-05-23,13.470000267028809
2018-05-24,13.359999656677246
2018-05-25,13.09000015258789
2018-05-28,13.199999809265137
2018-05-29,13.100000381469727
2018-05-30,12.960000038146973
2018-05-31,12.020000457763672
2018-06-01,12.050000190734863
2018-06-04,11.5
2018-06-05,11.6899995803833
2018-06-06,11.199999809265137
2018-06-07,11.020000457763672
2018-06-08,10.850000381469727
2018-06-11,10.380000114440918
2018-06-12,10.510000228881836
2018-06-13,10.550000190734863
2018-06-14,10.449999809265137
2018-06-15,10.020000457763672
2018-06-18,10.25
2018-06-19,10.020000457763672
2018-06-20,9.960000038146973
2018-06-21,9.970000267028809
2018-06-22,9.850000381469727
2018-06-25,9.454999923706055
2018-06-26,9.0600004196167
2018-06-27,9.369999885559082
2018-06-28,9.079999923706055
2018-06-29,9.15999984741211
2018-07-02,7.639999866485596
2018-07-03,7.235000133514404
2018-07-04,8.015000343322754
2018-07-05,7.769999980926514
2018-07-06,8.015000343322754
2018-07-09,8.25
2018-07-10,8.984999656677246
2018-07-11,8.324999809265137
2018-07-12,8.550000190734863
2018-07-13,8.449999809265137
2018-07-16,8.145000457763672
2018-07-17,8.104999542236328
2018-07-18,8.25
2018-07-19,8.074999809265137
2018-07-20,7.735000133514404
2018-07-23,7.625
2018-07-24,7.494999885559082
2018-07-25,7.579999923706055
2018-07-26,8.020000457763672
2018-07-27,8.109999656677246
2018-07-30,7.809999942779541
2018-07-31,8.15999984741211
2018-08-01,8.1899995803833
2018-08-02,7.989999771118164
2018-08-03,7.960000038146973
2018-08-06,7.824999809265137
2018-08-07,7.789999961853027
2018-08-08,7.699999809265137
2018-08-09,7.704999923706055
2018-08-10,7.704999923706055
2018-08-13,7.625
2018-08-14,7.579999923706055
2018-08-15,7.505000114440918
2018-08-16,7.599999904632568
2018-08-17,7.599999904632568
2018-08-20,7.599999904632568
2018-08-21,7.590000152587891
2018-08-22,7.989999771118164
2018-08-23,7.784999847412109
2018-08-24,7.710000038146973
2018-08-27,7.510000228881836
2018-08-28,7.320000171661377
2018-08-29,7.119999885559082
2018-08-30,7.150000095367432
2018-08-31,7.114999771118164
2018-09-03,6.909999847412109
2018-09-04,6.864999771118164
2018-09-05,6.849999904632568
2018-09-06,7.449999809265137
2018-09-07,7.235000133514404
2018-09-10,6.914999961853027
2018-09-11,6.824999809265137
2018-09-12,6.929999828338623
2018-09-13,6.75
2018-09-14,6.675000190734863
2018-09-17,6.510000228881836
2018-09-18,6.400000095367432
2018-09-19,6.204999923706055
2018-09-20,6.550000190734863
2018-09-21,7.0
2018-09-24,6.510000228881836
2018-09-25,6.704999923706055
2018-09-26,6.489999771118164
2018-09-27,6.460000038146973
2018-09-28,6.315000057220459
2018-10-01,6.284999847412109
2018-10-02,6.309999942779541
2018-10-03,6.394999980926514
2018-10-04,6.099999904632568
2018-10-05,5.909999847412109
2018-10-08,5.784999847412109
2018-10-09,5.784999847412109
2018-10-10,5.71999979019165
2018-10-11,5.425000190734863
2018-10-12,5.195000171661377
2018-10-15,5.15500020980835
2018-10-16,5.184999942779541
2018-10-17,5.21999979019165
2018-10-18,5.199999809265137
2018-10-19,5.239999771118164
2018-10-22,5.135000228881836
2018-10-23,5.190000057220459
2018-10-24,6.215000152587891
2018-10-25,7.0
2018-10-26,7.199999809265137
2018-10-29,6.880000114440918
2018-10-30,6.230000019073486
2018-10-31,6.03000020980835
2018-11-01,6.164999961853027
2018-11-02,6.440000057220459
2018-11-05,8.5
2018-11-06,8.539999961853027
2018-11-07,7.945000171661377
2018-11-08,7.239999771118164
2018-11-09,7.164999961853027
2018-11-12,7.179999828338623
2018-11-13,7.0
2018-11-14,6.699999809265137
2018-11-15,6.199999809265137
2018-11-16,6.539999961853027
2018-11-19,6.489999771118164
2018-11-20,5.925000190734863
2018-11-21,6.039999961853027
2018-11-22,5.985000133514404
2018-11-23,5.820000171661377
2018-11-26,6.135000228881836
2018-11-27,6.375
2018-11-28,6.394999980926514
2018-11-29,6.40500020980835
2018-11-30,6.769999980926514
2018-12-03,7.15500020980835
2018-12-04,6.78000020980835
2018-12-05,6.605000019073486
2018-12-06,6.130000114440918
2018-12-07,6.260000228881836
2018-12-10,6.010000228881836
2018-12-11,6.15500020980835
2018-12-12,6.304999828338623
2018-12-13,6.199999809265137
2018-12-14,6.364999771118164
2018-12-17,6.03000020980835
2018-12-18,5.974999904632568
2018-12-19,5.835000038146973
2018-12-20,5.699999809265137
2018-12-21,6.150000095367432
2018-12-27,5.929999828338623
2018-12-28,5.900000095367432
2019-01-02,6.050000190734863
2019-01-03,6.179999828338623
2019-01-04,6.400000095367432
2019-01-07,6.730000019073486
2019-01-08,6.784999847412109
2019-01-09,6.664999961853027
2019-01-10,6.5
2019-01-11,6.585000038146973
2019-01-14,6.474999904632568
2019-01-15,6.364999771118164
2019-01-16,6.679999828338623
2019-01-17,7.230000019073486
2019-01-18,7.099999904632568
2019-01-21,5.900000095367432
2019-01-22,5.650000095367432
2019-01-23,5.675000190734863
2019-01-24,5.454999923706055
2019-01-25,5.565000057220459
2019-01-28,5.400000095367432
2019-01-29,5.364999771118164
2019-01-30,5.644999980926514
2019-01-31,5.735000133514404
2019-02-01,5.909999847412109
2019-02-04,5.699999809265137
2019-02-05,5.75
2019-02-06,5.715000152587891
2019-02-07,5.75
2019-02-08,5.710000038146973
2019-02-11,5.75
2019-02-12,5.514999866485596
2019-02-13,5.789999961853027
2019-02-14,6.0
2019-02-15,5.900000095367432
2019-02-18,5.815000057220459
2019-02-19,5.795000076293945
2019-02-20,5.650000095367432
2019-02-21,7.179999828338623
2019-02-22,6.715000152587891
2019-02-25,7.300000190734863
2019-02-26,6.800000190734863
2019-02-27,6.795000076293945
2019-02-28,6.21999979019165
2019-03-01,6.465000152587891
2019-03-04,6.909999847412109
2019-03-05,6.78000020980835
2019-03-06,6.690000057220459
2019-03-07,6.5
2019-03-08,6.300000190734863
2019-03-11,6.364999771118164
2019-03-12,6.539999961853027
2019-03-13,6.679999828338623
2019-03-14,6.650000095367432
2019-03-15,6.599999904632568
2019-03-18,6.659999847412109
2019-03-19,6.650000095367432
2019-03-20,6.659999847412109
2019-03-21,6.659999847412109
2019-03-22,7.130000114440918
2019-03-25,7.135000228881836
2019-03-26,6.855000019073486
2019-03-27,6.849999904632568
2019-03-28,6.440000057220459
2019-03-29,6.644999980926514
2019-04-01,6.670000076293945
2019-04-02,6.684999942779541
2019-04-03,6.78000020980835
2019-04-04,7.09499979019165
2019-04-05,8.25
2019-04-08,7.75
2019-04-09,7.5
2019-04-10,7.099999904632568
2019-04-11,7.054999828338623
2019-04-12,6.940000057220459
2019-04-15,6.900000095367432
2019-04-16,6.945000171661377
2019-04-17,6.945000171661377
2019-04-23,7.244999885559082
2019-04-24,7.050000190734863
2019-04-25,7.130000114440918
2019-04-26,7.0
2019-04-29,6.90500020980835
2019-04-30,6.965000152587891
2019-05-02,7.199999809265137
2019-05-03,8.0
2019-05-06,7.304999828338623
2019-05-07,7.400000095367432
2019-05-08,7.315000057220459
2019-05-09,6.869999885559082
2019-05-10,6.784999847412109
2019-05-13,5.46999979019165
2019-05-14,5.900000095367432
2019-05-15,6.144999980926514
2019-05-16,6.034999847412109
2019-05-20,5.679999828338623
2019-05-21,5.599999904632568
2019-05-22,5.644999980926514
2019-05-23,5.300000190734863
2019-05-24,5.735000133514404
2019-05-27,5.380000114440918
2019-05-28,5.25
2019-05-29,5.050000190734863
2019-05-31,5.0
2019-06-03,4.869999885559082
2019-06-04,5.135000228881836
2019-06-05,5.195000171661377
2019-06-06,5.425000190734863
2019-06-07,5.570000171661377
2019-06-11,5.945000171661377
2019-06-12,5.599999904632568
2019-06-13,5.710000038146973
2019-06-14,5.679999828338623
2019-06-17,5.579999923706055
2019-06-18,5.800000190734863
