Date,SPX.L
2018-08-02,6887.81591796875
2018-08-03,6857.8486328125
2018-08-06,6847.8583984375
2018-08-07,6742.9677734375
2018-08-08,6812.89404296875
2018-08-09,7232.4580078125
2018-08-10,7257.4306640625
2018-08-13,7182.50927734375
2018-08-14,7262.42626953125
2018-08-15,7137.556640625
2018-08-16,7147.54541015625
2018-08-17,7112.58251953125
2018-08-20,7172.52001953125
2018-08-21,7172.52001953125
2018-08-22,7122.5712890625
2018-08-23,7097.59765625
2018-08-24,7087.6083984375
2018-08-28,7157.53564453125
2018-08-29,7187.50439453125
2018-08-30,7132.56103515625
2018-08-31,7122.5712890625
2018-09-03,7172.52001953125
2018-09-04,7057.6396484375
2018-09-05,6902.80126953125
2018-09-06,6892.8115234375
2018-09-07,6882.8203125
2018-09-10,6932.76904296875
2018-09-11,6922.77978515625
2018-09-12,6992.70751953125
2018-09-13,6977.72216796875
2018-09-14,7152.54052734375
2018-09-17,7112.58251953125
2018-09-18,7192.49853515625
2018-09-19,7032.66455078125
2018-09-20,7067.62890625
2018-09-21,7097.59765625
2018-09-24,7012.685546875
2018-09-25,7072.62353515625
2018-09-26,7197.49365234375
2018-09-27,7207.482421875
2018-09-28,7292.39453125
2018-10-01,7337.34765625
2018-10-02,7182.50927734375
2018-10-03,7232.4580078125
2018-10-04,7047.6494140625
2018-10-05,6982.71728515625
2018-10-08,6722.98779296875
2018-10-09,6643.07177734375
2018-10-10,6323.4052734375
2018-10-11,6228.78955078125
2018-10-12,6343.67431640625
2018-10-15,6173.8447265625
2018-10-16,6533.486328125
2018-10-17,6563.4560546875
2018-10-18,6438.58056640625
2018-10-19,6333.68505859375
2018-10-22,6343.67431640625
2018-10-23,6133.884765625
2018-10-24,6163.85400390625
2018-10-25,6333.68505859375
2018-10-26,6323.6953125
2018-10-29,6348.669921875
2018-10-30,6303.71435546875
2018-10-31,6463.5556640625
2018-11-01,6478.541015625
2018-11-02,6493.52587890625
2018-11-05,6388.6298828125
2018-11-06,6453.56494140625
2018-11-07,6578.44140625
2018-11-08,6643.37646484375
2018-11-09,6518.50146484375
2018-11-12,6478.541015625
2018-11-13,6658.361328125
2018-11-14,6583.43603515625
2018-11-15,6793.22705078125
2018-11-16,6688.33154296875
2018-11-19,6588.43212890625
2018-11-20,6273.7451171875
2018-11-21,6313.7060546875
2018-11-22,6108.9091796875
2018-11-23,6123.89404296875
2018-11-26,6193.82373046875
2018-11-27,6168.85009765625
2018-11-28,6178.8388671875
2018-11-29,6188.8291015625
2018-11-30,6128.888671875
2018-12-03,6333.68505859375
2018-12-04,6318.69970703125
2018-12-05,6203.81494140625
2018-12-06,6004.01416015625
2018-12-07,6088.9287109375
2018-12-10,6103.91455078125
2018-12-11,6158.85986328125
2018-12-12,6323.6953125
2018-12-13,6308.7099609375
2018-12-14,6093.92333984375
2018-12-17,5929.08837890625
2018-12-18,6083.93359375
2018-12-19,5999.01904296875
2018-12-20,5994.02392578125
2018-12-21,5894.12451171875
2018-12-24,6063.95458984375
2018-12-27,6038.97900390625
2018-12-28,6148.87060546875
2018-12-31,6233.78466796875
2019-01-02,6153.86376953125
2019-01-03,5944.0732421875
2019-01-04,6103.91455078125
2019-01-07,6193.82373046875
2019-01-08,6408.61083984375
2019-01-09,6523.49560546875
2019-01-10,6503.51513671875
2019-01-11,6398.61962890625
2019-01-14,6318.69970703125
2019-01-15,6318.69970703125
2019-01-16,6308.7099609375
2019-01-17,6288.72998046875
2019-01-18,6398.61962890625
2019-01-21,6478.541015625
2019-01-22,6428.5908203125
2019-01-23,6313.7060546875
2019-01-24,6328.69091796875
2019-01-25,6233.78466796875
2019-01-28,6298.72021484375
2019-01-29,6368.650390625
2019-01-30,6523.49560546875
2019-01-31,6398.61962890625
2019-02-01,6423.5966796875
2019-02-04,6503.51513671875
2019-02-05,6658.361328125
2019-02-06,6693.32666015625
2019-02-07,6608.41064453125
2019-02-08,6503.51513671875
2019-02-11,6608.41064453125
2019-02-12,6578.44140625
2019-02-13,6603.4169921875
