Date,COPEC.SN
2022-05-23,6357.12646484375
2022-05-24,6339.12890625
2022-05-25,6374.1240234375
2022-05-26,6494.107421875
2022-05-27,6599.0927734375
2022-05-30,6619.09033203125
2022-05-31,6539.1005859375
2022-06-01,6549.099609375
2022-06-02,6675.08251953125
2022-06-03,6799.0654296875
2022-06-06,6697.07958984375
2022-06-07,6799.0654296875
2022-06-08,6774.0693359375
2022-06-09,6592.8935546875
2022-06-10,6799.0654296875
2022-06-13,6649.0859375
2022-06-14,6739.0732421875
2022-06-15,6554.09912109375
2022-06-16,6779.06787109375
2022-06-17,6744.07275390625
2022-06-20,6752.67236328125
2022-06-22,6529.1025390625
2022-06-23,6299.13427734375
2022-06-24,6424.1171875
2022-06-28,6734.07470703125
2022-06-29,6869.05615234375
2022-06-30,6769.0693359375
2022-07-01,6846.95849609375
2022-07-04,6911.04931640625
2022-07-05,6949.04443359375
2022-07-06,6849.05859375
2022-07-07,6909.05029296875
2022-07-08,6999.03759765625
2022-07-11,6799.0654296875
2022-07-12,6999.03759765625
2022-07-13,7054.0302734375
2022-07-14,7069.0283203125
2022-07-15,6999.03759765625
2022-07-18,7084.0263671875
2022-07-19,7210.0087890625
2022-07-20,7498.9697265625
2022-07-21,7708.9404296875
2022-07-22,7648.94873046875
2022-07-25,7638.94970703125
2022-07-26,7541.96337890625
2022-07-27,7593.9560546875
2022-07-28,7522.06640625
2022-07-29,7378.9853515625
2022-08-01,7523.9658203125
2022-08-02,7493.86962890625
2022-08-03,7398.982421875
2022-08-04,7393.98388671875
2022-08-05,7378.9853515625
2022-08-08,7378.9853515625
2022-08-09,7338.99072265625
2022-08-10,7344.99072265625
2022-08-11,7338.99072265625
2022-08-12,7323.9931640625
2022-08-16,7448.9765625
2022-08-17,7468.9736328125
2022-08-18,7558.9609375
2022-08-19,7619.9521484375
2022-08-22,7698.94140625
2022-08-23,7838.92236328125
2022-08-24,7728.93798828125
2022-08-25,7678.9443359375
2022-08-26,7698.94140625
2022-08-29,7738.8359375
2022-08-30,7738.93603515625
2022-08-31,7729.9375
2022-09-01,7539.9638671875
2022-09-02,7898.91455078125
2022-09-05,8049.8935546875
2022-09-06,7688.943359375
2022-09-07,7699.94140625
2022-09-08,7628.95166015625
2022-09-09,7453.97509765625
2022-09-12,7546.96240234375
2022-09-13,7499.9697265625
2022-09-14,7376.78515625
2022-09-15,7199.01025390625
2022-09-20,6849.05859375
2022-09-21,6875.2548828125
2022-09-22,6699.07958984375
2022-09-23,6617.990234375
2022-09-26,6540.400390625
2022-09-27,6397.12060546875
