Date,TRITURBINE.NS
2016-05-30,101.31959533691406
2016-05-31,102.0849838256836
2016-06-01,102.89822387695312
2016-06-02,102.993896484375
2016-06-03,103.66361236572266
2016-06-06,105.38575744628906
2016-06-07,106.15115356445312
2016-06-08,106.77306365966797
2016-06-09,106.96440124511719
2016-06-10,109.97815704345703
2016-06-13,109.93031311035156
2016-06-14,107.72979736328125
2016-06-15,107.44277954101562
2016-06-16,108.73439025878906
2016-06-17,107.92115783691406
2016-06-20,108.20817565917969
2016-06-21,106.53385925292969
2016-06-22,105.62495422363281
2016-06-23,106.1989974975586
2016-06-24,108.44734954833984
2016-06-27,111.41326141357422
2016-06-28,111.7481460571289
2016-06-29,113.3746109008789
2016-06-30,114.71406555175781
2016-07-01,117.91915893554688
2016-07-04,117.823486328125
