Date,BME.L
2020-11-06,533.637451171875
2020-11-09,481.1321716308594
2020-11-10,474.64385986328125
2020-11-11,500.49725341796875
2020-11-12,495.1069641113281
2020-11-13,502.4936218261719
2020-11-16,494.1087646484375
2020-11-17,496.50445556640625
2020-11-18,507.8839416503906
2020-11-19,486.5635681152344
2020-11-20,496.74609375
2020-11-23,484.0678405761719
2020-11-24,467.1968994140625
2020-11-25,460.7080078125
2020-11-26,465.8991394042969
2020-11-27,474.1848449707031
2020-11-30,477.07989501953125
2020-12-01,487.8613586425781
2020-12-02,477.1796569824219
2020-12-03,473.8853454589844
2020-12-04,472.68743896484375
2020-12-07,468.99371337890625
2020-12-08,478.9765930175781
2020-12-09,478.2778015136719
2020-12-10,488.6599426269531
2020-12-11,493.2520446777344
2020-12-14,510.123046875
2020-12-15,510.5223693847656
2020-12-16,507.92681884765625
2020-12-17,513.5172729492188
2020-12-18,508.9251403808594
2020-12-21,505.1316223144531
2020-12-22,505.73065185546875
2020-12-23,512.1196899414062
2020-12-24,513.91650390625
2020-12-29,524.0990600585938
2020-12-30,520.1058959960938
2020-12-31,515.3140869140625
2021-01-04,522.5017700195312
2021-01-05,532.6842651367188
2021-01-06,529.0905151367188
2021-01-07,530.488037109375
2021-01-08,543.6654052734375
2021-01-11,548.8565063476562
2021-01-12,543.4657592773438
2021-01-13,549.2557983398438
2021-01-14,517.7100219726562
2021-01-15,503.334716796875
2021-01-18,503.13507080078125
2021-01-19,495.6479797363281
2021-01-20,499.9405517578125
2021-01-21,513.3175659179688
2021-01-22,518.5086669921875
2021-01-25,525.8959350585938
2021-01-26,529.8890991210938
2021-01-27,532.2849731445312
2021-01-28,547.25927734375
2021-01-29,534.2815551757812
2021-02-01,549.6551513671875
2021-02-02,557.0424194335938
2021-02-03,559.8375854492188
2021-02-04,564.4296875
2021-02-05,562.6326904296875
2021-02-08,562.6326904296875
2021-02-09,563.0321044921875
2021-02-10,562.0338745117188
2021-02-11,558.0407104492188
2021-02-12,557.0424194335938
2021-02-15,581.200927734375
2021-02-16,588.9874877929688
2021-02-17,599.9686279296875
2021-02-18,582.997802734375
2021-02-19,579.2042846679688
2021-02-22,560.63623046875
2021-02-23,556.0440673828125
2021-02-24,552.0509033203125
2021-02-25,547.8582153320312
2021-02-26,545.4623413085938
2021-03-01,542.267822265625
2021-03-02,547.0596313476562
2021-03-03,543.2661743164062
2021-03-04,532.0853271484375
2021-03-05,536.4778442382812
2021-03-08,519.107666015625
2021-03-09,529.2901611328125
2021-03-10,530.687744140625
2021-03-11,533.08349609375
2021-03-12,530.288330078125
2021-03-15,532.6842651367188
2021-03-16,539.672119140625
2021-03-17,536.278076171875
2021-03-18,536.4778442382812
2021-03-19,541.26953125
2021-03-22,548.457275390625
2021-03-23,546.6600952148438
2021-03-24,540.8702392578125
2021-03-25,533.2832641601562
2021-03-26,538.2745971679688
2021-03-29,531.6859130859375
2021-03-30,533.08349609375
2021-03-31,526.894287109375
2021-04-01,532.6842651367188
2021-04-06,535.8787841796875
2021-04-07,540.2711791992188
2021-04-08,545.2625732421875
2021-04-09,546.2610473632812
2021-04-12,534.680908203125
2021-04-13,549.0560302734375
2021-04-14,538.87353515625
2021-04-15,556.8427734375
2021-04-16,557.641357421875
2021-04-19,567.6242065429688
2021-04-20,567.6242065429688
2021-04-21,550.6533203125
2021-04-22,558.4400024414062
2021-04-23,557.4417114257812
2021-04-26,558.6397094726562
2021-04-27,562.0338745117188
2021-04-28,555.4451904296875
2021-04-29,554.0475463867188
2021-04-30,564.8291015625
2021-05-04,561.4348754882812
2021-05-05,565.827392578125
2021-05-06,571.8170166015625
2021-05-07,579.0045776367188
2021-05-10,574.6121826171875
2021-05-11,560.2369995117188
2021-05-12,554.0475463867188
2021-05-13,553.847900390625
2021-05-14,559.4384155273438
2021-05-17,564.4296875
2021-05-18,569.421142578125
2021-05-19,567.8239135742188
2021-05-20,573.2146606445312
2021-05-21,567.025146484375
2021-05-24,573.0149536132812
2021-05-25,575.6105346679688
2021-05-26,581.6001586914062
2021-05-27,580.40234375
2021-05-28,575.0115356445312
2021-06-01,568.8221435546875
2021-06-02,560.2369995117188
2021-06-03,538.2745971679688
2021-06-04,538.4744262695312
2021-06-07,524.6978759765625
2021-06-08,534.0819702148438
2021-06-09,535.0802001953125
2021-06-10,538.2745971679688
2021-06-11,543.6654052734375
2021-06-14,549.0560302734375
2021-06-15,549.0560302734375
2021-06-16,553.0493774414062
2021-06-17,550.4537353515625
2021-06-18,537.4760131835938
2021-06-21,546.6600952148438
2021-06-22,554.2471923828125
2021-06-23,550.6533203125
2021-06-24,557.0424194335938
2021-06-25,559.4384155273438
2021-06-28,564.2300415039062
2021-06-29,573.6138305664062
2021-06-30,572.21630859375
2021-07-01,566.3551635742188
2021-07-02,570.3491821289062
2021-07-05,570.548828125
2021-07-06,569.15087890625
2021-07-07,576.7396240234375
2021-07-08,547.7827758789062
2021-07-09,544.1881103515625
2021-07-12,556.1702270507812
2021-07-13,560.3640747070312
2021-07-14,558.5667114257812
2021-07-15,551.1776733398438
2021-07-16,554.1732177734375
2021-07-19,556.9691162109375
2021-07-20,558.167236328125
2021-07-21,565.3566284179688
2021-07-22,570.9482421875
2021-07-23,576.539794921875
2021-07-26,562.560791015625
2021-07-27,557.3684692382812
2021-07-28,567.95263671875
2021-07-29,554.772216796875
2021-07-30,552.1761474609375
2021-08-02,559.1658325195312
2021-08-03,559.1658325195312
2021-08-04,559.365478515625
2021-08-05,554.9720458984375
2021-08-06,559.365478515625
2021-08-09,563.9586181640625
2021-08-10,560.1642456054688
2021-08-11,555.3714599609375
2021-08-12,561.761962890625
2021-08-13,561.3624267578125
2021-08-16,560.9630737304688
2021-08-17,553.7738037109375
2021-08-18,556.3699340820312
2021-08-19,555.1718139648438
2021-08-20,567.7529907226562
2021-08-23,579.3357543945312
2021-08-24,568.951171875
2021-08-25,577.738037109375
2021-08-26,574.9422607421875
2021-08-27,573.9437255859375
2021-08-31,558.167236328125
2021-09-01,554.1732177734375
2021-09-02,539.1956176757812
2021-09-03,546.7841796875
2021-09-06,548.5816650390625
2021-09-07,539.7946166992188
2021-09-08,577.1389770507812
2021-09-09,583.5294799804688
2021-09-10,584.92724609375
2021-09-13,577.937744140625
2021-09-14,591.1181640625
